cnpj,fund_name,short_name,competencia,class_kind,class_macro,class_label,qt_cotas,vl_cota,pl_classe,pl_share_pct,pl_reconciliacao_role
42085816000105,CLOUDWALK KICK ASS I FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS SEGMENTO MEIOS DE PAGAMENTO,Kick Ass I,02/2026,senior,senior,Sênior · Série 1,291000.0,500.0,145500000.0,92.65241755226059,classe_reportada
42085816000105,CLOUDWALK KICK ASS I FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS SEGMENTO MEIOS DE PAGAMENTO,Kick Ass I,02/2026,subordinada,subordinada,Subordinada 1,15294.88571197,754.40484599,11538535.89997338,7.347582447739399,classe_reportada
42085830000109,CLOUDWALK AKIRA I FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS SEGMENTO MEIOS DE PAGAMENTO,Akira I,05/2026,senior,senior,Sênior · Série 1,500000.0,667.43888634,333719443.16999996,95.3417176159266,classe_reportada
42085830000109,CLOUDWALK AKIRA I FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS SEGMENTO MEIOS DE PAGAMENTO,Akira I,05/2026,subordinada,subordinada,Subordinada 1,16099.02582643,1012.80247363,16305133.180041559,4.658282384073408,classe_reportada
42102603000144,CLOUDWALK KICK ASS II FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS SEGMENTO MEIOS DE PAGAMENTO,Kick Ass II,02/2025,senior,senior,Sênior,0.0,0.0,0.0,,classe_reportada
42102603000144,CLOUDWALK KICK ASS II FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS SEGMENTO MEIOS DE PAGAMENTO,Kick Ass II,02/2025,subordinada,subordinada,Subordinada,0.0,0.0,0.0,,classe_reportada
44124617000194,CLOUDWALK AKIRA II FIDC SEGMENTO MEIOS DE PAGAMENTO,Akira II,02/2026,senior,senior,Sênior · Série 1,1500000.0,23.50791901,35261878.515,89.29427770595262,classe_reportada
44124617000194,CLOUDWALK AKIRA II FIDC SEGMENTO MEIOS DE PAGAMENTO,Akira II,02/2026,subordinada,subordinada,Subordinada 1,78115.19360666,54.12055933,4227637.97016368,10.705722294047371,classe_reportada
54218673000141,CLOUDWALK BIG PICTURE I FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS SEGMENTO MEIOS DE PAGAMENTO,Big Picture I,04/2026,senior,senior,Sênior · Série 1,877500.0,1004.13749127,881130648.5894251,97.45720501304872,classe_reportada
54218673000141,CLOUDWALK BIG PICTURE I FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS SEGMENTO MEIOS DE PAGAMENTO,Big Picture I,04/2026,subordinada,subordinada,Subordinada 1,23780.40393154,966.7595591,22989932.82007552,2.542794986951277,classe_reportada
