cnpj,fund_name,short_name,latest_competencia,competencia_base_date,pl_atual,situacao_cvm,cache_status,cache_dir
42085816000105,CLOUDWALK KICK ASS I FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS SEGMENTO MEIOS DE PAGAMENTO,Kick Ass I,02/2026,2026-02-28,157038535.84,Em Liquidação,ok,/Users/matheusjprates/fidc/.cache/fundonet-ime/a11bf39426d167ec4c85ac72aa77e99d01949f974c935b125ed0ada1a7248e0e
42085830000109,CLOUDWALK AKIRA I FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS SEGMENTO MEIOS DE PAGAMENTO,Akira I,05/2026,2026-05-31,350024576.35,Em Funcionamento Normal,ok,/Users/matheusjprates/fidc/.cache/fundonet-ime/8df18e6d9df93e2350d152fb855dab28b4e11197cb2df8b283b00d3218223e05
42102603000144,CLOUDWALK KICK ASS II FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS SEGMENTO MEIOS DE PAGAMENTO,Kick Ass II,02/2025,2025-02-28,0.0,Cancelado,ok,/Users/matheusjprates/fidc/.cache/fundonet-ime/4d4eef0cf8a0a993f532b4b149eb7872dad71d291f28dd1aa105c18ea1ac13c1
44124617000194,CLOUDWALK AKIRA II FIDC SEGMENTO MEIOS DE PAGAMENTO,Akira II,02/2026,2026-02-28,39489516.46,Em Liquidação,ok,/Users/matheusjprates/fidc/.cache/fundonet-ime/8c4f1664780bc2d79b6b82349249561e13ed5e9dbb821f32db56ad7b6c2787ff
54218673000141,CLOUDWALK BIG PICTURE I FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS SEGMENTO MEIOS DE PAGAMENTO,Big Picture I,04/2026,2026-04-30,904120581.41,Em Funcionamento Normal,ok,/Users/matheusjprates/fidc/.cache/fundonet-ime/b1b4f85e32dd225f84600e7f8ef382830038da25c85782af2aee20c08fde5cc9
54218941000125,CLOUDWALK BIG PICTURE II FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS SEGMENTO MEIOS DE PAGAMENTO,Big Picture II,05/2026,2026-05-31,302082480.67,Em Funcionamento Normal,ok,/Users/matheusjprates/fidc/.cache/fundonet-ime/94a49375e79bbde8d8914f726b688025e7c4599fe0bdf665bb00dca2d0b6c73c
54219179000100,CLOUDWALK BIG PICTURE III FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS SEGMENTO MEIOS DE PAGAMENTO,Big Picture III,05/2026,2026-05-31,151908115.03,Em Funcionamento Normal,ok,/Users/matheusjprates/fidc/.cache/fundonet-ime/80b46b8f5164ad437f8f3751729832cc2357338263240227b6f3721162fa3d84
54248022000102,CLOUDWALK BIG PICTURE IV FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS SEGMENTO MEIOS DE PAGAMENTO,Big Picture IV,05/2026,2026-05-31,309918155.45,Em Funcionamento Normal,ok,/Users/matheusjprates/fidc/.cache/fundonet-ime/d5db6bacd62a48515cbd8660a8cc9e6d8b7d26a9fab88ed9967401e3f6520749
57609282000146,CLOUDWALK A.I. FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS SEGMENTO MEIOS DE PAGAMENTO,Cloudwalk A.I.,05/2026,2026-05-31,2701701360.51,Em Funcionamento Normal,ok,/Users/matheusjprates/fidc/.cache/fundonet-ime/e68b9eeb87006b186a4b845899632b53e5c482a9de7887da13c90ec3c78a07a0
60356171000180,CLOUDWALK PI FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS SEGMENTO MEIOS DE PAGAMENTO,Cloudwalk PI,05/2026,2026-05-31,3252354632.79,Em Funcionamento Normal,ok,/Users/matheusjprates/fidc/.cache/fundonet-ime/cec7fe495f756ed1b6687b04da4097820825c588ece1dd383a66296d6ab62bb7
62393679000183,CLOUDWALK BELA FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS SEGMENTO MEIOS DE PAGAMENTO,Bela,05/2026,2026-05-31,9984886332.21,Em Funcionamento Normal,ok,/Users/matheusjprates/fidc/.cache/fundonet-ime/927c900326d079775033242583091c80e52827be25d057e30121cdbe3cd0e987
