short_name,cnpj,fund_name,classe,tipo,class_key,source,status_evidencia,convention,warning,data_amortizacao,bucket,scheduled_original_amount,scheduled_original_share_remaining
Kick Ass I,42085816000105,CLOUDWALK KICK ASS I FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,1ª série sênior,Sênior,senior_1,209028_regulamento_regulamento_209028_2021-08-23.pdf · p.4-5 · ID 209028,"Datas de amortização extraídas do apêndice; documento não informa percentuais, waterfall usa linearidade explícita com aviso.",incremental,Cronograma documental lista datas sem percentuais; waterfall usa amortização linear entre as datas documentadas.,2026-03-27,2026,24250000.0,0.16666666666666666
Kick Ass I,42085816000105,CLOUDWALK KICK ASS I FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,1ª série sênior,Sênior,senior_1,209028_regulamento_regulamento_209028_2021-08-23.pdf · p.4-5 · ID 209028,"Datas de amortização extraídas do apêndice; documento não informa percentuais, waterfall usa linearidade explícita com aviso.",incremental,Cronograma documental lista datas sem percentuais; waterfall usa amortização linear entre as datas documentadas.,2026-04-27,2026,24250000.0,0.16666666666666666
Kick Ass I,42085816000105,CLOUDWALK KICK ASS I FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,1ª série sênior,Sênior,senior_1,209028_regulamento_regulamento_209028_2021-08-23.pdf · p.4-5 · ID 209028,"Datas de amortização extraídas do apêndice; documento não informa percentuais, waterfall usa linearidade explícita com aviso.",incremental,Cronograma documental lista datas sem percentuais; waterfall usa amortização linear entre as datas documentadas.,2026-05-27,2026,24250000.0,0.16666666666666666
Kick Ass I,42085816000105,CLOUDWALK KICK ASS I FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,1ª série sênior,Sênior,senior_1,209028_regulamento_regulamento_209028_2021-08-23.pdf · p.4-5 · ID 209028,"Datas de amortização extraídas do apêndice; documento não informa percentuais, waterfall usa linearidade explícita com aviso.",incremental,Cronograma documental lista datas sem percentuais; waterfall usa amortização linear entre as datas documentadas.,2026-06-27,2026,24250000.0,0.16666666666666666
Kick Ass I,42085816000105,CLOUDWALK KICK ASS I FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,1ª série sênior,Sênior,senior_1,209028_regulamento_regulamento_209028_2021-08-23.pdf · p.4-5 · ID 209028,"Datas de amortização extraídas do apêndice; documento não informa percentuais, waterfall usa linearidade explícita com aviso.",incremental,Cronograma documental lista datas sem percentuais; waterfall usa amortização linear entre as datas documentadas.,2026-07-27,2026,24250000.0,0.16666666666666666
Kick Ass I,42085816000105,CLOUDWALK KICK ASS I FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,1ª série sênior,Sênior,senior_1,209028_regulamento_regulamento_209028_2021-08-23.pdf · p.4-5 · ID 209028,"Datas de amortização extraídas do apêndice; documento não informa percentuais, waterfall usa linearidade explícita com aviso.",incremental,Cronograma documental lista datas sem percentuais; waterfall usa amortização linear entre as datas documentadas.,2026-08-27,2026,24250000.0,0.16666666666666666
Akira I,42085830000109,CLOUDWALK AKIRA I FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,1ª série sênior,Sênior,senior_1,966441_regulamento_regulamento_966441_2025-07-24.pdf · p.114-115 · ID 966441,"Datas de amortização confirmadas no apêndice consolidado; documento não informa percentuais, waterfall usa linearidade explícita com aviso.",incremental,Cronograma documental lista datas sem percentuais; waterfall usa amortização linear entre as datas documentadas.,2026-06-27,2026,41666666.66666667,0.12500000000000003
Akira I,42085830000109,CLOUDWALK AKIRA I FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,1ª série sênior,Sênior,senior_1,966441_regulamento_regulamento_966441_2025-07-24.pdf · p.114-115 · ID 966441,"Datas de amortização confirmadas no apêndice consolidado; documento não informa percentuais, waterfall usa linearidade explícita com aviso.",incremental,Cronograma documental lista datas sem percentuais; waterfall usa amortização linear entre as datas documentadas.,2026-07-27,2026,41666666.66666667,0.12500000000000003
Akira I,42085830000109,CLOUDWALK AKIRA I FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,1ª série sênior,Sênior,senior_1,966441_regulamento_regulamento_966441_2025-07-24.pdf · p.114-115 · ID 966441,"Datas de amortização confirmadas no apêndice consolidado; documento não informa percentuais, waterfall usa linearidade explícita com aviso.",incremental,Cronograma documental lista datas sem percentuais; waterfall usa amortização linear entre as datas documentadas.,2026-08-27,2026,41666666.66666667,0.12500000000000003
Akira I,42085830000109,CLOUDWALK AKIRA I FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,1ª série sênior,Sênior,senior_1,966441_regulamento_regulamento_966441_2025-07-24.pdf · p.114-115 · ID 966441,"Datas de amortização confirmadas no apêndice consolidado; documento não informa percentuais, waterfall usa linearidade explícita com aviso.",incremental,Cronograma documental lista datas sem percentuais; waterfall usa amortização linear entre as datas documentadas.,2026-09-27,2026,41666666.66666667,0.12500000000000003
