bucket,short_name,allocated_pl
2026,Akira I,306271504.30625004
2026,Akira II,39489516.46000001
2026,Big Picture I,301373527.1366667
2026,Big Picture II,100694160.22333333
2026,Big Picture III,50636038.34333334
2026,Big Picture IV,103306051.81666668
2026,Kick Ass I,157038535.84
2027,Akira I,43753072.04374994
2027,Big Picture I,602747054.2733331
2027,Big Picture II,201388320.44666666
2027,Big Picture III,101272076.68666668
2027,Big Picture IV,206612103.6333333
2027,Cloudwalk A.I.,2701701360.51
2029+,Bela,9984886332.21
2029+,Cloudwalk PI,3252354632.79
Sem PL,Kick Ass II,0.0
