short_name,cnpj,fund_name,situacao_cvm,latest_competencia,competencia_base_date,pl_atual,class_kind,class_macro,class_label,class_key,pl_classe_raw_ime,pl_reconciliation_factor,pl_classe,bucket,allocation_share,allocated_pl,method_note
Big Picture IV,54248022000102,CLOUDWALK BIG PICTURE IV FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS SEGMENTO MEIOS DE PAGAMENTO,Em Funcionamento Normal,05/2026,2026-05-31,309918155.45,subordinada,subordinada,Subordinada 1,subordinada_1,68664686.31987333,0.9999999999397474,68664686.31573611,2027,0.6666666666666665,45776457.54382407,Classe sem cronograma próprio parseável; PL alocado pela curva documental remanescente do fundo.
Cloudwalk A.I.,57609282000146,CLOUDWALK A.I. FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS SEGMENTO MEIOS DE PAGAMENTO,Em Funcionamento Normal,05/2026,2026-05-31,2701701360.51,senior,senior,Sênior · Série 1,senior_1,2264820452.9900017,0.9999999999999991,2264820452.99,2027,1.0,2264820452.99,PL da classe alocado pelo cronograma documental da própria classe/cota.
Cloudwalk A.I.,57609282000146,CLOUDWALK A.I. FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS SEGMENTO MEIOS DE PAGAMENTO,Em Funcionamento Normal,05/2026,2026-05-31,2701701360.51,subordinada,mezzanino,Mezanino 1 · Série 1,mezz_1,351120845.9263014,0.9999999999999991,351120845.9263011,2027,1.0,351120845.9263011,PL da classe alocado pelo cronograma documental da própria classe/cota.
Cloudwalk A.I.,57609282000146,CLOUDWALK A.I. FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS SEGMENTO MEIOS DE PAGAMENTO,Em Funcionamento Normal,05/2026,2026-05-31,2701701360.51,subordinada,subordinada,Subordinada 1 · item 2,subordinada_1,85760061.59369963,0.9999999999999991,85760061.59369956,2027,1.0,85760061.59369956,Classe sem cronograma próprio parseável; PL alocado pela curva documental remanescente do fundo.
Cloudwalk PI,60356171000180,CLOUDWALK PI FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS SEGMENTO MEIOS DE PAGAMENTO,Em Funcionamento Normal,05/2026,2026-05-31,3252354632.79,senior,senior,Sênior · Série 1,senior_1,1654720568.6515021,0.9999999999999978,1654720568.6514986,2029+,1.0,1654720568.6514986,PL da classe alocado pelo cronograma documental da própria classe/cota.
Cloudwalk PI,60356171000180,CLOUDWALK PI FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS SEGMENTO MEIOS DE PAGAMENTO,Em Funcionamento Normal,05/2026,2026-05-31,3252354632.79,senior,senior,Sênior · Série 2,senior_2,1073617265.6547049,0.9999999999999978,1073617265.6547025,2029+,1.0,1073617265.6547025,PL da classe alocado pelo cronograma documental da própria classe/cota.
Cloudwalk PI,60356171000180,CLOUDWALK PI FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS SEGMENTO MEIOS DE PAGAMENTO,Em Funcionamento Normal,05/2026,2026-05-31,3252354632.79,subordinada,mezzanino,Mezanino 1 · Série 1,mezz_pi_a,227394880.213799,0.9999999999999978,227394880.2137985,2029+,1.0,227394880.2137985,PL da classe alocado pelo cronograma documental da própria classe/cota.
Cloudwalk PI,60356171000180,CLOUDWALK PI FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS SEGMENTO MEIOS DE PAGAMENTO,Em Funcionamento Normal,05/2026,2026-05-31,3252354632.79,subordinada,mezzanino,Mezanino 2 · Série 1,mezz_pi_b,195033061.57500076,0.9999999999999978,195033061.57500032,2029+,1.0,195033061.57500032,PL da classe alocado pelo cronograma documental da própria classe/cota.
Cloudwalk PI,60356171000180,CLOUDWALK PI FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS SEGMENTO MEIOS DE PAGAMENTO,Em Funcionamento Normal,05/2026,2026-05-31,3252354632.79,subordinada,subordinada,Subordinada 1 · item 3,subordinada_1,101588856.69500019,0.9999999999999978,101588856.69499996,2029+,1.0,101588856.69499996,Classe sem cronograma próprio parseável; PL alocado pela curva documental remanescente do fundo.
Bela,62393679000183,CLOUDWALK BELA FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS SEGMENTO MEIOS DE PAGAMENTO,Em Funcionamento Normal,05/2026,2026-05-31,9984886332.21,senior,senior,Sênior · Série 1,senior_1,3657666116.7927136,1.0000000002566736,3657666117.7315397,2029+,1.0,3657666117.7315397,PL da classe alocado pelo cronograma documental da própria classe/cota.
Bela,62393679000183,CLOUDWALK BELA FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS SEGMENTO MEIOS DE PAGAMENTO,Em Funcionamento Normal,05/2026,2026-05-31,9984886332.21,senior,senior,Sênior · Série 2,senior_2,4798973263.180904,1.0000000002566736,4798973264.412674,2029+,1.0,4798973264.412674,PL da classe alocado pelo cronograma documental da própria classe/cota.
Bela,62393679000183,CLOUDWALK BELA FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS SEGMENTO MEIOS DE PAGAMENTO,Em Funcionamento Normal,05/2026,2026-05-31,9984886332.21,subordinada,mezzanino,Mezanino 1 · Série 1,mezz_bela_1a,304877588.548932,1.0000000002566736,304877588.62718606,2029+,1.0,304877588.62718606,PL da classe alocado pelo cronograma documental da própria classe/cota.
Bela,62393679000183,CLOUDWALK BELA FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS SEGMENTO MEIOS DE PAGAMENTO,Em Funcionamento Normal,05/2026,2026-05-31,9984886332.21,subordinada,mezzanino,Mezanino 1 · Série 2,mezz_bela_1b,261611388.71916482,1.0000000002566736,261611388.78631353,2029+,1.0,261611388.78631353,PL da classe alocado pelo cronograma documental da própria classe/cota.
Bela,62393679000183,CLOUDWALK BELA FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS SEGMENTO MEIOS DE PAGAMENTO,Em Funcionamento Normal,05/2026,2026-05-31,9984886332.21,subordinada,mezzanino,Mezanino 1 · Série 3,mezz_bela_2a,400039082.7982913,1.0000000002566736,400039082.90097076,2029+,1.0,400039082.90097076,PL da classe alocado pelo cronograma documental da própria classe/cota.
Bela,62393679000183,CLOUDWALK BELA FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS SEGMENTO MEIOS DE PAGAMENTO,Em Funcionamento Normal,05/2026,2026-05-31,9984886332.21,subordinada,mezzanino,Mezanino 1 · Série 4,mezz_bela_2b,343389423.9236664,1.0000000002566736,343389424.0118054,2029+,1.0,343389424.0118054,PL da classe alocado pelo cronograma documental da própria classe/cota.
Bela,62393679000183,CLOUDWALK BELA FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS SEGMENTO MEIOS DE PAGAMENTO,Em Funcionamento Normal,05/2026,2026-05-31,9984886332.21,subordinada,subordinada,Subordinada 1 · item 5,subordinada_1,218329465.68347064,1.0000000002566736,218329465.73951003,2029+,1.0,218329465.73951003,Classe sem cronograma próprio parseável; PL alocado pela curva documental remanescente do fundo.
