Fundo,CNPJ,Data,Classe/Série,Tipo,Qtd cotas,Preço/VNU,Volume identificado (R$ mm),Remuneração-alvo,Amortização/vencimento,Fonte
ALTOMAX SEGMENTO RECEBÍVEIS COMERCIA,58.288.437/0001-52,28/11/2024,Classe/série não identificada,—,—,—,"1,0",DI + 5% a.a.,—,803099_regulamento_regulamento_803099_2024-11-28.pdf · ID 803099 · 28/11/2024
ALTOMAX SEGMENTO RECEBÍVEIS COMERCIA,58.288.437/0001-52,28/11/2024,cotas seniores do Fundo,Sênior,—,—,"20,0",DI + 5% a.a.,—,803097_emissao_emissao_803097_2024-11-28.pdf · ID 803097 · 28/11/2024
ALTOMAX SEGMENTO RECEBÍVEIS COMERCIA,58.288.437/0001-52,13/12/2024,Classe/série não identificada,—,—,—,"1,0",DI + 5% a.a.,—,803104_regulamento_regulamento_803104_2024-12-13.pdf · ID 803104 · 13/12/2024
ALTOMAX SEGMENTO RECEBÍVEIS COMERCIA,58.288.437/0001-52,16/12/2024,COTAS SUBORDINADAS JÚNIOR DA 1ª (PRIMEIRA),Subordinada,—,—,"20,0",—,—,803096_emissao_emissao_803096_2024-12-16.pdf · ID 803096 · 16/12/2024
ALTOMAX SEGMENTO RECEBÍVEIS COMERCIA,58.288.437/0001-52,18/12/2024,Cotas Subordinadas Júnior nº CVM/SRE/AUT/FDC/PRI/2024/1757Concedido,Subordinada,—,—,"20,0",—,—,814055_emissao_emissao_814055_2024-12-18.pdf · ID 814055 · 18/12/2024
ALTOMAX SEGMENTO RECEBÍVEIS COMERCIA,58.288.437/0001-52,23/12/2024,1ª série,—,—,—,"20,0",—,—,851675_assembleia_assembleia_851675_2024-12-23.pdf · ID 851675 · 23/12/2024 10:00
ALTOMAX SEGMENTO RECEBÍVEIS COMERCIA,58.288.437/0001-52,23/12/2024,COTAS SENIORES DA 1ª (PRIMEIRA) SÉRIE,Sênior,—,—,"20,0",—,—,809852_emissao_emissao_809852_2024-12-23.pdf · ID 809852 · 23/12/2024
ALTOMAX SEGMENTO RECEBÍVEIS COMERCIA,58.288.437/0001-52,27/12/2024,COTAS SENIORES DA 1ª (PRIMEIRA) EMISSÃO DO,Sênior,—,—,"20,0",—,—,809840_emissao_emissao_809840_2024-12-27.pdf · ID 809840 · 27/12/2024
ALTOMAX SEGMENTO RECEBÍVEIS COMERCIA,58.288.437/0001-52,03/01/2025,COTAS SENIORES DA 1ª (PRIMEIRA) SÉRIE DE EMISSÃO DO ALTOMAX FUND,Sênior,—,—,"20,0",—,—,814057_emissao_emissao_814057_2025-01-03.pdf · ID 814057 · 03/01/2025
ALTOMAX SEGMENTO RECEBÍVEIS COMERCIA,58.288.437/0001-52,18/02/2025,Classe/série não identificada,—,—,—,"1,0",DI + 5% a.a.,—,845769_regulamento_regulamento_845769_2025-02-18.pdf · ID 845769 · 18/02/2025
ALTOMAX SEGMENTO RECEBÍVEIS COMERCIA,58.288.437/0001-52,18/02/2025,Cotas Subordinadas Júnior dentro do Capital,Subordinada,—,—,—,—,—,845768_assembleia_assembleia_845768_2025-02-18.pdf · ID 845768 · 18/02/2025 14:00
ALTOMAX SEGMENTO RECEBÍVEIS COMERCIA,58.288.437/0001-52,17/06/2025,Classe/série não identificada,—,—,—,"1,0",DI + 5% a.a.,—,935844_regulamento_regulamento_935844_2025-06-17.pdf · ID 935844 · 17/06/2025
ALTOMAX SEGMENTO RECEBÍVEIS COMERCIA,58.288.437/0001-52,21/07/2025,2ª Série,—,—,—,"15,0",—,—,950515_assembleia_assembleia_950515_2025-07-21.pdf · ID 950515 · 21/07/2025 09:00
ALTOMAX SEGMENTO RECEBÍVEIS COMERCIA,58.288.437/0001-52,28/07/2025,COTAS SENIORES DA 2ª (SEGUNDA) SÉRIE DA 1ª,Sênior,—,—,"15,0",—,—,954709_emissao_emissao_954709_2025-07-28.pdf · ID 954709 · 28/07/2025
ALTOMAX SEGMENTO RECEBÍVEIS COMERCIA,58.288.437/0001-52,26/08/2025,COTAS SUBORDINADAS JÚNIOR,Subordinada,—,—,"15,0",—,—,978340_emissao_emissao_978340_2025-08-26.pdf · ID 978340 · 26/08/2025
ALTOMAX SEGMENTO RECEBÍVEIS COMERCIA,58.288.437/0001-52,02/09/2025,COTAS SENIORES DA 2ª (SEGUNDA) SÉRIE DE,Sênior,—,—,"15,0",—,—,982590_emissao_emissao_982590_2025-09-02.pdf · ID 982590 · 02/09/2025
ALTOMAX SEGMENTO RECEBÍVEIS COMERCIA,58.288.437/0001-52,15/01/2026,Classe/série não identificada,—,—,—,"1,0",DI + 5% a.a.,—,1090132_regulamento_regulamento_1090132_2026-01-15.pdf · ID 1090132 · 15/01/2026
