fundo,CNPJ,Data regulamento,Critério,Evento,Comparação,Limite,Monitorável IME,Métrica IME,Fonte
ALTOMAX SEGMENTO RECEBÍVEIS COMERCIA,58.288.437/0001-52,15/01/2026,Limite de concentração,elegibilidade,<=,2%,nao_monitoravel,—,1090132_regulamento_regulamento_1090132_2026-01-15.pdf
ALTOMAX SEGMENTO RECEBÍVEIS COMERCIA,58.288.437/0001-52,15/01/2026,Limite de concentração,elegibilidade,<=,5%,nao_monitoravel,—,1090132_regulamento_regulamento_1090132_2026-01-15.pdf
ALTOMAX SEGMENTO RECEBÍVEIS COMERCIA,58.288.437/0001-52,15/01/2026,Limite de concentração,elegibilidade,<=,25%,nao_monitoravel,—,1090132_regulamento_regulamento_1090132_2026-01-15.pdf
ALTOMAX SEGMENTO RECEBÍVEIS COMERCIA,58.288.437/0001-52,15/01/2026,Limite de concentração,elegibilidade,<=,"3,5%",nao_monitoravel,—,1090132_regulamento_regulamento_1090132_2026-01-15.pdf
ALTOMAX SEGMENTO RECEBÍVEIS COMERCIA,58.288.437/0001-52,15/01/2026,Limite de concentração,Limite de concentração,—,5%,nao_monitoravel,—,1090132_regulamento_regulamento_1090132_2026-01-15.pdf · ID 1090132 · 15/01/2026
ALTOMAX SEGMENTO RECEBÍVEIS COMERCIA,58.288.437/0001-52,15/01/2026,Limite de concentração,Limite de concentração,—,25%,nao_monitoravel,—,1090132_regulamento_regulamento_1090132_2026-01-15.pdf · ID 1090132 · 15/01/2026
ALTOMAX SEGMENTO RECEBÍVEIS COMERCIA,58.288.437/0001-52,18/02/2025,Alocação mínima em direitos creditórios,enquadramento,>=,20%,monitoravel,Dir Cred / PL,845769_regulamento_regulamento_845769_2025-02-18.pdf
ALTOMAX SEGMENTO RECEBÍVEIS COMERCIA,58.288.437/0001-52,15/01/2026,Critérios de elegibilidade dos direitos creditórios,elegibilidade,<=,—,nao_monitoravel,—,1090132_regulamento_regulamento_1090132_2026-01-15.pdf
ALTOMAX SEGMENTO RECEBÍVEIS COMERCIA,58.288.437/0001-52,15/01/2026,Critérios de elegibilidade dos direitos creditórios,elegibilidade,>=,—,nao_monitoravel,—,1090132_regulamento_regulamento_1090132_2026-01-15.pdf
ALTOMAX SEGMENTO RECEBÍVEIS COMERCIA,58.288.437/0001-52,15/01/2026,Critérios de elegibilidade dos direitos creditórios,elegibilidade,texto,—,nao_monitoravel,—,1090132_regulamento_regulamento_1090132_2026-01-15.pdf
