group,cnpj_fundo,admin_nome_group,name,pl,pl_previous,pl_delta_yoy
QI TECH + SINGULARE,42922136000107,QI TECH + SINGULARE,FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS MONEE I DE RESPONSABILIDADE LIMITADA,5001607361.66,1735092391.39,3266514970.2699995
QI TECH + SINGULARE,11468186000124,QI TECH + SINGULARE,ATLANTA FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS DE RESPONSABILIDADE LIMITADA,3232635081.26,2656431202.0,576203879.2600002
QI TECH + SINGULARE,49826785000145,QI TECH + SINGULARE,ASA FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA,3153103544.27,1645801662.55,1507301881.72
QI TECH + SINGULARE,62393829000159,QI TECH + SINGULARE,FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS COMERCIAIS MEDICI I - RESPONSABILIDADE LIMITADA,3086961052.23,0.0,3086961052.23
QI TECH + SINGULARE,58900579000129,QI TECH + SINGULARE,MONEE FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESP LIMITADA,2799069817.51,438852131.61,2360217685.9
QI TECH + SINGULARE,42154687000160,QI TECH + SINGULARE,MULTIPLIKE PLUS FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,2133238063.57,1213950211.08,919287852.49
QI TECH + SINGULARE,23216398000101,QI TECH + SINGULARE,MULTIPLICA FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,1917489050.12,1109019473.66,808469576.4599998
QI TECH + SINGULARE,53841740000117,QI TECH + SINGULARE,FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS CRÉDITO CONSIGNADO PRIVADO PAKETÁ DE RESPONSABILID,1914975394.97,139860003.6,1775115391.3700001
QI TECH + SINGULARE,17198845000136,QI TECH + SINGULARE,INVISTA I FIC DE FIDC MULTISSETORIAL - RESPONSABILIDADE LIMITADA,1886653447.35,1551504805.25,335148642.0999999
QI TECH + SINGULARE,24504464000101,QI TECH + SINGULARE,IOX II FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS DE RESPONSABILIDADE LIMITADA,1860240578.91,894794677.62,965445901.2900001
