participant_type,participant_normalized,cnpj_participante,funds,linked_pl_brl,confidence_median,sector
cedente_originador,BANCO BMG S.A,61186680000174.0,1,986234239.47,0.95,"Atividades financeiras, seguros e serviços relacionados"
cedente_originador,BANCO VOTORANTIM S.A,,1,913476616.69,0.68,
cedente_originador,OBANCO VOTORANTIM S.A,,1,913476616.69,0.68,
cedente_originador,SERVICOS TECNICOS DE SEGURO LTDA,68153238000190.0,1,913476616.69,0.77,
cedente_originador,CANOAS MANUFATURA DE MAQUINAS AGRICOLAS LTDA,6303670000163.0,1,736393218.62,0.95,Indústrias de transformação
cedente_originador,CIBER,92678093000126.0,1,736393218.62,0.95,Indústrias de transformação
cedente_originador,JOHN DEERE,89674782000158.0,1,736393218.62,0.95,Indústrias de transformação
cedente_originador,TRADEMASTER SERVICOS E PARTICIPACOES S.A,19394639000127.0,1,655493512.2,0.95,
cedente_originador,BRB,208000100.0,1,580174139.11,0.84,"Atividades financeiras, seguros e serviços relacionados"
cedente_originador,EQUALS,12839955000116.0,1,545944064.0,0.77,Informação e comunicação
cedente_originador,ALBAUGH AGRO BRASIL LTDA,,1,517459019.09,0.68,
cedente_originador,ALBAUGH AGRO BRASIL LTDA.,1789121000127.0,1,517459019.09,0.95,Indústrias de transformação
cedente_originador,OLIVEIRA TRUST SERVICER S/A,2150453000120.0,1,517459019.09,0.63,"Atividades financeiras, seguros e serviços relacionados"
cedente_originador,BANCO BV S.A,1858774000110.0,1,425209977.6,0.95,
cedente_originador,BANCO VOTORANTIM S.A.,59588111000103.0,1,425209977.6,0.95,"Atividades financeiras, seguros e serviços relacionados"
cedente_originador,FRIMESA,77595395000147.0,1,357233426.06,0.76,Indústrias de transformação
cedente_originador,MID HOLDING LTDA,35439848000104.0,1,308217472.77,0.95,"Atividades financeiras, seguros e serviços relacionados"
cedente_originador,CHDS DO BRASIL,18858234000130.0,1,279622686.98,0.93,Comércio e reparação de veículos
cedente_originador,E (I) A CASHME SOLUCOES FINANCEIRAS S.A,,1,277862476.99,0.68,
cedente_originador,CARTOS SOCIEDADE DE CREDITO DIRETO S.A.,21332862000191.0,1,264150044.7,0.95,"Atividades financeiras, seguros e serviços relacionados"
cedente_originador,CLICK BANK: CLICKBANK INSTITUICAO DE PAGAMENTOS LTDA . (ENTIDADE CONSIGNATARIA),39876528000164.0,1,264150044.7,0.95,
cedente_originador,"CLICK BANK: CLICKBANK INSTITUICAO DE PAGAMENTOS LTDA, (ENTIDADE CONSIGNATARIA)",39876528000164.0,1,264150044.7,0.95,
cedente_originador,CLICK BANK: CLICKBANK INSTITUICAO DE PAGAMENTOS LTDA. (ENTIDADE CONSIGNATARIA),39876528000164.0,1,264150044.7,0.95,
cedente_originador,PRAVALER CREDITO UNIVERSITARIO III FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS - RESP LIMITADA,34408539000104.0,1,261242807.55,0.6,"Atividades financeiras, seguros e serviços relacionados"
cedente_originador,CONECTEPAG 001 S.A.,52780865000111.0,1,238002321.52,0.76,Atividades administrativas e serviços complementares
cedente_originador,KOVR PREVIDENCI A S.A,17479056000173.0,1,227835792.55,0.95,
cedente_originador,KOVR PREVIDENCIA S.A,17479056000173.0,1,227835792.55,0.95,
cedente_originador,FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS ANGA MULTIESTRATEGIA I DE RESPONSABILIDADE LIMITADA,28796939000123.0,1,189340308.61,0.76,"Atividades financeiras, seguros e serviços relacionados"
cedente_originador,GRUPO CASAS BAHIA S.A.,33041260065290.0,1,179148475.03,0.93,Comércio e reparação de veículos
cedente_originador,DISAPE,25630302000174.0,1,176791519.05,0.77,Comércio e reparação de veículos
cedente_originador,BTU - BRASPRESS - MTZ,48740351000165.0,1,171458306.93,0.93,"Transporte, armazenagem e correio"
cedente_originador,URBANO FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS MULTISSETORIAL,23773276000108.0,1,171458306.93,0.76,"Atividades financeiras, seguros e serviços relacionados"
cedente_originador,SIGNIFICA ENCALSO CONSTRUCOES LTDA,55333769000113.0,1,171213880.45,0.95,
cedente_originador,BRASFOR GESTAO DE RISCOS LTDA,58505446000158.0,1,168655520.4,0.95,
cedente_originador,V8 DIGITAL SISTEMA,31663906000110.0,1,167164295.78,0.78,Atividades administrativas e serviços complementares
cedente_originador,"FIRMADOS ENTRE A CLASSE, NA QUALIDADE DE ENDOSSATARIA, E O BANCO VR S.A",78626983000163.0,1,164182708.87,0.95,
cedente_originador,"OU PARATI - CREDITO, FINANCIAMENTO E INVESTIMENTO S.A",3311443000191.0,1,159785611.38,0.95,
cedente_originador,BANCO XP S.A,33264668000286.0,1,155991373.51,0.95,
cedente_originador,CANSPE PARTICIPACOES S.A.,40374430000198.0,1,151592966.16,0.93,"Atividades financeiras, seguros e serviços relacionados"
cedente_originador,CPS LOG,8888040000123.0,1,151592966.16,0.93,Comércio e reparação de veículos
cedente_originador,N.E.O.S.P.E. EMPREENDIMENTOS E PARTICIPACOES S.A,27390705000119.0,1,151592966.16,0.6,"Atividades financeiras, seguros e serviços relacionados"
cedente_originador,(III) CARMAX BRASIL MULTIMARCAS LTDA INSCRITA NO CNPJ SOB O No,21591149000162.0,1,147244087.04,0.95,
cedente_originador,(IV) B M COMERCIO DE VEICULOS LTDA INSCRITA NO CNPJ SOB O No,43794925000164.0,1,147244087.04,0.95,
