participant_type,participant_normalized,cnpj_participante,funds,linked_pl_brl,confidence_median,sector
consultora,PLANAXIS CONSULTORIA EM TRANSACOES DE CREDITO LTDA,45788027000129.0,1,3262904.39,0.95,"Atividades profissionais, científicas e técnicas"
consultora,TEIRA DO FUNDO SERA EXERCIDA PELA OURO PRETO GESTAO DE RECURSOS S.A,11916849000126.0,1,1874304.13,0.95,
consultora,NEW ERA CAPITAL LTDA,37031794000160.0,1,861150.75,0.93,"Atividades profissionais, científicas e técnicas"
consultora,NUCCI & HOMSI CONSULTORIA E NEGOCIOS LTDA,46888037000107.0,1,719970.0,0.6,"Atividades profissionais, científicas e técnicas"
consultora,MONCALIERI SOLUCOES FINANCEIRAS LTDA,52287610000111.0,1,438632.38,0.84,"Atividades profissionais, científicas e técnicas"
consultora,INVESTO,39889495000197.0,1,0.0,0.93,"Atividades profissionais, científicas e técnicas"
consultora,LP2 CONSULTORIA LTDA,52383396000105.0,1,0.0,0.95,"Atividades profissionais, científicas e técnicas"
consultora,MM SECURITIZADORA,4249153000128.0,1,0.0,0.9,"Atividades financeiras, seguros e serviços relacionados"
consultora,SARFATY CONSULTORIA DE CREDITO E COBRANCA,35884301000100.0,1,0.0,0.95,Atividades administrativas e serviços complementares
consultora,SARFATY CONSULTORIA DE CREDITO E COBRANCA LTDA,,1,0.0,0.68,
consultora,VEGA CAPITAL,26791543000168.0,1,0.0,0.95,"Atividades financeiras, seguros e serviços relacionados"
sacado_devedor,(II) REDECARD INSTITUICAO DE PAGAMENTO S.A,1425787000104.0,1,2006132547.32,0.95,
sacado_devedor,(IV) GETNET ADQUIRENCIA E SERVICOS PARA MEIOS DE PAGAMENTO S.A. – INSTITUICAO DE PAGAMENTO,10440482000154.0,1,2006132547.32,0.95,
sacado_devedor,(“REDECARD”); (III) PAGSEGURO INTERNET I NSTITUICAO DE PAGAMENTO S.A,8561701000101.0,1,2006132547.32,0.95,
sacado_devedor,GRUPO CASAS BAHIA S.A.,33041260065290.0,1,1834355869.84,0.95,Comércio e reparação de veículos
sacado_devedor,FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS AGRO CITI-SYNGENTA RESPONSABILIDADE LIMITADA,46073195000109.0,1,1002391541.77,0.6,"Atividades financeiras, seguros e serviços relacionados"
sacado_devedor,BANCO VOTORANTIM S.A.,59588111000103.0,1,913476616.69,0.77,"Atividades financeiras, seguros e serviços relacionados"
sacado_devedor,IFOOD PAGO INSTITUICAO DE PAGAMENTO S.A.,19468242000132.0,1,679892399.78,0.93,"Atividades financeiras, seguros e serviços relacionados"
sacado_devedor,LATASA INDUSTRIA E COMERCIO LTDA,148025000137.0,1,600127641.37,0.77,
sacado_devedor,BRM CONTEA CAPITAL GESTAO DE RECURSOS LTDA,11325341000153.0,1,483783859.88,0.6,"Atividades financeiras, seguros e serviços relacionados"
sacado_devedor,MOINHO DE TRIGO JM,1636335000163.0,1,312483280.17,0.7,Comércio e reparação de veículos
sacado_devedor,CERC SA,23399607000191.0,1,284249379.47,0.77,Informação e comunicação
sacado_devedor,M8 PARTNERS GESTORA DE RECURSOS LTDA.,18038439000179.0,1,201535661.05,0.6,"Atividades financeiras, seguros e serviços relacionados"
sacado_devedor,,,1,104854581.91,0.4,Financeiro
sacado_devedor,BUNGE ALIMENTOS S/A,84046101000193.0,1,104015015.1,0.95,Indústrias de transformação
sacado_devedor,GRUPOCOB COBRANCAS PERSONALIZADAS,21265104000106.0,1,55608463.93,0.6,Atividades administrativas e serviços complementares
sacado_devedor,MOSAIC FERTILIZANTES P&K LTDA.,33931486001455.0,1,55579531.31,0.77,Indústrias de transformação
sacado_devedor,UNIMED FORTALEZA,5868278000107.0,1,36917861.26,0.95,"Atividades financeiras, seguros e serviços relacionados"
sacado_devedor,CLUBE LEVE ADMINISTRACAO DE CADASTRO LTDA,36395637000171.0,1,26320613.88,0.95,
sacado_devedor,OU A LEVE SAUDE CLINICA MEDICA S.A,29112790000189.0,1,26320613.88,0.95,
sacado_devedor,ATACADAO DIA A DIA S.A,17457404000101.0,1,25813992.72,0.78,
sacado_devedor,VANTO,53074457000107.0,1,20273803.36,0.6,"Atividades financeiras, seguros e serviços relacionados"
sacado_devedor,94813102000170,94813102000170.0,1,17479532.25,0.86,
sacado_devedor,MARANATA CONSULTORIA LTDA,54608131000185.0,1,15718410.31,0.77,"Atividades profissionais, científicas e técnicas"
sacado_devedor,SGA CORRETORA DE SEGUROS LTDA,2671673000107.0,1,1029422.74,0.78,"Atividades financeiras, seguros e serviços relacionados"
sacado_devedor,***********,19758842000135.0,1,0.0,0.6,Construção
sacado_devedor,BRF S.A.,1838723000127.0,1,0.0,0.95,Indústrias de transformação
sacado_devedor,CONSIDERANDO-SE MATRIZ E FILIAIS ; (C) FOURFRIGO IND USTRIA E COMERCIO LTDA,52478126000170.0,1,0.0,0.95,
sacado_devedor,NOSTRO BEEF ALIMENTOS IMPORTACAO E EXPORTACAO LTDA,14515756000188.0,1,0.0,0.95,Comércio e reparação de veículos
sacado_devedor,ROSARIAL ALIMENTOS,49316524000185.0,1,0.0,0.6,Indústrias de transformação
sacado_devedor,SARFATY CONSULTORIA DE CREDITO E COBRANCA,35884301000100.0,1,0.0,0.77,Atividades administrativas e serviços complementares
