provider,competencia,managed_pl_brl,confirmed_controlled_pl_brl,residual_unproven_pl_brl,bradesco_managed_pl_brl,confirmed_controlled_share,rank_without_confirmed,controlled_fidcs_expected,controlled_fidcs_reconciled,methodology,source_url,admin_group_pl_2024_brl,legacy_singulare_pl_2024_brl,original_qi_pl_2024_brl,legacy_share_2024,source_acquisition_url,source_reorganization_url
btg,2026-05,65638189206.92,28640582081.18,36997607125.74,40313986110.689995,0.4363402224715932,2.0,6.0,6.0,"seis FIDCs brasileiros ativos declarados controlados na DF IFRS 1T26, reconciliados por CNPJ ao PL CVM de mai/26",https://d169uzu5o4xu1k.cloudfront.net/78a5a309-f13a-41ed-a7d1-814e37b63259/2026/03dec8c5-4ac7-4de5-89b5-2bad97ed63cc.pdf,,,,,,
qi,2024-12,,,,,,,,,QI Tech canônico de dez/24 separado pelos CNPJs 62.285.390/0001-40 e 46.955.383/0001-52,,87044842995.93,83494947648.03,3549895347.8999996,0.9592176259302808,https://qitech.com.br/newsroom/qi-tech-faz-aquisicao-da-singulare-corretora-lider-em-fidcs/,https://www.bcb.gov.br/content/estabilidadefinanceira/evolucaosfnmes/202511%20-%20Quadro%2004%20-%20Autoriza%C3%A7%C3%B5es%20e%20altera%C3%A7%C3%B5es%20societ%C3%A1rias%20-%20principais%20ocorr%C3%AAncias.pdf
