competencia,tipo_recebivel_tabela_ii,fundos_incluidos,pl_incluido_brl,carteira_incluida_brl,inadimplencia_reportada_brl,valor_tabela_ii_brl,inadimplencia_sobre_pl,inadimplencia_sobre_carteira,share_pl_universo_ex_fic_positivo,fundos_inadimplencia_positiva,pl_inadimplencia_positiva_brl,carteira_inadimplencia_positiva_brl,inadimplencia_positiva_brl,inadimplencia_sobre_pl_ex_zeros,inadimplencia_sobre_carteira_ex_zeros,variacao_inadimplencia_sobre_pl_pp,variacao_inadimplencia_sobre_carteira_pp
2026-06,Financeiro,1215,256239377629.81,232588288702.9,16671268513.96,250584020039.71,0.06506130583116325,0.07167716228075131,0.31194442901244573,649,137771983812.59,124598009593.97,16671268513.96,0.12100623111181862,0.1338004400574856,0.055944925280655367,0.06212327777673428
2026-06,Cartão de crédito,41,96884931390.93,76352383719.2,897937627.78,77491578447.24,0.00926808343556366,0.01176044000253262,0.11794719017120196,12,10800328980.539999,9146935042.380001,897937627.78,0.08313984040651923,0.09816814305771648,0.07387175697095556,0.08640770305518386
2026-06,Comercial,257,93385844928.04,73242632750.59,2806645330.27,79628326153.81,0.03005429069504813,0.038319831290436396,0.11368742128311043,129,26333210757.61,21926470850.91,2806645330.27,0.10658196435309018,0.1280026023957028,0.07652767365804206,0.0896827711052664
2026-06,Industrial,52,65013548181.39,61479552613.56,654573322.99,61922741001.009995,0.010068260251905008,0.01064700856078817,0.07914714105657995,32,2466999215.02,2136582447.7,654573322.99,0.26533179216463326,0.30636464494718596,0.25526353191272827,0.2957176363863978
2026-06,Serviços,160,36529338314.49,31359856738.98,486889778.28000003,31867100533.66,0.013328732485878802,0.015525892937986566,0.04447061840424315,66,7221729021.45,6693967309.71,486889778.28000003,0.06742011183663063,0.0727356074138183,0.054091379350751825,0.057209714475831744
2026-06,Setor público,129,30600789960.969997,24509154018.63,660957941.27,24837813754.61,0.021599375117865378,0.026967799083052392,0.03725323578289103,26,2714453308.1,2659242340.84,660957941.27,0.24349578579881412,0.24855122495575824,0.22189641068094873,0.22158342587270585
2026-06,Ações judiciais,160,21969975460.06,19717131820.03,544610917.35,21254281449.92,0.024788872356278576,0.02762120385058984,0.026746129005226552,20,2528707159.81,2147310998.3400002,544610917.35,0.21537128774963432,0.2536246113259872,0.19058241539335574,0.22600340747539735
2026-06,Agronegócio,36,7064715402.79,4722615671.88,464036713.3,5039674178.65,0.06568370937019521,0.09825841134247415,0.008600546226905816,14,2912251316.75,2031781466.55,464036713.3,0.1593395153196646,0.22838908659204496,0.09365580594946937,0.1301306752495708
2026-06,Imobiliário,15,921381939.25,700748951.53,51005709.67,790864957.04,0.05535783533104456,0.07278742202701159,0.0011216853771669627,7,568622305.4499999,523395421.75,51005709.67,0.08970050801935175,0.09745157781369149,0.034342672688307194,0.024664155786679895
2026-06,Factoring,1,103640698.41,82562643.94999999,11487687.9,95054204.86,0.11084147517565923,0.13913905066990048,0.00012617162431086612,1,103640698.41,82562643.94999999,11487687.9,0.11084147517565923,0.13913905066990048,0.0,0.0
