cnpj_fundo,veiculos_reportantes,cnpjs_reportantes,pl_brl,cnpj_fundo_14,diferenca_veiculos_menos_fundo,universo_veiculos,universo_fundos
07.727.002/0001-26,1,07.727.002/0001-26,3140454721.87,07727002000126,0,4252,4247
62.393.829/0001-59,1,62.393.829/0001-59,3091715187.97,62393829000159,0,4252,4247
11.468.186/0001-24,1,11.468.186/0001-24,3090301588.05,11468186000124,0,4252,4247
62.588.266/0001-54,1,62.588.266/0001-54,3085111034.31,62588266000154,0,4252,4247
60.010.416/0001-12,1,60.010.416/0001-12,3072067502.44,60010416000112,0,4252,4247
51.079.269/0001-46,1,51.079.269/0001-46,3058107297.6,51079269000146,0,4252,4247
24.194.675/0001-87,1,24.194.675/0001-87,3030582055.52,24194675000187,0,4252,4247
33.254.370/0001-04,1,33.254.370/0001-04,3017886933.33,33254370000104,0,4252,4247
11.230.727/0001-81,1,11.230.727/0001-81,2984648919.61,11230727000181,0,4252,4247
65.976.848/0001-04,1,65.976.848/0001-04,2967229777.92,65976848000104,0,4252,4247
53.029.409/0001-05,1,53.029.409/0001-05,2943415740.48,53029409000105,0,4252,4247
55.471.753/0001-77,1,55.471.753/0001-77,2879663753.83,55471753000177,0,4252,4247
32.321.307/0001-80,1,32.321.307/0001-80,2712460624.74,32321307000180,0,4252,4247
57.609.282/0001-46,1,57.609.282/0001-46,2700487143.69,57609282000146,0,4252,4247
54.836.930/0001-09,1,54.836.930/0001-09,2688587997.05,54836930000109,0,4252,4247
52.256.912/0001-22,1,52.256.912/0001-22,2661592324.9,52256912000122,0,4252,4247
26.405.883/0001-03,1,26.405.883/0001-03,2633629374.15,26405883000103,0,4252,4247
20.441.301/0001-68,1,20.441.301/0001-68,2531753764.54,20441301000168,0,4252,4247
29.492.605/0001-29,1,29.492.605/0001-29,2494236413.23,29492605000129,0,4252,4247
50.095.909/0001-49,1,50.095.909/0001-49,2489750068.19,50095909000149,0,4252,4247
