competencia,bank_group,cnpj_root8,cnpj_fundo,denominacao,pl_brl,observado,pl_reportado_zero,source_reference
2023-12,BB,65534981,,não observado,,False,False,FIDCs.xlsx#BB!A2:D2
2023-12,BTG,50906397,50906397000153,BTG PACTUAL CONSIGNADOS FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,13765037756.14,True,False,FIDCs.xlsx#BTG!A12:D12
2023-12,BTG,52242420,52242420000188,BTG PACTUAL CONSIGNADOS II FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,3359054362.26,True,False,FIDCs.xlsx#BTG!A13:D13
2023-12,BTG,24194675,24194675000187,FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS ALTERNATIVE ASSETS I RESPONSABILIDADE LIMITADA,3213758554.2,True,False,FIDCs.xlsx#BTG!A5:D5
2023-12,BTG,29225241,29225241000110,FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS ALTERNATIVE ASSETS III RESPONSABILIDADE LIMITADA,2266144774.05,True,False,FIDCs.xlsx#BTG!A4:D4
2023-12,BTG,40750266,40750266000176,FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS MT I RECEIVABLES RESPONSABILIDADE LIMITADA,1950695458.27,True,False,FIDCs.xlsx#BTG!A10:D10
2023-12,BTG,23954863,23954863000101,JC 4870 IV FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO-PADRONIZADOS - FIDC-NP,1332273596.09,True,False,FIDCs.xlsx#BTG!A32:D32
2023-12,BTG,40752367,40752367000186,MT INSS RECEIVABLES II FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA,919823562.07,True,False,FIDCs.xlsx#BTG!A9:D9
2023-12,BTG,32774233,32774233000138,FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS PRECATÓRIOS BRASIL,731460180.97,True,False,FIDCs.xlsx#BTG!A3:D3
2023-12,BTG,36672404,36672404000179,FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS CRÉDITOS NÃO PADRONIZADOS I RESPONSABILIDADE LIMITADA,692091256.75,True,False,FIDCs.xlsx#BTG!A2:D2
2023-12,BTG,20403406,20403406000122,SG II A FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO-PADRONIZADOS,497855591.48,True,False,FIDCs.xlsx#BTG!A23:D23
2023-12,BTG,49999307,49999307000137,ATIVOS ESTRATÉGICOS LOCAIS FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,453184000.21,True,False,FIDCs.xlsx#BTG!A19:D19
2023-12,BTG,26570645,26570645000153,JC 4870 VI - FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO PADRONIZADOS,415586938.89,True,False,FIDCs.xlsx#BTG!A31:D31
2023-12,BTG,23798073,23798073000176,JC PLÁSTICOS FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS NAO-PADRONIZADOS - FIDC - NP,408185430.78,True,False,FIDCs.xlsx#BTG!A22:D22
2023-12,BTG,39863047,39863047000114,FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS DO SETOR ELÉTRICO - INVESTIMENTO EM COTAS,365907174.39,True,False,FIDCs.xlsx#BTG!A7:D7
2023-12,BTG,26471075,26471075000144,JC 4870 V FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO PADRONIZADOS - FIDC-NP,263791930.06,True,False,FIDCs.xlsx#BTG!A30:D30
2023-12,BTG,36335689,36335689000152,FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS SETOR PÚBLICO,191797514.16,True,False,FIDCs.xlsx#BTG!A28:D28
2023-12,BTG,47410134,47410134000144,FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS ALTERNATIVE ASSETS IV - E,131637247.57,True,False,FIDCs.xlsx#BTG!A11:D11
2023-12,BTG,36335649,36335649000100,FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS SPECIAL SITUATIONS,126541553.9,True,False,FIDCs.xlsx#BTG!A27:D27
2023-12,BTG,43721713,43721713000157,BTG CONSÓRCIOS FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS II,55089494.74,True,False,FIDCs.xlsx#BTG!A6:D6
2023-12,BTG,36669346,36669346000124,FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS INSOLVÊNCIA,23444557.02,True,False,FIDCs.xlsx#BTG!A26:D26
2023-12,BTG,36335723,36335723000199,FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS COMERCIAIS,1874585.9,True,False,FIDCs.xlsx#BTG!A25:D25
2023-12,BTG,43508561,,não observado,,False,False,FIDCs.xlsx#BTG!A8:D8
2023-12,BTG,52049112,,não observado,,False,False,FIDCs.xlsx#BTG!A14:D14
2023-12,BTG,54134587,,não observado,,False,False,FIDCs.xlsx#BTG!A15:D15
2023-12,BTG,54871427,,não observado,,False,False,FIDCs.xlsx#BTG!A16:D16
2023-12,BTG,55521594,,não observado,,False,False,FIDCs.xlsx#BTG!A17:D17
2023-12,BTG,58328083,,não observado,,False,False,FIDCs.xlsx#BTG!A18:D18
2023-12,BTG,62083078,,não observado,,False,False,FIDCs.xlsx#BTG!A21:D21
2023-12,BTG,62084270,,não observado,,False,False,FIDCs.xlsx#BTG!A20:D20
2023-12,BTG,64157536,,não observado,,False,False,FIDCs.xlsx#BTG!A24:D24
2023-12,BTG,65473848,,não observado,,False,False,FIDCs.xlsx#BTG!A29:D29
2023-12,BTG,66737102,,não observado,,False,False,FIDCs.xlsx#BTG!A33:D33
2023-12,Bradesco,43489824,43489824000180,FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS COMPLEMENTAR AUTO-FORD,640348623.1,True,False,FIDCs.xlsx#Bradesco!A2:C2
2023-12,Itau,29292312,29292312000106,FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO PADRONIZADOS NPL II,1649396718.53,True,False,FIDCs.xlsx#Itau!A2:C2
2023-12,Itau,08417544,08417544000165,CRÉDITO UNIVERSITÁRIO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESPONSABILIDADE LIMITADA,927355966.97,True,False,FIDCs.xlsx#Itau!A4:C4
2023-12,Itau,50988212,50988212000105,CARTÃO DE COMPRA SUPPLIER FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS II-RESPONSABILIDADE LIMITADA,590956784.81,True,False,FIDCs.xlsx#Itau!A10:C10
2023-12,Itau,42085830,42085830000109,CLOUDWALK AKIRA I FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS SEGMENTO MEIOS DE PAGAMENTO,516267886.12,True,False,FIDCs.xlsx#Itau!A5:C5
2023-12,Itau,26749095,26749095000134,PRAVALER CRÉDITO UNIVERSITÁRIO II FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESP LIMITADAL,266289799.32,True,False,FIDCs.xlsx#Itau!A3:C3
2023-12,Itau,45598747,45598747000121,SUMUP SOLO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS SEGMENTO MEIOS DE PAGAMENTO DE RESPONSABILI,213499724.89,True,False,FIDCs.xlsx#Itau!A7:C7
2023-12,Itau,44395252,44395252000132,B2CYCLE FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA,97179583.05,True,False,FIDCs.xlsx#Itau!A6:C6
2023-12,Itau,48967719,48967719000122,SOULPAY FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,52155696.34,True,False,FIDCs.xlsx#Itau!A8:C8
2023-12,Itau,48997793,48997793000191,IA FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESPONSABILIDADE LIMITADA,49740872.87,True,False,FIDCs.xlsx#Itau!A9:C9
2023-12,Itau,52271464,52271464000136,KIWIFY FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS SEGMENTO MEIOS DE PAGAMENTO DE RESPONSABILIDADE,71134.6,True,False,FIDCs.xlsx#Itau!A14:C14
2023-12,Itau,54178902,,não observado,,False,False,FIDCs.xlsx#Itau!A11:C11
2023-12,Itau,55983705,,não observado,,False,False,FIDCs.xlsx#Itau!A13:C13
2023-12,Itau,57270666,,não observado,,False,False,FIDCs.xlsx#Itau!A12:C12
2023-12,Itau,61285603,,não observado,,False,False,FIDCs.xlsx#Itau!A15:C15
2023-12,Itau,62092802,,não observado,,False,False,FIDCs.xlsx#Itau!A17:C17
2023-12,Itau,62626887,,não observado,,False,False,FIDCs.xlsx#Itau!A18:C18
