destino_grupo,admin_destino_cnpj,fundos,pl_2025_12_brl,pl_2026_05_brl,pl_comparavel_brl,pl_current_brl,pl_flow_brl
Saída / sem reporte,,37,37622689546.53001,0.0,,0.0,37622689546.53001
CBSF,34829992000186,55,18565417755.920002,18579837036.93,18530989967.37,18579837036.93,18565417755.920002
Banco Master,33886862000112,9,6424872547.74,6492174868.32,6424052524.35,6492174868.32,6424872547.74
Planner Corretora De Valores,00806535000154,24,3578562097.0,3390791825.5499997,3350510677.79,3390791825.5499997,3578562097.0
Outros migrados,,6,135146259.33,133749361.53,120891770.79,133749361.53,135146259.33
