papel,grupo_origem,grupo_destino,fundos,pl_origem_brl,pl_destino_brl,pl_comparavel_brl,share_pl_comparavel,competencia_origem,competencia_destino
administrador,CBSF,Finvest,2,25931116.42,205186092.60000002,205186092.60000002,0.00034865583314523424,2024-12,2026-05
administrador,Banco Master,Genial,1,207816895.87,203220393.54,203220393.54,0.00034531568257853293,2024-12,2026-05
administrador,QI Tech,Planner Corretora De Valores,4,172959426.1,195413761.64000002,195413761.64000002,0.00033205051575039554,2024-12,2026-05
administrador,Catalise,Daycoval,1,34658646.87,188906800.74,188906800.74,0.00032099377284406386,2024-12,2026-05
administrador,QI Tech,Baru,3,148743133.68,185873794.63,185873794.63,0.0003158400352840912,2024-12,2026-05
administrador,Finaxis,Vórtx,1,206642789.51,183551838.89,183551838.89,0.0003118945270734823,2024-12,2026-05
administrador,Maf,BTG Pactual,2,135256864.29999998,182635628.56,182635628.56,0.00031033768629594894,2024-12,2026-05
administrador,Limine Trust,Integral Access,1,38886161.43,181944777.56,181944777.56,0.00030916378007290985,2024-12,2026-05
administrador,Banco Master,Fidd,7,129637773.35,180491770.73,180491770.73,0.0003066948052001003,2024-12,2026-05
administrador,Azumi,Monetar,3,164945345.82,178709603.66,178709603.66,0.000303666515432888,2024-12,2026-05
administrador,Banvox,Id Corretora De Titulos E Valores Mobiliarios,2,95127444.9,178066978.67000002,178066978.67000002,0.0003025745556979504,2024-12,2026-05
administrador,Monetar,Id Corretora De Titulos E Valores Mobiliarios,2,104110482.25,177636716.47,177636716.47,0.00030184344656715586,2024-12,2026-05
administrador,CBSF,Oliveira Trust,2,205385177.53,176045590.46,176045590.46,0.0002991397771438238,2024-12,2026-05
administrador,BTG Pactual,Daycoval,2,108940644.98,165455469.26999998,165455469.26999998,0.0002811448561439565,2024-12,2026-05
administrador,Id Corretora De Titulos E Valores Mobiliarios,Vert,1,5010457.74,163982858.7,163982858.7,0.0002786425702498402,2024-12,2026-05
administrador,Planner Corretora De Valores,Actual,4,171525277.26,158770986.03,158770986.03,0.00026978646414157597,2024-12,2026-05
administrador,QI Tech,Id Corretora De Titulos E Valores Mobiliarios,6,83784380.55,158226967.85999998,158226967.85999998,0.00026886205885706546,2024-12,2026-05
administrador,CBSF,Fidd,4,192270706.42000002,144247448.06,144247448.06,0.00024510781186557476,2024-12,2026-05
administrador,QI Tech,Monetar,2,95695680.33,134316697.79,134316697.79,0.00022823330558071695,2024-12,2026-05
administrador,BRL Trust,Lions Trust,1,133950300.38,133561119.55,133561119.55,0.00022694941368806725,2024-12,2026-05
administrador,Maf,Itaú,1,138695144.36,130710920.2,130710920.2,0.0002221063046039565,2024-12,2026-05
administrador,CBSF,Limine Trust,2,126913418.59,125867793.97,125867793.97,0.00021387677896042275,2024-12,2026-05
administrador,Banvox,Vórtx,2,136088983.78,125787473.85,125787473.85,0.00021374029759366892,2024-12,2026-05
administrador,Vórtx,Qore,2,207459939.3,124902203.53,124902203.53,0.00021223603062768087,2024-12,2026-05
administrador,Banvox,Hemera,1,40441243.09,123120443.81,123120443.81,0.0002092084330367844,2024-12,2026-05
administrador,Sefer Investimentos,CBSF,1,97967772.97,112799273.69,112799273.69,0.00019167051844606474,2024-12,2026-05
administrador,QI Tech,Hemera,1,92933370.38,112693293.85,112693293.85,0.00019149043562980957,2024-12,2026-05
administrador,Trustee,Id Corretora De Titulos E Valores Mobiliarios,2,204363840.68,109849148.91,109849148.91,0.00018665761430612155,2024-12,2026-05
administrador,Hedge Investments,Oliveira Trust,1,88935635.56,106467174.37,106467174.37,0.0001809109034253878,2024-12,2026-05
administrador,Planner Corretora De Valores,Daycoval,1,19783337.13,88857029.75,88857029.75,0.0001509874346049958,2024-12,2026-05
administrador,Azumi,Limine Trust,1,8321642.89,88002429.03,88002429.03,0.00014953528196510427,2024-12,2026-05
administrador,Id Corretora De Titulos E Valores Mobiliarios,QI Tech,1,9270118.47,82542218.72,82542218.72,0.0001402571961520834,2024-12,2026-05
administrador,BRL Trust,Oslo Capital,1,75610167.32,79222381.48,79222381.48,0.00013461607006916109,2024-12,2026-05
administrador,Vórtx,Monetar,1,60208766.08,78667658.71,78667658.71,0.0001336734753392345,2024-12,2026-05
administrador,Limine Trust,Vórtx,1,38422874.83,77123372.75,77123372.75,0.00013104939735628896,2024-12,2026-05
administrador,Daycoval,QI Tech,1,63261635.86,71718336.65,71718336.65,0.00012186506453554902,2024-12,2026-05
administrador,Trustee,Finvest,1,3937128.86,71192912.39,71192912.39,0.00012097225435137077,2024-12,2026-05
administrador,Azumi,Oliveira Trust,1,23148948.63,67359724.33,67359724.33,0.00011445883348679477,2024-12,2026-05
administrador,Limine Trust,Planner Corretora De Valores,1,106529050.3,56336385.74,56336385.74,9.572778182808961e-05,2024-12,2026-05
administrador,CBSF,XP,1,68809503.23,55550221.62,55550221.62,9.439191786784627e-05,2024-12,2026-05
administrador,Fidd,Limine Trust,1,31024959.44,54986740.49,54986740.49,9.343444077789186e-05,2024-12,2026-05
administrador,Catalise,Fidd,1,493847.71,53940591.26,53940591.26,9.165680552611604e-05,2024-12,2026-05
administrador,Azumi,Baru,1,17275632.34,53355701.74,53355701.74,9.066295092169576e-05,2024-12,2026-05
administrador,Banvox,Fidd,1,66167049.5,52512350.2,52512350.2,8.92299130871763e-05,2024-12,2026-05
administrador,QI Tech,Integral Access,1,42729953.25,52058377.58,52058377.58,8.845851479187474e-05,2024-12,2026-05
administrador,Monetar,Vórtx,1,7144045.97,49864716.3,49864716.3,8.473100679401133e-05,2024-12,2026-05
administrador,CBSF,Ativa Investimentos,2,75338299.11,49665320.20999999,49665320.20999999,8.439218943556404e-05,2024-12,2026-05
administrador,CBSF,BTG Pactual,1,45474000.4,48807381.21,48807381.21,8.293436433132603e-05,2024-12,2026-05
administrador,BTG Pactual,Ativa Investimentos,1,57960328.59,48619861.33,48619861.33,8.261572723870324e-05,2024-12,2026-05
administrador,Id Corretora De Titulos E Valores Mobiliarios,Fidd,1,28240266.71,38232928.43,38232928.43,6.496606737051223e-05,2024-12,2026-05
administrador,QI Tech,XP,1,20039745.02,38114227.7,38114227.7,6.476436899325536e-05,2024-12,2026-05
administrador,Vórtx,BRL Trust,1,134282776.42,37587697.04,37587697.04,6.386967879465264e-05,2024-12,2026-05
administrador,Hemera,Planner Corretora De Valores,1,45572020.78,37354663.56,37354663.56,6.3473704188915e-05,2024-12,2026-05
administrador,Azumi,Sefer Investimentos,1,33725311.55,35725627.41,35725627.41,6.07056171860147e-05,2024-12,2026-05
administrador,Banvox,Planner Corretora De Valores,1,28863868.21,35033302.47,35033302.47,5.9529206418090546e-05,2024-12,2026-05
administrador,Trustee,Qore,1,10760440.02,31136966.26,31136966.26,5.290848310152648e-05,2024-12,2026-05
administrador,Hemera,Daycoval,1,17073974.62,30286976.89,30286976.89,5.146416614901416e-05,2024-12,2026-05
administrador,Banvox,BRL Trust,1,12063939.64,24842645.98,24842645.98,4.2213062892981876e-05,2024-12,2026-05
administrador,Finaxis,Monetar,1,3083890.9,24288828.09,24288828.09,4.127200575113597e-05,2024-12,2026-05
administrador,Limine Trust,Monetar,1,11563112.63,23657567.53,23657567.53,4.019935665640621e-05,2024-12,2026-05
administrador,QI Tech,Trustee,1,37913298.56,22284197.43,22284197.43,3.786570192199048e-05,2024-12,2026-05
administrador,BRL Trust,Limine Trust,1,22883799.92,21612763.32,21612763.32,3.672478922143751e-05,2024-12,2026-05
administrador,Banco Master,Finvest,1,42191038.14,20273803.36,20273803.36,3.444960480476272e-05,2024-12,2026-05
administrador,Daycoval,Vórtx,1,36197076.96,19119850.39,19119850.39,3.2488787533632685e-05,2024-12,2026-05
administrador,Azumi,Finvest,2,21907462.16,18206332.78,18206332.78,3.093652227349003e-05,2024-12,2026-05
administrador,Planner Corretora De Valores,Vórtx,1,19602410.16,17031642.59,17031642.59,2.8940467951814316e-05,2024-12,2026-05
administrador,Sefer Investimentos,Planner Corretora De Valores,2,52526459.07,16458558.11,16458558.11,2.7966672679897315e-05,2024-12,2026-05
administrador,Vórtx,Daycoval,1,10904778.68,13450177.02,13450177.02,2.2854778388908134e-05,2024-12,2026-05
administrador,Planner Corretora De Valores,Id Corretora De Titulos E Valores Mobiliarios,1,4406293.91,12538609.33,12538609.33,2.1305826467274697e-05,2024-12,2026-05
administrador,Trustee,Sefer Investimentos,1,10011523.07,11811064.33,11811064.33,2.0069569151238407e-05,2024-12,2026-05
administrador,BTG Pactual,Fidd,1,11001266.61,10370662.64,10370662.64,1.7622013154985895e-05,2024-12,2026-05
administrador,Limine Trust,Finvest,1,14946746.47,9781519.84,9781519.84,1.6620931302055693e-05,2024-12,2026-05
administrador,Azumi,BRL Trust,1,4655019.04,9649374.84,9649374.84,1.6396388183722647e-05,2024-12,2026-05
administrador,Banco Master,BRL Trust,1,19095440.15,8035757.95,8035757.95,1.365450185979461e-05,2024-12,2026-05
administrador,Banco Master,Monetar,1,45157259.08,7418763.49,7418763.49,1.26060939741946e-05,2024-12,2026-05
administrador,Planner Corretora De Valores,Sefer Investimentos,2,7711567.88,7272372.03,7272372.03,1.2357343019366743e-05,2024-12,2026-05
administrador,CBSF,Wnt Capital,1,6657672.05,3785892.69,3785892.69,6.433055736402292e-06,2024-12,2026-05
administrador,Banco Master,Planner Corretora De Valores,1,3982168.56,3784822.36,3784822.36,6.43123701275898e-06,2024-12,2026-05
administrador,Trustee,Wnt Capital,1,4571446.97,2249193.93,2249193.93,3.8218700577241445e-06,2024-12,2026-05
administrador,Sefer Investimentos,Baru,1,8946457.44,2083377.6,2083377.6,3.5401120206531896e-06,2024-12,2026-05
administrador,QI Tech,Actual,1,202006.44,861150.75,861150.75,1.4632825665733902e-06,2024-12,2026-05
