competencia,cnpj_fundo,denominacao,pl_brl,veiculos,tabela_i_carteira_brl,tabela_ii_total_brl,tabela_ii_reportada,gap_tabela_ii_menos_i_brl,gap_positivo_brl,gap_negativo_brl,rank_gap_positivo,share_gap_positivo,share_gap_positivo_acumulado
2023-12,09194841000151,ATLÂNTICO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA,126419828.95,1,46099539.21,16869125343.73,True,16823025804.52,16823025804.52,-0.0,1,0.32540574398340005,0.32540574398340005
2023-12,41970012000126,MERCADO CRÉDITO II BRASIL FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS DE RESPONSABILIDADE LIMITADA,1645093074.55,1,1340205328.97,3691944686.87,True,2351739357.8999996,2351739357.8999996,-0.0,2,0.04548940864174866,0.3708951526251487
2023-12,37511828000114,MERCADO CRÉDITO I BRASIL FIDC SEGMENTO FINANCEIRO DE RESPONSABILIDADE LIMITADA,1614397997.82,1,1242766870.52,3316031714.57,True,2073264844.0500002,2073264844.0500002,-0.0,3,0.04010290995758046,0.4109980625827292
2023-12,33254370000104,MERCADO CRÉDITO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA,395881561.75,1,320186533.82,1884315356.82,True,1564128823.0,1564128823.0,-0.0,4,0.030254753767151882,0.44125281634988106
2023-12,15489383000180,FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS SAN MARINO,71557570.37,1,22684684.04,1303618728.57,True,1280934044.53,1280934044.53,-0.0,5,0.024776951577994873,0.4660297679278759
2023-12,21648446000105,CREDIFIX FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,261670684.28,1,261950618.77,1457124084.5,True,1195173465.73,1195173465.73,-0.0,6,0.023118095122971014,0.48914786305084695
2023-12,12428086000137,FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO-PADRONIZADOS MULTISSETORIAL BS NP,1533391108.04,1,1324290552.05,2517933076.59,True,1193642524.5400002,1193642524.5400002,-0.0,7,0.02308848231355638,0.5122363453644033
2023-12,12817329000129,"HAVAN FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS SEGMENTO ECONÔMICO, FINANCEIRO E COMERCIAL",2525835796.15,1,2018368568.94,3138544844.23,True,1120176275.29,1120176275.29,-0.0,8,0.021667433581143265,0.5339037789455466
2023-12,29226654000110,INVESTCRED FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,772356531.02,1,664468751.61,1740204244.06,True,1075735492.4499998,1075735492.4499998,-0.0,9,0.020807820918635818,0.5547115998641825
2023-12,11375619000105,CJP FIDC-NP CRÉDITOS JUDICIAIS E PRECATÓRIOS,1035612295.33,1,1028516093.66,2064128388.99,True,1035612295.33,1035612295.33,-0.0,10,0.020031722792083685,0.5747433226562662
2023-12,26405883000103,FIDC MULTISEGMENTOS NPL IPANEMA VI RESPONSABILIDADE LIMITADA,2537413411.73,1,1961525353.66,2845439973.48,True,883914619.8199999,883914619.8199999,-0.0,11,0.017097453087366172,0.5918407757436324
2023-12,22358482000199,AFINITTY MF FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS FINANCEIROS - RESPONSABILIDADE LIMITADA,845999368.92,1,816815509.77,1680317151.94,True,863501642.1700001,863501642.1700001,-0.0,12,0.016702607341048052,0.6085433830846804
2023-12,12401806000170,AIMORES FIDC-NP - RESPONSABILIDADE LIMITADA,-15099.26,1,0.01,558974464.69,True,558974464.6800001,558974464.6800001,-0.0,13,0.010812175149731219,0.6193555582344116
2023-12,35557748000174,NEON FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS 1,1945243700.15,1,1801263764.82,2353901432.04,True,552637667.22,552637667.22,-0.0,14,0.010689603246442013,0.6300451614808535
2023-12,14330038000137,FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS F ACB - FINANCEIRO,940900774.35,1,940624773.4,1435222574.46,True,494597801.06000006,494597801.06000006,-0.0,15,0.009566945167690369,0.639612106648544
2023-12,52883033000120,BES CARD FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,45677373.47,1,49796671.15,540957760.33,True,491161089.18000007,491161089.18000007,-0.0,16,0.009500469267387849,0.6491125759159319
2023-12,37606580000175,OPENCO FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS,111234912.27,1,107155969.71,565082360.78,True,457926391.07,457926391.07,-0.0,17,0.00885761454016972,0.6579701904561016
2023-12,26690373000125,SIMPLIC FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESPONSABILIDADE LIMITADA,142117938.15,1,105262114.19,553237490.9,True,447975376.71,447975376.71,-0.0,18,0.008665133278544639,0.6666353237346463
2023-12,42299306000130,PRAT 12 FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,47074893.06,1,36680342.81,461877379.35,True,425197036.54,425197036.54,-0.0,19,0.008224534612415606,0.6748598583470619
2023-12,32526025000110,COBUCCIO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS DE CLASSE ÚNICA FECHADA DE RESPONS LIMITADA,557628738.55,1,556769532.19,956661688.11,True,399892155.91999996,399892155.91999996,-0.0,20,0.007735065381360284,0.6825949237284221
2023-12,20649717000176,ELDORADO I FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO PADRONIZADOS,36851551.78,1,0.0,375570417.15,True,375570417.15,375570417.15,-0.0,21,0.007264612943648674,0.6898595366720708
2023-12,12440789000180,LME REC MULTISETORIAL IPCA - FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS,72020308.77,1,66470947.12,412279503.47,True,345808556.35,345808556.35,-0.0,22,0.006688932886535982,0.6965484695586067
2023-12,08845618000164,FIDC MULTISETORIAL MAXIMUM,6387021.85,1,0.0,341072643.49,True,341072643.49,341072643.49,-0.0,23,0.006597326699542273,0.703145796258149
2023-12,06018364000185,FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - FIDC PREMIUM,29510379.86,1,0.0,336363894.98,True,336363894.98,336363894.98,-0.0,24,0.0065062459492698935,0.7096520422074188
2023-12,23006061000161,MARTE FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,316728398.6,1,309966486.42,619933006.4,True,309966519.97999996,309966519.97999996,-0.0,25,0.005995644732170416,0.7156476869395892
2023-12,34508740000155,FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS ENERGIA SOLAR,28768733.5,1,28425193.62,319271021.76,True,290845828.14,290845828.14,-0.0,26,0.0056257955132504285,0.7212734824528396
2023-12,11003181000126,BBIF MASTER FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS LP,33073364.2,1,0.0,259752519.83,True,259752519.83,259752519.83,-0.0,27,0.005024361428735008,0.7262978438815746
2023-12,12579631000196,VINCI CRÉDITO E DESENVOLVIMENTO I - FI EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA,101642113.18,1,98223000.01,346732020.08,True,248509020.07,248509020.07,-0.0,28,0.004806879779066673,0.7311047236606413
2023-12,23104468000121,SELECTOR FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO-PADRONIZADOS,19360103.85,1,21850373.99,267122632.37,True,245272258.38,245272258.38,-0.0,29,0.004744271490993523,0.7358489951516348
2023-12,13990000000128,FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS MULTISETORIAL ITÁLIA,59586252.16,1,44375000.16,270978412.03,True,226603411.86999997,226603411.86999997,-0.0,30,0.004383162261388333,0.7402321574130232
2023-12,17015979000174,EXCLUSIVO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS MULTISEGMENTOS DE RESPONSABILIDADE LIMITADA,558008890.38,1,339419394.72,565710968.99,True,226291574.26999998,226291574.26999998,-0.0,31,0.004377130424582689,0.7446092878376058
2023-12,11468186000124,ATLANTA FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS DE RESPONSABILIDADE LIMITADA,1911204742.46,1,1783278298.1699998,2002523573.03,True,219245274.86000013,219245274.86000013,-0.0,32,0.004240834711285695,0.7488501225488915
2023-12,41778453000120,FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS DE RESPONSABILIDADE LIMITADA INCLUSÃO FINANCEIRA,186524872.96,1,162341359.95,357372011.05,True,195030651.10000002,195030651.10000002,-0.0,33,0.003772454186197047,0.7526225767350886
2023-12,12138813000121,FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS MULTISETORIAL MASTER III,1146467.5,1,0.0,194919315.14,True,194919315.14,194919315.14,-0.0,34,0.003770300628251117,0.7563928773633397
2023-12,37294908000165,FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS CCS ASSET II - RESPONSABILIDADE LIMITADA,63934182.56,1,148126325.83,334584937.47,True,186458611.64000002,186458611.64000002,-0.0,35,0.0036066462685044455,0.7599995236318442
2023-12,31368812000118,FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS BIZCAPITAL EMPÍRICA PME RESPONSABILIDADE LIMITADA,15257681.08,1,11681669.5,191325864.98,True,179644195.48,179644195.48,-0.0,36,0.0034748358447362357,0.7634743594765805
2023-12,14788370000140,FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS HUNGRIA,6136566.96,1,0.0,179422603.84,True,179422603.84,179422603.84,-0.0,37,0.0034705496245691523,0.7669449091011497
2023-12,22588302000165,ONE FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO-PADRONIZADOS,61271721.38,1,62397085.18,240251176.81,True,177854091.63,177854091.63,-0.0,38,0.0034402100834798814,0.7703851191846295
2023-12,28472333000132,MERCADO CRÉDITO MERCHANT FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,1490233.04,1,0.0,169108773.48,True,169108773.48,169108773.48,-0.0,39,0.003271050457141575,0.7736561696417711
2023-12,50168890000113,CEA PAY FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS FINANCEIROS RESPONSABILIDADE LIMITADA,827250842.78,1,818877606.79,987521118.48,True,168643511.69000006,168643511.69000006,-0.0,40,0.0032620509548712227,0.7769182205966423
2023-12,34096044000189,FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS CREDITAS CONSIGNADO,673688374.72,1,598373884.88,759638621.86,True,161264736.98000002,161264736.98000002,-0.0,41,0.003119324212245153,0.7800375448088874
2023-12,42432319000136,FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS BIZCAPITAL FINPASS PME RESPONSABILIDADE LIMITADA,123825624.63,1,87171870.05,247654108.88,True,160482238.82999998,160482238.82999998,-0.0,42,0.003104188445610474,0.7831417332544979
2023-12,12138862000164,FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS MULTISETORIAL SILVERADO MAXIMUM II,0.0,1,0.0,150088326.7,True,150088326.7,150088326.7,-0.0,43,0.002903140266236464,0.7860448735207344
2023-12,36643574000125,VIVO PAY I FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS RESPONSABILIDADE LIMITADA,215186073.74,1,208193679.4,358000390.08,True,149806710.67999998,149806710.67999998,-0.0,44,0.002897693001780558,0.7889425665225149
2023-12,39591404000132,DENARIUS FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,32129665.08,1,29778980.79,175360908.24,True,145581927.45000002,145581927.45000002,-0.0,45,0.0028159735331129564,0.7917585400556278
2023-12,26722650000134,VERDECARD FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA,1069209563.39,1,954052707.73,1095972336.56,True,141919628.82999992,141919628.82999992,-0.0,46,0.002745134135909493,0.7945036741915373
2023-12,08692888000182,CARTÃO DE COMPRA SUPPLIER FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESPONSABILIDADE LIMITADA,962208955.66,1,789496801.28,919680504.98,True,130183703.70000005,130183703.70000005,-0.0,47,0.002518127562143493,0.7970218017536809
2023-12,32321306000136,ARAGUAIA FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA,301031347.2,1,299360280.75,425830777.7,True,126470496.94999999,126470496.94999999,-0.0,48,0.0024463034551672493,0.7994681052088481
2023-12,43104412000184,FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS ALOHA I,59975664.25,1,54967828.81,176825405.16,True,121857576.35,121857576.35,-0.0,49,0.0023570762925140217,0.8018251815013622
2023-12,45445355000122,BEMOL CRÉDITO PESSOAL FIDC FINANCEIROS DE RESPONSABILIDADE LIMITADA,404656258.86,1,321347673.34,441310184.16,True,119962510.82000005,119962510.82000005,-0.0,50,0.0023204202702352445,0.8041456017715974
2023-12,38284301000167,SAV NEXOOS FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,35649133.46,1,34640504.35,141687674.16,True,107047169.81,107047169.81,-0.0,51,0.002070600398412353,0.8062162021700098
2023-12,32902582000198,GERU FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS I,2220324.58,1,1223073.89,107622702.78,True,106399628.89,106399628.89,-0.0,52,0.0020580750930790114,0.8082742772630888
2023-12,17024362000115,EXP 1 FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO PADRONIZADOS,66202019.18,1,67960488.83,170937836.39,True,102977347.55999999,102977347.55999999,-0.0,53,0.0019918783211516963,0.8102661555842404
2023-12,12330846000179,LHOTSE FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,74708594.91,1,73815733.38,172628866.87,True,98813133.49000001,98813133.49000001,-0.0,54,0.0019113304343862602,0.8121774860186267
2023-12,13842701000110,NEW TRADE BANK FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,193010384.49,1,180575793.3,273589191.74,True,93013398.44,93013398.44,-0.0,55,0.0017991468640356288,0.8139766328826623
2023-12,30591284000107,MOLEIRO CONSIGNADO FIDC FINANCEIROS DE RESPONSABILIDADE LIMITADA,864398109.12,1,856765202.89,949508855.0,True,92743652.11000001,92743652.11000001,-0.0,56,0.0017939291935511162,0.8157705620762135
2023-12,43104510000111,FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS ALOHA III,67795468.95,1,63840230.56,155447152.58,True,91606922.02000001,91606922.02000001,-0.0,57,0.0017719415615434792,0.8175425036377569
2023-12,50906397000153,BTG PACTUAL CONSIGNADOS FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,13765037756.14,1,11375169375.28,11465562988.46,True,90393613.1799984,90393613.1799984,-0.0,58,0.0017484726760795882,0.8192909763138365
