rank_excesso,competencia,cnpj_veiculo,cnpj_fundo,cnpj_formatado,cnpj_fundo_formatado,denominacao,pl,carteira_dc,dc_inadimplentes,dc_inadimplentes_ajustado_recalculado,excesso_removido_ajuste,share_excesso,share_excesso_acumulado,is_np,report_flag_source
11,2026-05,41778453000120,41778453000120,41.778.453/0001-20,41.778.453/0001-20,FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS DE RESPONSABILIDADE LIMITADA INCLUSÃO FINANCEIRA,347830986.65,302916998.92,579181215.76,302916998.92,276264216.84,0.018949810044043947,0.5453056467084161,False,campo_bruto_CVM_reprocessado
12,2026-05,11003181000126,11003181000126,11.003.181/0001-26,11.003.181/0001-26,BBIF MASTER FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS LP,31303785.87,0.0,259752519.83,0.0,259752519.83,0.017817222098260428,0.5631228688066765,False,campo_bruto_CVM_reprocessado
13,2026-05,32113885000121,32113885000121,32.113.885/0001-21,32.113.885/0001-21,MN I FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS NAO-PADRONIZADOS,549614285.94,0.0,234716701.7,0.0,234716701.7,0.016099938538024695,0.5792228073447012,True,campo_bruto_CVM_reprocessado
14,2026-05,34508740000155,34508740000155,34.508.740/0001-55,34.508.740/0001-55,FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS ENERGIA SOLAR,20015074.29,17307641.98,229992205.76,17307641.98,212684563.78,0.014588686616861203,0.5938114939615624,False,campo_bruto_CVM_reprocessado
15,2026-05,20649717000176,20649717000176,20.649.717/0001-76,20.649.717/0001-76,ELDORADO I FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO PADRONIZADOS,7418763.49,7108581.96,215818286.22,7108581.96,208709704.26,0.014316038809927222,0.6081275327714897,True,campo_bruto_CVM_reprocessado
16,2026-05,39591404000132,39591404000132,39.591.404/0001-32,39.591.404/0001-32,DENARIUS FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,14442121.05,20639570.37,221166978.68,20639570.37,200527408.31,0.013754790032397522,0.6218823228038872,False,campo_bruto_CVM_reprocessado
17,2026-05,13990000000128,13990000000128,13.990.000/0001-28,13.990.000/0001-28,FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS MULTISETORIAL ITÁLIA,37443527.49,15826299.85,207382144.33,15826299.85,191555844.48000002,0.013139402949983671,0.635021725753871,False,campo_bruto_CVM_reprocessado
18,2026-05,12138813000121,12138813000121,12.138.813/0001-21,12.138.813/0001-21,FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS MULTISETORIAL MASTER III,0.0,0.0,186390145.75,0.0,186390145.75,0.012785071828863659,0.6478067975827346,False,campo_bruto_CVM_reprocessado
19,2026-05,14788370000140,14788370000140,14.788.370/0001-40,14.788.370/0001-40,FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS HUNGRIA,5385036.18,0.0,179359687.89,0.0,179359687.89,0.012302831159067416,0.660109628741802,False,campo_bruto_CVM_reprocessado
20,2026-05,42432319000136,42432319000136,42.432.319/0001-36,42.432.319/0001-36,FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS BIZCAPITAL FINPASS PME RESPONSABILIDADE LIMITADA,1172733.33,259037.65,171774071.62,259037.65,171515033.97,0.011764742284056294,0.6718743710258583,False,campo_bruto_CVM_reprocessado
21,2026-05,31368812000118,31368812000118,31.368.812/0001-18,31.368.812/0001-18,FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS BIZCAPITAL EMPÍRICA PME RESPONSABILIDADE LIMITADA,924812.69,644005.75,168048897.05,644005.75,167404891.3,0.011482814990897195,0.6833571860167555,False,campo_bruto_CVM_reprocessado
22,2026-05,58829200000131,58829200000131,58.829.200/0001-31,58.829.200/0001-31,VOX FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESPONSABILIDADE LIMITADA,128219196.85,117604022.73,275441076.93,117604022.73,157837054.2,0.01082652769588945,0.694183713712645,False,campo_bruto_CVM_reprocessado
23,2026-05,51295720000162,51295720000162,51.295.720/0001-62,51.295.720/0001-62,OPI GOOROO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS MULTISSETORIAL - RESP LIMITADA,734675775.17,681104774.68,833865075.2,681104774.68,152760300.5200001,0.01047829758857839,0.7046620113012234,False,campo_bruto_CVM_reprocessado
24,2026-05,52327088000154,63212949000175,52.327.088/0001-54,63.212.949/0001-75,DUBROVNIK FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,2056350.8,2104485.95,152856816.04,2104485.95,150752330.09,0.010340564737549782,0.7150025760387732,False,campo_bruto_CVM_reprocessado
25,2026-05,11468192000181,11468192000181,11.468.192/0001-81,11.468.192/0001-81,DEL CRED NP FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO PADRONIZADOS MULTISSETORIAL,321008400.58,249465033.56,398273631.94,249465033.56,148808598.38,0.010207238217371394,0.7252098142561445,True,campo_bruto_CVM_reprocessado
26,2026-05,23293595000116,23293595000116,23.293.595/0001-16,23.293.595/0001-16,FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS PREMIER,9035718.02,4972508.25,153497412.49,4972508.25,148524904.24,0.01018777876610731,0.7353975930222518,False,campo_bruto_CVM_reprocessado
27,2026-05,17015979000174,17015979000174,17.015.979/0001-74,17.015.979/0001-74,EXCLUSIVO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS MULTISEGMENTOS DE RESPONSABILIDADE LIMITADA,255900473.71,199782633.8,346769526.1,199782633.8,146986892.3,0.010082281809455298,0.7454798748317071,False,campo_bruto_CVM_reprocessado
28,2026-05,23033577000103,23033577000103,23.033.577/0001-03,23.033.577/0001-03,ILLUMINATI FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,25678643.18,0.0,128808206.21,0.0,128808206.21,0.00883534996936356,0.7543152248010706,False,campo_bruto_CVM_reprocessado
29,2026-05,55374251000128,55374251000128,55.374.251/0001-28,55.374.251/0001-28,FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS BLUE II SEGMENTO CRÉDITO CORPORATIVO DE RESP LTDA,45540872.66,43399957.38,163157734.51,43399957.38,119757777.13,0.008214553277541474,0.7625297780786121,False,campo_bruto_CVM_reprocessado
30,2026-05,39273613000138,39273613000138,39.273.613/0001-38,39.273.613/0001-38,VANGUARD FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,-651006.78,0.0,117821208.33,0.0,117821208.33,0.008081718083331448,0.7706114961619436,False,campo_bruto_CVM_reprocessado
31,2026-05,25248974000110,25248974000110,25.248.974/0001-10,25.248.974/0001-10,FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS ANGÁ SABEMI CONSIGNADOS VI - RESPONSABILIDADE LIMITADA,59563305.59,57193191.74,157114102.87,57193191.74,99920911.13,0.006853881791133006,0.7774653779530766,False,campo_bruto_CVM_reprocessado
32,2026-05,45829761000199,45829761000199,45.829.761/0001-99,45.829.761/0001-99,FARMERS FIRST I FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,9547915.3,7321873.31,106756624.89,7321873.31,99434751.58,0.0068205346163559945,0.7842859125694326,False,campo_bruto_CVM_reprocessado
33,2026-05,12330846000179,12330846000179,12.330.846/0001-79,12.330.846/0001-79,LHOTSE FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,1447496.91,99999.83,97671246.96,99999.83,97571247.13,0.0066927111300295605,0.7909786236994621,False,campo_bruto_CVM_reprocessado
34,2026-05,63812734000195,63812734000195,63.812.734/0001-95,63.812.734/0001-95,FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS CREDITAS TEMPUS IV,14920925.41,8482306.01,98131776.86,8482306.01,89649470.85,0.006149332195781432,0.7971279558952435,False,campo_bruto_CVM_reprocessado
35,2026-05,38284301000167,38284301000167,38.284.301/0001-67,38.284.301/0001-67,SAV NEXOOS FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,659855.8,142728.92,85639121.56,142728.92,85496392.64,0.005864459822233548,0.8029924157174771,False,campo_bruto_CVM_reprocessado
36,2026-05,45963809000157,45963809000157,45.963.809/0001-57,45.963.809/0001-57,PAYJOY I FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS SEGMENTO FINANCEIRO,509815862.02,431452349.44,511941180.58,431452349.44,80488831.13999999,0.005520975818788305,0.8085133915362654,False,campo_bruto_CVM_reprocessado
37,2026-05,46073462000130,46073462000130,46.073.462/0001-30,46.073.462/0001-30,FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS OPEN II RESPONSABILIDADE LIMITADA,20901237.56,18209716.04,94488198.84,18209716.04,76278482.80000001,0.005232175111353714,0.8137455666476192,False,campo_bruto_CVM_reprocessado
38,2026-05,13344834000166,13344834000166,13.344.834/0001-66,13.344.834/0001-66,INCENTIVO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS MULTISSETORIAL II,-26288130.51,27474572.83,101746506.77,27474572.83,74271933.94,0.005094539770171925,0.8188401064177911,False,campo_bruto_CVM_reprocessado
39,2026-05,54114034000136,54114034000136,54.114.034/0001-36,54.114.034/0001-36,BRAVANO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,147285195.12,149318901.98999998,223280363.08,149318901.98999998,73961461.09000003,0.005073243485048109,0.8239133499028393,False,campo_bruto_CVM_reprocessado
40,2026-05,51707771000154,51707771000154,51.707.771/0001-54,51.707.771/0001-54,ROVER FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,77640675.87,13725850.48,86885696.3,13725850.48,73159845.82,0.005018258234809555,0.8289316081376488,False,campo_bruto_CVM_reprocessado
41,2026-05,42321262000106,42321262000106,42.321.262/0001-06,42.321.262/0001-06,SAINT-TROPEZ FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,8121891.19,75.42,72927996.02,75.42,72927920.6,0.005002349772563905,0.8339339579102126,False,campo_bruto_CVM_reprocessado
42,2026-05,41240074000182,41240074000182,41.240.074/0001-82,41.240.074/0001-82,NACIONAL FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,8812.49,0.02,72570794.14,0.02,72570794.12,0.004977853371853359,0.838911811282066,False,campo_bruto_CVM_reprocessado
43,2026-05,41609394000167,41609394000167,41.609.394/0001-67,41.609.394/0001-67,VERSATILE FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA,53100029.82,50821098.25,121661562.16,50821098.25,70840463.91,0.004859164715146287,0.8437709759972123,False,campo_bruto_CVM_reprocessado
44,2026-05,55255330000110,55255330000110,55.255.330/0001-10,55.255.330/0001-10,FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS DE RESPONSABILIDADE LIMITADA INCLUSÃO FINANCEIRA PLUS,76008917.27,55832609.98,125622017.72,55832609.98,69789407.74000001,0.004787069548443408,0.8485580455456557,False,campo_bruto_CVM_reprocessado
45,2026-05,35844801000118,35844801000118,35.844.801/0001-18,35.844.801/0001-18,NF FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,6177808.18,6063207.85,72942101.64,6063207.85,66878893.79,0.004587428468922122,0.8531454740145779,False,campo_bruto_CVM_reprocessado
46,2026-05,55501349000107,55501349000107,55.501.349/0001-07,55.501.349/0001-07,LAUSANNE FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO PADRONIZADOS,19583093.64,17315741.25,79226965.31,17315741.25,61911224.06,0.004246680764344925,0.8573921547789228,True,campo_bruto_CVM_reprocessado
47,2026-05,26758072000196,26758072000196,26.758.072/0001-96,26.758.072/0001-96,FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS EMPÍRICA NOVERDE CRÉDITO PESSOAL,127900282.87,121227107.69,182845352.0,121227107.69,61618244.31,0.004226584384608324,0.8616187391635312,False,campo_bruto_CVM_reprocessado
