competencia,tipo_recebivel_tabela_ii,fundos_incluidos_coorte_anterior,pl_incluido_brl_coorte_anterior,carteira_incluida_brl_coorte_anterior,inadimplencia_sobre_carteira_coorte_anterior,fundos_incluidos_coorte_atual,pl_incluido_brl_coorte_atual,carteira_incluida_brl_coorte_atual,inadimplencia_sobre_carteira_coorte_atual,delta_inadimplencia_pp,competencia_coorte_anterior,competencia_coorte_atual
2013-06,Comercial,5,2474605551.61,2244728646.23,0.0023682591340954896,4,2020460392.72,1866686895.57,0.0028478793806374844,0.00047962024654199477,2026-05,2026-06
2013-06,Financeiro,20,1146986629.49,941067372.62,0.03875323677248157,21,1408883477.6000001,1103074217.83,0.12032258895607227,0.08156935218359071,2026-05,2026-06
2013-06,Industrial,1,38991710733.28,22379884435.82,0.0,1,38991710733.28,22379884435.82,0.0,0.0,2026-05,2026-06
2013-06,Serviços,6,2100010592.69,1877715352.54,0.0006242305780875969,7,2554155751.58,2255757103.2,0.0005196159366348572,-0.00010461464145273972,2026-05,2026-06
2013-06,Setor público,4,1023489793.62,1012900087.09,0.0,4,1023489793.62,1012900087.09,0.0,0.0,2026-05,2026-06
2013-07,Agronegócio,0,0.0,0.0,,0,0.0,0.0,,,2026-05,2026-06
2013-07,Ações judiciais,6,990637432.9599999,986881054.37,0.011565739811761223,6,990637432.9599999,986881054.37,0.011565739811761223,0.0,2026-05,2026-06
2013-07,Comercial,5,2507696916.36,2240469952.35,0.003275633704572677,4,2048360160.2,1820418542.23,0.004031467884857856,0.0007558341802851786,2026-05,2026-06
2013-07,Financeiro,19,1157386062.27,961162668.2,0.03740023698311174,20,1418570990.6499999,1115207240.4,0.11597534512384429,0.07857510814073254,2026-05,2026-06
2013-07,Industrial,1,36157370563.9,29452017864.13,0.0,1,36157370563.9,29452017864.13,0.0,0.0,2026-05,2026-06
2013-07,Serviços,6,1744976461.94,1688829674.2,0.00032173919507743807,7,2204313218.1,2108881084.32,0.0002576544993646264,-6.408469571281169e-05,2026-05,2026-06
2013-07,Setor público,4,1034439231.48,1019320871.36,0.0,4,1034439231.48,1019320871.36,0.0,0.0,2026-05,2026-06
2013-08,Agronegócio,0,0.0,0.0,,0,0.0,0.0,,,2026-05,2026-06
2013-08,Ações judiciais,6,997104949.26,991505982.42,0.013075226503785639,6,997104949.26,991505982.42,0.013075226503785639,0.0,2026-05,2026-06
2013-08,Comercial,6,2563512907.21,2289732095.09,0.00021306682604753548,5,2087067812.98,1912664150.0600002,0.0002550714143853722,4.200458833783673e-05,2026-05,2026-06
2013-08,Financeiro,19,1162128822.98,956693319.0600001,0.045582449308674486,20,1420298367.41,1100258079.9,0.1192796444102714,0.07369719510159692,2026-05,2026-06
2013-08,Industrial,1,30290251895.82,29811199483.12,0.0,1,30290251895.82,29811199483.12,0.0,0.0,2026-05,2026-06
2013-08,Serviços,6,1805041795.76,1713231663.95,0.0002619445866213556,7,2281486889.99,2090299608.98,0.00021469255319766644,-4.725203342368918e-05,2026-05,2026-06
2013-08,Setor público,4,1044109466.17,1025973458.08,0.0,4,1044109466.17,1025973458.08,0.0,0.0,2026-05,2026-06
2013-09,Agronegócio,0,0.0,0.0,,0,0.0,0.0,,,2026-05,2026-06
2013-09,Ações judiciais,6,1010923225.77,998100345.7099999,0.00778636156515073,6,1010923225.77,998100345.7099999,0.00778636156515073,0.0,2026-05,2026-06
2013-09,Comercial,6,2746135304.2700005,2528362944.7,0.0011442853946521852,5,2297235594.1600003,2107869925.76,0.0013725556566100054,0.00022827026195782027,2026-05,2026-06
2013-09,Financeiro,19,1145531943.0,1046899792.87,0.030635817304037482,20,1405660817.09,1223831850.27,0.10944702886303319,0.0788112115589957,2026-05,2026-06
2013-09,Imobiliário,1,1151877.33,1154544.0,0.0,1,1151877.33,1154544.0,0.0,0.0,2026-05,2026-06
2013-09,Industrial,1,27924448063.43,27718741098.52,0.0,1,27924448063.43,27718741098.52,0.0,0.0,2026-05,2026-06
2013-09,Serviços,6,2087125945.32,2135155409.6399999,0.00020648439359940288,7,2536025655.43,2555648428.58,0.00017251053199244818,-3.3973861606954696e-05,2026-05,2026-06
2013-09,Setor público,4,1051828264.1700001,1030653810.67,0.0,4,1051828264.1700001,1030653810.67,0.0,0.0,2026-05,2026-06
2013-10,Agronegócio,0,0.0,0.0,,0,0.0,0.0,,,2026-05,2026-06
2013-10,Ações judiciais,6,992192659.92,978471234.69,0.007783602654821954,6,992192659.92,978471234.69,0.007783602654821954,0.0,2026-05,2026-06
2013-10,Comercial,6,2601725494.21,2308515672.88,0.0008152294100096532,5,2150002466.98,1942252991.6499999,0.0009689622711824027,0.0001537328611727495,2026-05,2026-06
2013-10,Financeiro,19,1150773259.16,1094600358.42,0.03862582327401098,20,1408624974.31,1247147565.96,0.1139561902930084,0.07533036701899742,2026-05,2026-06
2013-10,Imobiliário,1,6149817.25,1166543.51,0.0,1,6149817.25,1166543.51,0.0,0.0,2026-05,2026-06
2013-10,Industrial,1,24995613715.16,24279019210.05,0.0,1,24995613715.16,24279019210.05,0.0,0.0,2026-05,2026-06
2013-10,Serviços,6,2059246808.91,1929960466.72,0.00024610141409124955,7,2510969836.14,2296223147.95,0.00020684662134167386,-3.925479274957569e-05,2026-05,2026-06
2013-10,Setor público,4,1061891987.58,1037844031.56,0.0,4,1061891987.58,1037844031.56,0.0,0.0,2026-05,2026-06
2013-11,Agronegócio,0,0.0,0.0,,0,0.0,0.0,,,2026-05,2026-06
2013-11,Ações judiciais,5,1025542083.36,951020247.88,0.017946731868272073,5,1025542083.36,951020247.88,0.017946731868272073,0.0,2026-05,2026-06
2013-11,Comercial,6,2640769676.41,2259222638.38,0.0009823117661353399,5,2254689902.8199997,1934166776.99,0.0011473989763456029,0.000165087210210263,2026-05,2026-06
2013-11,Financeiro,18,1007733311.4,959539447.54,0.04457026457811907,19,1263167907.81,1102851513.25,0.1270436101385111,0.08247334556039201,2026-05,2026-06
2013-11,Imobiliário,1,6947613.59,1448454.66,0.012625987202112353,1,6947613.59,1448454.66,0.012625987202112353,0.0,2026-05,2026-06
2013-11,Industrial,1,28715571951.4,28082471777.57,0.0,1,28715571951.4,28082471777.57,0.0,0.0,2026-05,2026-06
2013-11,Serviços,6,2127342373.53,2074091407.5,0.0002494212733967946,7,2513422147.12,2399147268.89,0.00021562766350702046,-3.379360988977416e-05,2026-05,2026-06
2013-11,Setor público,4,1066526842.88,1042733137.9300001,0.0,4,1066526842.88,1042733137.9300001,0.0,0.0,2026-05,2026-06
2013-12,Agronegócio,0,0.0,0.0,,0,0.0,0.0,,,2026-05,2026-06
2013-12,Ações judiciais,5,1051619534.9399999,981912896.85,0.02853061447697798,5,1051619534.9399999,981912896.85,0.02853061447697798,0.0,2026-05,2026-06
2013-12,Comercial,6,2658064409.1899996,2207149547.86,0.0008338517667660728,5,2275121708.45,1901743659.5,0.0009677621591144839,0.00013391039234841114,2026-05,2026-06
2013-12,Financeiro,18,948151394.02,791751862.97,0.07094818688431484,19,1207451141.1200001,967051400.1,0.14915904348526263,0.07821085660094779,2026-05,2026-06
2013-12,Imobiliário,1,9507341.58,1515189.17,0.027040115393644214,1,9507341.58,1515189.17,0.027040115393644214,0.0,2026-05,2026-06
2013-12,Industrial,1,28059309820.44,25652889692.28,0.0,1,28059309820.44,25652889692.28,0.0,0.0,2026-05,2026-06
2013-12,Serviços,7,2934208524.7599998,2721074958.7,0.00045211981980377186,8,3317151225.5,3026480847.06,0.00040649585514314346,-4.56239646606284e-05,2026-05,2026-06
2013-12,Setor público,4,1086013273.6,1067362376.83,0.0,4,1086013273.6,1067362376.83,0.0,0.0,2026-05,2026-06
2014-01,Agronegócio,0,0.0,0.0,,0,0.0,0.0,,,2026-05,2026-06
2014-01,Ações judiciais,5,1054600719.5600001,983614541.25,0.030956777287273557,5,1054600719.5600001,983614541.25,0.030956777287273557,0.0,2026-05,2026-06
2014-01,Comercial,6,2407489828.1400003,2062609804.16,0.0014063685696390595,5,2083341897.7,1742396421.6,0.0016648275696849034,0.0002584590000458439,2026-05,2026-06
2014-01,Financeiro,19,1152443223.07,1006942082.24,0.05602106319214787,20,1411074365.29,1187391315.26,0.1237800908858906,0.06775902769374273,2026-05,2026-06
2014-01,Imobiliário,1,9554289.92,2935780.69,0.010738465617470902,1,9554289.92,2935780.69,0.010738465617470902,0.0,2026-05,2026-06
2014-01,Industrial,1,30614640861.15,22704367092.93,0.0,1,30614640861.15,22704367092.93,0.0,0.0,2026-05,2026-06
2014-01,Serviços,7,2533136058.87,2423454095.06,0.0014048090809476266,8,2857283989.31,2743667477.62,0.0012408538380726925,-0.00016395524287493406,2026-05,2026-06
2014-01,Setor público,4,1091701872.65,1069877760.28,0.0,4,1091701872.65,1069877760.28,0.0,0.0,2026-05,2026-06
2014-02,Agronegócio,0,0.0,0.0,,0,0.0,0.0,,,2026-05,2026-06
2014-02,Ações judiciais,5,1057335687.5400001,939401243.82,0.0,5,1057335687.5400001,939401243.82,0.0,0.0,2026-05,2026-06
2014-02,Comercial,5,2499951738.06,2258969270.5299997,0.001285632318193782,4,2093445168.6000001,1892573104.32,0.0014960304537442429,0.00021039813555046093,2026-05,2026-06
2014-02,Financeiro,19,985064408.08,820442137.2,0.06749098030115169,19,1236033611.54,1000653488.85,0.14289795409031417,0.07540697378916247,2026-05,2026-06
2014-02,Imobiliário,1,9587482.1,2903098.68,0.010454925355827037,1,9587482.1,2903098.68,0.010454925355827037,0.0,2026-05,2026-06
