competencia_origem,competencia_destino,bridge_group,cnpj_14,cnpj,cnpj_fundo_14,cnpj_fundo,denominacao,reportava_origem,reportava_destino,pl_origem_brl,pl_destino_brl,delta_pl_brl,carteira_origem_brl,carteira_destino_brl,delta_carteira_brl,inad_bruta_origem_brl,inad_bruta_destino_brl,delta_inad_bruta_brl,inad_ajustada_origem_brl,inad_ajustada_destino_brl,delta_inad_ajustada_brl,excesso_origem_brl,excesso_destino_brl,delta_excesso_brl,contribuicao_abs
2024-06,2024-07,fundos continuantes,21081952000157,21.081.952/0001-57,21081952000157,21.081.952/0001-57,FICOU FÁCIL FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS EDUCACIONAL RESPONSABILIDADE LIMITADA,True,True,77808586.33,78007434.27,198847.93999999762,70825645.92,69596568.38,-1229077.5400000066,1187589.93,2892953.77,1705363.84,1187589.93,2892953.77,1705363.84,0.0,0.0,0.0,1705363.84
2024-06,2024-07,fundos continuantes,17198822000121,17.198.822/0001-21,17198822000121,17.198.822/0001-21,ROVENSA FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS AGRONEGÓCIO RESPONSABILIDADE LIMITADA,True,True,161808638.71,163789178.24,1980539.5300000012,129822809.88,126383636.99,-3439172.8900000006,8078088.34,6382694.34,-1695394.0,8078088.34,6382694.34,-1695394.0,0.0,0.0,0.0,1695394.0
2024-06,2024-07,fundos continuantes,46073588000104,46.073.588/0001-04,46073588000104,46.073.588/0001-04,NANBAN II FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA,True,True,25958220.0,26533156.04,574936.0399999991,21104151.11,21546868.8,442717.69000000134,9481364.91,11173161.68,1691796.7699999996,9481364.91,11173161.68,1691796.7699999996,0.0,0.0,0.0,1691796.7699999996
2024-06,2024-07,fundos continuantes,54837343000134,54.837.343/0001-34,54837343000134,54.837.343/0001-34,FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS SAÚDE & IMAGEM - RESPONSABILIDADE LIMITADA,True,True,252761977.61,326419534.25,73657556.63999999,252672987.64,321278128.22,68605140.58000004,1687651.82,0.0,-1687651.82,1687651.82,0.0,-1687651.82,0.0,0.0,0.0,1687651.82
2024-06,2024-07,fundos continuantes,40677194000189,40.677.194/0001-89,40677194000189,40.677.194/0001-89,FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS CREDITAS AUTO VIII RESPONSABILIDADE LIMITADA,True,True,207901767.56,195741171.37,-12160596.189999998,165853434.07,154111826.24,-11741607.829999983,40333909.96,42013779.81,1679869.8500000015,40333909.96,42013779.81,1679869.8500000015,0.0,0.0,0.0,1679869.8500000015
2024-06,2024-07,fundos continuantes,24774059000103,24.774.059/0001-03,24774059000103,24.774.059/0001-03,PROSPER FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,True,True,35986530.03,36086942.29,100412.25999999791,30497663.6,26601374.5,-3896289.1000000015,13200609.68,14878180.23,1677570.5500000007,13200609.68,14878180.23,1677570.5500000007,0.0,0.0,0.0,1677570.5500000007
2024-06,2024-07,fundos continuantes,49637238000111,49.637.238/0001-11,49637238000111,49.637.238/0001-11,REAG FUNDO DE INVESTIMENTOS NAS CADEIAS PRODUTIVAS AGROINDUSTRIAIS FIAGRO - DIREITOS CREDITÓRIOS,True,True,5638364.41,390442782.93,384804418.52,5697836.6,186915121.0,181217284.4,1657493.53,0.0,-1657493.53,1657493.53,0.0,-1657493.53,0.0,0.0,0.0,1657493.53
2024-06,2024-07,fundos continuantes,42154687000160,42.154.687/0001-60,42154687000160,42.154.687/0001-60,MULTIPLIKE PLUS FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,True,True,640059295.69,646960619.27,6901323.579999924,567306252.44,593543320.9300001,26237068.49000001,2925233.34,4562466.79,1637233.4500000002,2925233.34,4562466.79,1637233.4500000002,0.0,0.0,0.0,1637233.4500000002
2024-06,2024-07,fundos continuantes,19424642000146,19.424.642/0001-46,19424642000146,19.424.642/0001-46,LOTUS PERFORMANCE FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS MULTISEGMENTOS,True,True,337352295.61,345642089.79,8289794.180000007,315067418.98,312455806.77,-2611612.210000038,40999861.989999995,42632450.95,1632588.9600000083,40999861.989999995,42632450.95,1632588.9600000083,0.0,0.0,0.0,1632588.9600000083
2024-06,2024-07,fundos continuantes,31844721000101,31.844.721/0001-01,31844721000101,31.844.721/0001-01,PONTUAL BRASIL FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS MULTISSETORIAL - RESPONSABILIDADE LIMIT,True,True,170724504.36,180236543.49,9512039.129999995,168548021.27,177578822.72,9030801.449999988,10511021.3,12133237.25,1622215.9499999993,10511021.3,12133237.25,1622215.9499999993,0.0,0.0,0.0,1622215.9499999993
