subtipo_anterior,subtipo_atual,fundos,pl_atual_brl,principais_fundos,maior_fundo_pl_brl,competencia_anterior,competencia_atual
Serviços,Financeiro,16,17393401256.48,BTG PACTUAL CONSIGNADOS II FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS | AETOS ENERGIA FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS | SERENA FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,8032044361.07,2026-05,2026-06
Comercial,Financeiro,9,7057218194.969999,BTG PACTUAL CONSIGNADOS FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS | GALLERIA FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS 2 | CLOUDWALK AKIRA I FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS SEGMENTO MEIOS DE PAGAMENTO,6007175688.48,2026-05,2026-06
Setor público,Financeiro,26,5300046506.28,FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS CREDITAS AUTO XII | GUARDIAN GDF FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA | FIDC UP.P CONSIGNADO PRIVADO - RESP LIMITADA,2207591119.67,2026-05,2026-06
Financeiro,Cartão de crédito,1,1876075238.87,SELLER 3 FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS SEGMENTO MEIOS DE PAGAMENTO DE RESP LIMITADA,1876075238.87,2026-05,2026-06
Financeiro,Serviços,8,1563943141.56,XP CREDIT OPPORTUNITIES FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS DE RESPONSABILIDADE LIMITADA | ZIPPI FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESPONSABILIDADE LIMITADA | SP TUNE FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA,864281715.99,2026-05,2026-06
Agronegócio,Financeiro,2,645227608.56,POLÍGONO DELTA FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS | SPECIALE PLGN FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,361288775.99,2026-05,2026-06
Comercial,Serviços,1,504977273.82,FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS MIT RESPONSABILIDADE LIMITADA,504977273.82,2026-05,2026-06
Financeiro,Comercial,8,300953286.48,ELO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA | MILENIO ATIVY FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS | CHAVANTES FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA,73549010.91,2026-05,2026-06
Serviços,Comercial,1,142173656.83,BLUE HEALTH FIDC RECEBÍVEIS COMERCIAIS DE RESPONSABILIDADE LIMITADA,142173656.83,2026-05,2026-06
Financeiro,Setor público,4,140048353.98000002,ST 3001 FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS | RVC FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO-PADRONIZADOS | LIBRA CONSIGNADO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,59012329.7,2026-05,2026-06
Financeiro,Imobiliário,1,114499497.05,HOME EQUITY MULTI FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA,114499497.05,2026-05,2026-06
Setor público,Serviços,1,101038762.31,WEG INTEGRADORES FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RECEBÍVEIS COMERCIAIS RESP LIMITADA,101038762.31,2026-05,2026-06
Financeiro,Industrial,1,96379154.02,MONTBLANC FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,96379154.02,2026-05,2026-06
Serviços,Setor público,1,77868288.4,CIMARRON CRÉDITOS JUDICIAIS FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,77868288.4,2026-05,2026-06
Imobiliário,Financeiro,2,54060088.2,ÉXES SPECIAL OPPORTUNITIES II FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESP LTDA | REAL ESTATE RELATED FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,43861313.04,2026-05,2026-06
Agronegócio,Comercial,3,45208188.400000006,MT - FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS | TECOL FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS | FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS DR. SIM,34564122.63,2026-05,2026-06
Industrial,Comercial,1,14299368.56,METALFRIO SOLUTIONS FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,14299368.56,2026-05,2026-06
