competencia,tipo_recebivel_tabela_ii,fundos_presentes,fundos_incluidos,pl_presente_brl,pl_incluido_brl,carteira_incluida_brl,inadimplencia_ajustada_brl,inadimplencia_sobre_pl,inadimplencia_sobre_carteira,fundos_inad_supera_carteira_excluidos,fundos_campos_ausentes_excluidos,fundos_coorte,pl_coorte_referencia_brl,cobertura_fundos_coorte,cobertura_pl_referencia_coorte,fundos_inadimplencia_positiva,pl_inadimplencia_positiva_brl,carteira_inadimplencia_positiva_brl,inadimplencia_positiva_brl,inadimplencia_sobre_pl_ex_zeros,inadimplencia_sobre_carteira_ex_zeros,variacao_inadimplencia_sobre_pl_pp,variacao_inadimplencia_sobre_carteira_pp
2013-04,Financeiro,21,20,1448055512.26,1431172474.01,1152950436.29,133700645.49,0.09342035842499427,0.11596391421666497,1,0,1215,256239377629.81,0.01646090534979424,0.0208679548579575,8,819767492.75,696156395.2900001,133700645.49,0.16309581274256985,0.19205547258429465,0.06967545431757557,0.07609155836762968
2013-04,Comercial,4,4,1980147320.42,1980147320.42,1769276404.9,1765626.32,0.0008916641210440347,0.0009979369617489438,0,0,257,93385844928.04,0.01556420233463035,0.03330743183420146,2,1939811112.07,1738251094.02,1765626.32,0.0009102052818513217,0.0010157487178199844,1.854116080728693e-05,1.7811756071040583e-05
2013-04,Industrial,1,1,16108752360.9,16108752360.9,14877467889.07,0.0,0.0,0.0,0,0,52,65013548181.39,0.019230769230769232,0.9421877943364444,0,0.0,0.0,0.0,,,,
2013-04,Serviços,7,7,2465531600.63,2465531600.63,2204841783.86,440693.89,0.00017874193536493004,0.00019987551634134966,0,0,160,36529338314.49,0.04375,0.180906421726743,1,160814626.84,133387334.16,440693.89,0.0027403843708723183,0.0033038660887500866,0.0025616424355073882,0.0031039905724087368
2013-04,Setor público,4,4,1000311137.08,1000311137.08,983408832.5699999,0.0,0.0,0.0,0,0,129,30600789960.969997,0.031007751937984496,0.06069414754517424,0,0.0,0.0,0.0,,,,
2013-04,Ações judiciais,7,6,859696394.74,854214907.96,854758723.8100001,4245654.58,0.004970241727739561,0.004967079553251503,1,0,160,21969975460.06,0.0375,0.029103651254977495,1,43063738.5,48148254.31,4245654.58,0.09859001396267535,0.0881787853130578,0.09361977223493578,0.0832117057598063
2013-04,Agronegócio,1,0,3757611.16,0.0,0.0,0.0,,,1,0,36,7064715402.79,0.0,0.0,0,0.0,0.0,0.0,,,,
2013-05,Financeiro,21,20,1405116433.93,1388233395.68,1103747064.24,132513412.63000001,0.09545470743058361,0.12005777131669557,1,0,1215,256239377629.81,0.01646090534979424,0.0208679548579575,8,777366082.9300001,647802086.03,132513412.63000001,0.1704646183308367,0.20455848396861023,0.0750099109002531,0.08450071265191467
2013-05,Comercial,4,4,2008822295.31,2008822295.31,1834084341.48,5094167.96,0.002535897760540273,0.002777499292038719,0,0,257,93385844928.04,0.01556420233463035,0.03330743183420146,2,1969081974.24,1803928792.07,5094167.96,0.002587077646661297,0.0028239296264873435,5.1179886121023935e-05,4.643033444862469e-05
2013-05,Industrial,1,1,28981286369.03,28981286369.03,19959028924.48,0.0,0.0,0.0,0,0,52,65013548181.39,0.019230769230769232,0.9421877943364444,0,0.0,0.0,0.0,,,,
2013-05,Serviços,7,7,2103018098.22,2103018098.22,2139711679.52,530494.47,0.0002522538776290189,0.0002479280152917637,0,0,160,36529338314.49,0.04375,0.180906421726743,2,164879628.93,134559928.17,530494.47,0.003217465210485296,0.003942440199059747,0.002965211332856277,0.0036945121837679835
2013-05,Setor público,4,4,1010141519.53,1010141519.53,990645264.11,0.0,0.0,0.0,0,0,129,30600789960.969997,0.031007751937984496,0.06069414754517424,0,0.0,0.0,0.0,,,,
2013-05,Ações judiciais,7,6,961233574.54,955073504.87,939556715.29,0.0,0.0,0.0,1,0,160,21969975460.06,0.0375,0.029103651254977495,0,0.0,0.0,0.0,,,,
2013-05,Agronegócio,1,0,3650670.33,0.0,0.0,0.0,,,1,0,36,7064715402.79,0.0,0.0,0,0.0,0.0,0.0,,,,
2013-06,Financeiro,21,21,1408883477.6000001,1408883477.6000001,1103074217.83,132724745.7,0.09420562297039177,0.12032258895607227,0,0,1215,256239377629.81,0.01728395061728395,0.02112550236665986,8,783633356.89,647253906.9,132724745.7,0.16937097500129875,0.20505823801926595,0.07516535203090698,0.08473564906319368
