competencia,papel,participante,rank_independente,rank_geral,pl_brl,share_pl_total,fundos,denominador_pl_brl,fundos_universo,fonte_prestador,ownership_status,ownership_source_url,ownership_as_of_date,ownership_notes,latest_pl_brl,latest_rank_independente,selected_latest_top_n,ordem_slide
2025-12,administrador,Limine Trust,7,16,11173565190.61,0.01658017757618866,136,673911068760.61,3285,Informe Mensal da competência,independent_no_bank_parent,https://www.anbima.com.br/pt_br/institucional/perfil-da-instituicao/instituicao/4f017770-cb63-4549-9f8d-efb88b6daf58/perfil/limine-trust-distribuidora-de-titulos-e-valores-mobiliarios-ltda.htm,2026-07-20,DTVM privada nacional sem banco controlador identificado; independente auditada para o ranking.,12846156931.69,7,False,
2026-06,administrador,Limine Trust,7,16,12846156931.69,0.017876382534174153,151,718610541429.85,3472,Informe Mensal da competência,independent_no_bank_parent,https://www.anbima.com.br/pt_br/institucional/perfil-da-instituicao/instituicao/4f017770-cb63-4549-9f8d-efb88b6daf58/perfil/limine-trust-distribuidora-de-titulos-e-valores-mobiliarios-ltda.htm,2026-07-20,DTVM privada nacional sem banco controlador identificado; independente auditada para o ranking.,12846156931.69,7,False,
2025-12,administrador,Integral Investimentos,8,39,388813505.61,0.0005769507634368835,3,673911068760.61,3285,Informe Mensal da competência,independent_no_bank_parent,https://integralinvest.com.br/,2026-07-20,Gestora independente; Integral Access e Integral Investimentos devem compartilhar o grupo quando o nome jurídico corresponder ao Integral Group.,914500052.52,8,False,
2026-06,administrador,Integral Investimentos,8,36,914500052.52,0.0012725948198594197,4,718610541429.85,3472,Informe Mensal da competência,independent_no_bank_parent,https://integralinvest.com.br/,2026-07-20,Gestora independente; Integral Access e Integral Investimentos devem compartilhar o grupo quando o nome jurídico corresponder ao Integral Group.,914500052.52,8,False,
2024-12,custodiante,QI Tech,1,1,73469387365.99,0.1393599403057864,543,527191581775.81006,2732,cadastro CVM vigente aplicado à competência,independent_no_bank_parent,https://qitech.com.br/newsroom/qi-tech-recebe-aprovacao-do-banco-central-para-concluir-aquisicao-da-singulare/,2026-07-20,"Grupo de infraestrutura financeira sem banco controlador identificado; inclui QI Corretora, QI DTVM e QI Gestão.",115312440225.41,1,True,1
2025-12,custodiante,QI Tech,1,1,105342426763.47,0.15631502678417983,621,673911068760.61,3285,cadastro CVM vigente aplicado à competência,independent_no_bank_parent,https://qitech.com.br/newsroom/qi-tech-recebe-aprovacao-do-banco-central-para-concluir-aquisicao-da-singulare/,2026-07-20,"Grupo de infraestrutura financeira sem banco controlador identificado; inclui QI Corretora, QI DTVM e QI Gestão.",115312440225.41,1,True,1
2026-06,custodiante,QI Tech,1,1,115312440225.41,0.16046583452000013,653,718610541429.85,3472,cadastro CVM vigente aplicado à competência,independent_no_bank_parent,https://qitech.com.br/newsroom/qi-tech-recebe-aprovacao-do-banco-central-para-concluir-aquisicao-da-singulare/,2026-07-20,"Grupo de infraestrutura financeira sem banco controlador identificado; inclui QI Corretora, QI DTVM e QI Gestão.",115312440225.41,1,True,1
2024-12,custodiante,Oliveira Trust,3,4,46054006595.65,0.08735724959894109,130,527191581775.81006,2732,cadastro CVM vigente aplicado à competência,independent_no_bank_parent,https://ri.oliveiratrust.com.br/a-companhia/quem-somos/,2026-07-20,Grupo fiduciário independente auditado para o ranking.,71900927604.34999,2,True,2
2025-12,custodiante,Oliveira Trust,3,4,62000704587.909996,0.09200131510220705,170,673911068760.61,3285,cadastro CVM vigente aplicado à competência,independent_no_bank_parent,https://ri.oliveiratrust.com.br/a-companhia/quem-somos/,2026-07-20,Grupo fiduciário independente auditado para o ranking.,71900927604.34999,2,True,2
2026-06,custodiante,Oliveira Trust,2,3,71900927604.34999,0.10005548688624252,182,718610541429.85,3472,cadastro CVM vigente aplicado à competência,independent_no_bank_parent,https://ri.oliveiratrust.com.br/a-companhia/quem-somos/,2026-07-20,Grupo fiduciário independente auditado para o ranking.,71900927604.34999,2,True,2
2024-12,custodiante,REAG,2,3,49541710554.77,0.09397287867892733,112,527191581775.81006,2732,cadastro CVM vigente aplicado à competência,independent_legacy_group,https://www.b3.com.br/pt_br/noticias/listagem-8AA8D0CC93CF18C60194AE5749752DA3.htm,2026-07-20,Grupo historicamente descrito como gestora independente; manter separado de CBSF para preservar os nomes observados no cadastro vigente.,25040540221.59,3,True,3
2025-12,custodiante,REAG,2,3,62100290884.31999,0.09214908874924499,96,673911068760.61,3285,cadastro CVM vigente aplicado à competência,independent_legacy_group,https://www.b3.com.br/pt_br/noticias/listagem-8AA8D0CC93CF18C60194AE5749752DA3.htm,2026-07-20,Grupo historicamente descrito como gestora independente; manter separado de CBSF para preservar os nomes observados no cadastro vigente.,25040540221.59,3,True,3
2026-06,custodiante,REAG,3,7,25040540221.59,0.03484577358379098,65,718610541429.85,3472,cadastro CVM vigente aplicado à competência,independent_legacy_group,https://www.b3.com.br/pt_br/noticias/listagem-8AA8D0CC93CF18C60194AE5749752DA3.htm,2026-07-20,Grupo historicamente descrito como gestora independente; manter separado de CBSF para preservar os nomes observados no cadastro vigente.,25040540221.59,3,True,3
2024-12,custodiante,Finaxis,4,9,17856600592.37,0.03387117930112089,66,527191581775.81006,2732,cadastro CVM vigente aplicado à competência,independent_no_bank_parent,https://www.finaxis.com.br/,2026-07-20,Prestador fiduciário independente auditado para o ranking.,22307727868.670002,4,True,4
2025-12,custodiante,Finaxis,4,8,20415864728.969997,0.03029459772268887,74,673911068760.61,3285,cadastro CVM vigente aplicado à competência,independent_no_bank_parent,https://www.finaxis.com.br/,2026-07-20,Prestador fiduciário independente auditado para o ranking.,22307727868.670002,4,True,4
2026-06,custodiante,Finaxis,4,8,22307727868.670002,0.031042861999050788,76,718610541429.85,3472,cadastro CVM vigente aplicado à competência,independent_no_bank_parent,https://www.finaxis.com.br/,2026-07-20,Prestador fiduciário independente auditado para o ranking.,22307727868.670002,4,True,4
2024-12,custodiante,BRL Trust,5,10,13225889370.78,0.025087444162574572,98,527191581775.81006,2732,cadastro CVM vigente aplicado à competência,independent_no_bank_parent,https://www.internal.brltrust.com.br/,2026-07-20,Prestador fiduciário independente auditado para o ranking.,21263745986.82,5,True,5
2025-12,custodiante,BRL Trust,6,10,19151804490.32,0.028418889936831112,118,673911068760.61,3285,cadastro CVM vigente aplicado à competência,independent_no_bank_parent,https://www.internal.brltrust.com.br/,2026-07-20,Prestador fiduciário independente auditado para o ranking.,21263745986.82,5,True,5
2026-06,custodiante,BRL Trust,5,9,21263745986.82,0.029590083586180937,126,718610541429.85,3472,cadastro CVM vigente aplicado à competência,independent_no_bank_parent,https://www.internal.brltrust.com.br/,2026-07-20,Prestador fiduciário independente auditado para o ranking.,21263745986.82,5,True,5
2024-12,custodiante,Hemera,6,12,11477826993.53,0.021771643156492937,80,527191581775.81006,2732,cadastro CVM vigente aplicado à competência,independent_no_bank_parent,https://hemeradtvm.com.br/,2026-07-20,Prestador fiduciário independente auditado para o ranking.,21009435735.36,6,True,6
2025-12,custodiante,Hemera,7,11,18134636523.37,0.026909539498618733,105,673911068760.61,3285,cadastro CVM vigente aplicado à competência,independent_no_bank_parent,https://hemeradtvm.com.br/,2026-07-20,Prestador fiduciário independente auditado para o ranking.,21009435735.36,6,True,6
2026-06,custodiante,Hemera,6,10,21009435735.36,0.029236191962278526,113,718610541429.85,3472,cadastro CVM vigente aplicado à competência,independent_no_bank_parent,https://hemeradtvm.com.br/,2026-07-20,Prestador fiduciário independente auditado para o ranking.,21009435735.36,6,True,6
2024-12,custodiante,Limine Trust,7,19,6548607637.440001,0.012421684760939179,88,527191581775.81006,2732,cadastro CVM vigente aplicado à competência,independent_no_bank_parent,https://www.anbima.com.br/pt_br/institucional/perfil-da-instituicao/instituicao/4f017770-cb63-4549-9f8d-efb88b6daf58/perfil/limine-trust-distribuidora-de-titulos-e-valores-mobiliarios-ltda.htm,2026-07-20,DTVM privada nacional sem banco controlador identificado; independente auditada para o ranking.,19494658191.289997,7,False,
2025-12,custodiante,Limine Trust,5,9,19856595672.62,0.02946471217506231,130,673911068760.61,3285,cadastro CVM vigente aplicado à competência,independent_no_bank_parent,https://www.anbima.com.br/pt_br/institucional/perfil-da-instituicao/instituicao/4f017770-cb63-4549-9f8d-efb88b6daf58/perfil/limine-trust-distribuidora-de-titulos-e-valores-mobiliarios-ltda.htm,2026-07-20,DTVM privada nacional sem banco controlador identificado; independente auditada para o ranking.,19494658191.289997,7,False,
2026-06,custodiante,Limine Trust,7,12,19494658191.289997,0.027128266379867802,154,718610541429.85,3472,cadastro CVM vigente aplicado à competência,independent_no_bank_parent,https://www.anbima.com.br/pt_br/institucional/perfil-da-instituicao/instituicao/4f017770-cb63-4549-9f8d-efb88b6daf58/perfil/limine-trust-distribuidora-de-titulos-e-valores-mobiliarios-ltda.htm,2026-07-20,DTVM privada nacional sem banco controlador identificado; independente auditada para o ranking.,19494658191.289997,7,False,
2024-12,gestor,Oliveira Trust,2,6,21064202398.28,0.03995549839268416,36,527191581775.81006,2732,cadastro CVM vigente aplicado à competência,independent_no_bank_parent,https://ri.oliveiratrust.com.br/a-companhia/quem-somos/,2026-07-20,Grupo fiduciário independente auditado para o ranking.,35022225440.359985,1,True,1
2025-12,gestor,Oliveira Trust,2,5,27213206602.399998,0.0403810055419446,45,673911068760.61,3285,cadastro CVM vigente aplicado à competência,independent_no_bank_parent,https://ri.oliveiratrust.com.br/a-companhia/quem-somos/,2026-07-20,Grupo fiduciário independente auditado para o ranking.,35022225440.359985,1,True,1
2026-06,gestor,Oliveira Trust,1,3,35022225440.359985,0.04873603074437897,47,718610541429.85,3472,cadastro CVM vigente aplicado à competência,independent_no_bank_parent,https://ri.oliveiratrust.com.br/a-companhia/quem-somos/,2026-07-20,Grupo fiduciário independente auditado para o ranking.,35022225440.359985,1,True,1
2024-12,gestor,Tercon Investimentos,3,7,16279971963.43,0.03088056131054291,160,527191581775.81006,2732,cadastro CVM vigente aplicado à competência,independent_no_bank_parent,https://terconbr.com.br/sobre-nos/,2026-07-20,Gestora independente auditada para o ranking.,21696113631.95,2,True,2
2025-12,gestor,Tercon Investimentos,3,7,19507387084.480003,0.02894653017104474,184,673911068760.61,3285,cadastro CVM vigente aplicado à competência,independent_no_bank_parent,https://terconbr.com.br/sobre-nos/,2026-07-20,Gestora independente auditada para o ranking.,21696113631.95,2,True,2
2026-06,gestor,Tercon Investimentos,2,6,21696113631.95,0.030191755312662574,193,718610541429.85,3472,cadastro CVM vigente aplicado à competência,independent_no_bank_parent,https://terconbr.com.br/sobre-nos/,2026-07-20,Gestora independente auditada para o ranking.,21696113631.95,2,True,2
2024-12,gestor,Integral Investimentos,4,8,13605814512.02,0.025808102751166306,18,527191581775.81006,2732,cadastro CVM vigente aplicado à competência,independent_no_bank_parent,https://integralinvest.com.br/,2026-07-20,Gestora independente; Integral Access e Integral Investimentos devem compartilhar o grupo quando o nome jurídico corresponder ao Integral Group.,14931875223.759998,3,True,3
2025-12,gestor,Integral Investimentos,5,10,14129845277.03,0.020966928623113733,20,673911068760.61,3285,cadastro CVM vigente aplicado à competência,independent_no_bank_parent,https://integralinvest.com.br/,2026-07-20,Gestora independente; Integral Access e Integral Investimentos devem compartilhar o grupo quando o nome jurídico corresponder ao Integral Group.,14931875223.759998,3,True,3
