Fundo,CNPJ,Item,Percentual a.a.,Mínimo mensal,Fonte,Versão vigente / base documental,Mudanças relevantes,Status curadoria
CLOUDWALK AKIRA I FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS SEGMENTO MEIOS DE PAGAMENTO,42.085.830/0001-09,Gestão,curadoria específica ainda não carregada,curadoria específica ainda não carregada,lacuna: CNPJ sem linha curada em data/regulatory_profiles/*structural_costs.csv,—,—,lacuna explícita
CLOUDWALK KICK ASS I FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS SEGMENTO MEIOS DE PAGAMENTO,42.085.816/0001-05,Administração,curadoria específica ainda não carregada,curadoria específica ainda não carregada,lacuna: CNPJ sem linha curada em data/regulatory_profiles/*structural_costs.csv,—,—,lacuna explícita
CLOUDWALK KICK ASS I FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS SEGMENTO MEIOS DE PAGAMENTO,42.085.816/0001-05,Gestão,curadoria específica ainda não carregada,curadoria específica ainda não carregada,lacuna: CNPJ sem linha curada em data/regulatory_profiles/*structural_costs.csv,—,—,lacuna explícita
FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS ANGÁ FGTS I - RESPONSABILIDADE LIMITADA,51.957.370/0001-52,Administração,curadoria específica ainda não carregada,curadoria específica ainda não carregada,lacuna: CNPJ sem linha curada em data/regulatory_profiles/*structural_costs.csv,—,—,lacuna explícita
FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS ANGÁ FGTS I - RESPONSABILIDADE LIMITADA,51.957.370/0001-52,Gestão,curadoria específica ainda não carregada,curadoria específica ainda não carregada,lacuna: CNPJ sem linha curada em data/regulatory_profiles/*structural_costs.csv,—,—,lacuna explícita
QUATÁ FDC FGTS FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,55.401.645/0001-28,Administração,curadoria específica ainda não carregada,curadoria específica ainda não carregada,lacuna: CNPJ sem linha curada em data/regulatory_profiles/*structural_costs.csv,—,—,lacuna explícita
QUATÁ FDC FGTS FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,55.401.645/0001-28,Gestão,curadoria específica ainda não carregada,curadoria específica ainda não carregada,lacuna: CNPJ sem linha curada em data/regulatory_profiles/*structural_costs.csv,—,—,lacuna explícita
PRAVALER CRÉDITO UNIVERSITÁRIO II FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESP LIMITADAL,26.749.095/0001-34,Administração,curadoria específica ainda não carregada,curadoria específica ainda não carregada,lacuna: CNPJ sem linha curada em data/regulatory_profiles/*structural_costs.csv,—,—,lacuna explícita
PRAVALER CRÉDITO UNIVERSITÁRIO II FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESP LIMITADAL,26.749.095/0001-34,Gestão,curadoria específica ainda não carregada,curadoria específica ainda não carregada,lacuna: CNPJ sem linha curada em data/regulatory_profiles/*structural_costs.csv,—,—,lacuna explícita
ANGÁ FGTS III FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,54.810.968/0001-02,Administração,curadoria específica ainda não carregada,curadoria específica ainda não carregada,lacuna: CNPJ sem linha curada em data/regulatory_profiles/*structural_costs.csv,—,—,lacuna explícita
ANGÁ FGTS III FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,54.810.968/0001-02,Gestão,curadoria específica ainda não carregada,curadoria específica ainda não carregada,lacuna: CNPJ sem linha curada em data/regulatory_profiles/*structural_costs.csv,—,—,lacuna explícita
