cnpj_fundo,Fundo,Regulamento primário,denominacao,pl,tipo_aplicado,anbima_tipo_oficial,anbima_foco_oficial,anbima_tipo_curado,anbima_foco_curado
52256912000122,FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS ACR I BANCOS EMISSORES DE CARTÃO DE CRÉDITO RESP LIMI,https://fnet.bmfbovespa.com.br/fnet/publico/exibirDocumento?id=643480&cvm=true,FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS ACR I BANCOS EMISSORES DE CARTÃO DE CRÉDITO RESP LIMI,2661592324.9,Financeiro,Financeiro,Multicarteira Financeiro,Financeiro,Adquirência
26142862000142,FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS CLUBCARD VAREJO - RESPONSABILIDADE LIMITADA,https://fnet.bmfbovespa.com.br/fnet/publico/exibirDocumento?id=1196139&cvm=true,FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS CLUBCARD VAREJO - RESPONSABILIDADE LIMITADA,2470380152.66,Financeiro,Financeiro,Multicarteira Financeiro,Financeiro,Multicarteira Financeiro
63572282000111,SELLER 3 FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS SEGMENTO MEIOS DE PAGAMENTO DE RESP LIMITADA,https://fnet.bmfbovespa.com.br/fnet/publico/exibirDocumento?id=1089845&cvm=true,SELLER 3 FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS SEGMENTO MEIOS DE PAGAMENTO DE RESP LIMITADA,1876075238.87,Financeiro,"Agro, Indústria e Comércio",Recebíveis Comerciais,Financeiro,Adquirência
31739396000117,LF III FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS DE RESPONSABILIDADE LIMITADA,https://fnet.bmfbovespa.com.br/fnet/publico/exibirDocumento?id=1146939&cvm=true,,,,,,,
54218673000141,CLOUDWALK BIG PICTURE I FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS SEGMENTO MEIOS DE PAGAMENTO,https://fnet.bmfbovespa.com.br/fnet/publico/downloadDocumento?id=1072697,CLOUDWALK BIG PICTURE I FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS SEGMENTO MEIOS DE PAGAMENTO,904073803.43,Financeiro,"Agro, Indústria e Comércio",Recebíveis Comerciais,Financeiro,Adquirência
51983832000106,FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - ACR IV,https://fnet.bmfbovespa.com.br/fnet/publico/exibirDocumento?id=693367&cvm=true,FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - ACR IV,527467198.34,Financeiro,"Agro, Indústria e Comércio",Recebíveis Comerciais,Financeiro,Adquirência
62626409000175,SUMUP SMART I FIDC SEGMENTO MEIOS DE PAGAMENTO DE RESPONSABILIDADE LIMITADA,https://fnet.bmfbovespa.com.br/fnet/publico/exibirDocumento?id=1152539&cvm=true,,,,,,,
62627051000103,SUMUP SMART II FIDC SEGMENTO MEIOS DE PAGAMENTO DE RESPONSABILIDADE LIMITADA,https://fnet.bmfbovespa.com.br/fnet/publico/exibirDocumento?id=1152645&cvm=true,,,,,,,
43705687000173,EDENEMERALD HEZ FIDC SEGMENTO MEIOS DE PAGAMENTO DE RESPONSABILIDADE LIMITADA,https://fnet.bmfbovespa.com.br/fnet/publico/exibirDocumento?id=897234&cvm=true,,,,,,,
45598747000121,SUMUP SOLO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS SEGMENTO MEIOS DE PAGAMENTO DE RESPONSABILI,https://fnet.bmfbovespa.com.br/fnet/publico/exibirDocumento?id=883977&cvm=true,,,,,,,
62626887000185,SUMUP SMART IV FIDC SEGMENTO MEIOS DE PAGAMENTO DE RESPONSABILIDADE LIMITADA,https://fnet.bmfbovespa.com.br/fnet/publico/exibirDocumento?id=1152823&cvm=true,,,,,,,
52271464000136,KIWIFY FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS SEGMENTO MEIOS DE PAGAMENTO DE RESPONSABILIDADE,https://fnet.bmfbovespa.com.br/fnet/publico/exibirDocumento?id=1155755&cvm=true,,,,,,,
54248022000102,CLOUDWALK BIG PICTURE IV FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS SEGMENTO MEIOS DE PAGAMENTO,https://fnet.bmfbovespa.com.br/fnet/publico/downloadDocumento?id=1072746,CLOUDWALK BIG PICTURE IV FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS SEGMENTO MEIOS DE PAGAMENTO,310583203.44,Financeiro,"Agro, Indústria e Comércio",Recebíveis Comerciais,Financeiro,Adquirência
42085830000109,CLOUDWALK AKIRA I FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS SEGMENTO MEIOS DE PAGAMENTO,https://fnet.bmfbovespa.com.br/fnet/publico/exibirDocumento?id=966441&cvm=true,CLOUDWALK AKIRA I FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS SEGMENTO MEIOS DE PAGAMENTO,308205214.77,Financeiro,"Agro, Indústria e Comércio",Recebíveis Comerciais,Financeiro,Adquirência
54218941000125,CLOUDWALK BIG PICTURE II FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS SEGMENTO MEIOS DE PAGAMENTO,https://fnet.bmfbovespa.com.br/fnet/publico/downloadDocumento?id=1072783,CLOUDWALK BIG PICTURE II FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS SEGMENTO MEIOS DE PAGAMENTO,301953274.03,Financeiro,"Agro, Indústria e Comércio",Recebíveis Comerciais,Financeiro,Adquirência
62627122000160,SUMUP SMART III FIDC SEGMENTO MEIOS DE PAGAMENTO DE RESPONSABILIDADE LIMITADA,https://fnet.bmfbovespa.com.br/fnet/publico/exibirDocumento?id=1152794&cvm=true,,,,,,,
43722605000107,EDENTOURMALINE HAN FIDC SEGMENTO MEIOS DE PAGAMENTO DE RESPONSABILIDADE LIMITADA,https://fnet.bmfbovespa.com.br/fnet/publico/exibirDocumento?id=897223&cvm=true,,,,,,,
50857998000113,LEO MADEIRAS FIDC SEGMENTO MEIOS DE PAGAMENTO DE RESPONSABILIDADE LIMITADA,https://fnet.bmfbovespa.com.br/fnet/publico/exibirDocumento?id=1017825&cvm=true,,,,,,,
54219179000100,CLOUDWALK BIG PICTURE III FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS SEGMENTO MEIOS DE PAGAMENTO,https://fnet.bmfbovespa.com.br/fnet/publico/downloadDocumento?id=1072799,CLOUDWALK BIG PICTURE III FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS SEGMENTO MEIOS DE PAGAMENTO,151890811.96,Financeiro,"Agro, Indústria e Comércio",Recebíveis Comerciais,Financeiro,Adquirência
45019334000145,IUGU I UR - FIDC - UNIDADE DE RECEBÍVEIS RESPONSABILIDADE LIMITADA,https://fnet.bmfbovespa.com.br/fnet/publico/exibirDocumento?id=1230422&cvm=true,IUGU I UR - FIDC - UNIDADE DE RECEBÍVEIS RESPONSABILIDADE LIMITADA,147341700.76,Financeiro,Financeiro,Multicarteira Financeiro,Financeiro,Multicarteira Financeiro
17474548000176,FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS LF I - SEGMENTO FINANCEIRO - RESPONSABILIDADE LIMITADA,https://fnet.bmfbovespa.com.br/fnet/publico/exibirDocumento?id=1239914&cvm=true,FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS LF I - SEGMENTO FINANCEIRO - RESPONSABILIDADE LIMITADA,132131158.97,Financeiro,Outros,Multicarteira Outros,Financeiro,Adquirência
44124617000194,CLOUDWALK AKIRA II FIDC SEGMENTO MEIOS DE PAGAMENTO,https://fnet.bmfbovespa.com.br/fnet/publico/exibirDocumento?id=851798&cvm=true,,,,,,,
42085816000105,CLOUDWALK KICK ASS I FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS SEGMENTO MEIOS DE PAGAMENTO,https://fnet.bmfbovespa.com.br/fnet/publico/exibirDocumento?id=733165&cvm=true,,,,,,,
