Fundo,CNPJ,Data,Classe/Série,Tipo,Qtd cotas,Preço/VNU,Volume identificado (R$ mm),Remuneração-alvo,Amortização/vencimento,Fonte
GAVEA SUL MULTISSETORIAL LP,18.185.812/0001-14,02/02/2021,8ª Série,—,—,—,"60,0","DI + 5,0% a.a.",—,144637_assembleia_assembleia_144637_2021-02-02.pdf · ID 144637 · 02/02/2021 14:00
GAVEA SUL MULTISSETORIAL LP,18.185.812/0001-14,23/02/2021,8ª Série,—,—,—,"140,0","DI + 4,5% a.a.",—,150760_assembleia_assembleia_150760_2021-02-23.pdf · ID 150760 · 23/02/2021 14:00
GAVEA SUL MULTISSETORIAL LP,18.185.812/0001-14,28/06/2021,COTAS SENIORES DO GÁVEA SUL FUNDO DE INVESTIMENTO EM DIREITOS CR,Sênior,—,—,"140,0","DI + 4,5% a.a.",—,190609_assembleia_assembleia_190609_2021-06-28.pdf · ID 190609 · 28/06/2021 14:00
GAVEA SUL MULTISSETORIAL LP,18.185.812/0001-14,28/06/2021,Cotas Subordinadas Mezanino e (b) 1 (uma) classe de Cotas Subordinad,Mezanino,—,—,—,—,—,190610_regulamento_regulamento_190610_2021-06-28.pdf · ID 190610 · 28/06/2021
GAVEA SUL MULTISSETORIAL LP,18.185.812/0001-14,06/07/2021,COTAS SENIORES DO,Sênior,—,—,"140,0","DI + 4,5% a.a.",—,191622_emissao_emissao_191622_2021-07-06.pdf · ID 191622 · 06/07/2021
GAVEA SUL MULTISSETORIAL LP,18.185.812/0001-14,09/05/2022,9ª SÉRIE,—,—,—,"169,0",—,—,306543_assembleia_assembleia_306543_2022-05-09.pdf · ID 306543 · 09/05/2022 15:00
GAVEA SUL MULTISSETORIAL LP,18.185.812/0001-14,13/05/2022,Classe Mezanino 4”,Mezanino,—,—,"169,0",—,—,304202_emissao_emissao_304202_2022-05-13.pdf · ID 304202 · 13/05/2022
GAVEA SUL MULTISSETORIAL LP,18.185.812/0001-14,04/07/2022,10ª SÉRIE,—,—,—,"30,0",—,—,322443_assembleia_assembleia_322443_2022-07-04.pdf · ID 322443 · 04/07/2022 11:00
GAVEA SUL MULTISSETORIAL LP,18.185.812/0001-14,25/08/2022,Cotas Subordinadas serão divididas em (a)um número indeterminado de,Subordinada,—,—,—,—,—,346325_regulamento_regulamento_346325_2022-08-25.pdf · ID 346325 · 25/08/2022
GAVEA SUL MULTISSETORIAL LP,18.185.812/0001-14,09/05/2023,Classe Subordinada,Subordinada,—,—,—,—,—,466866_assembleia_assembleia_466866_2023-05-09.pdf · ID 466866 · 09/05/2023 10:00
