grupo,fundo,nome_curto,cnpj,data_referencia,documento_id,tipo_documento,categoria_documento,source_file,page,categoria_evidencia,termos_encontrados,trecho,fonte_pagina
Mercado Crédito,MERCADO CRÉDITO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA,Mercado Crédito FIDC,33.254.370/0001-04,03/09/2024 11:00,749010,AGE,assembleia,data/raw/33254370000104/749010_assembleia_assembleia_749010_2024-09-03.pdf,3,direitos_creditorios_cessoes,\bdireitos credit[oó]rios\b,"3 Página integrante da Assembleia Geral de Cotistas do Mercado Crédito Fundo de Investimento em Direitos Creditórios Não Padronizados realizada em 30 de setembro de 2024. MERCADO CRÉDITO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO PADRONIZADOS CNPJ/MF nº 33.254.370/0001‐04 ATA DA ASSEMBLEIA GERAL DE COTISTAS REALIZADA EM 30 DE SETEMBRO DE 2024. LISTA DE PRESENÇA DE COTISTAS NOME ASSINATURA MERCADO LIVRE FUNDO DE INVESTIMENTO MULTIMERCADO CRÉDITO PRIVADO I (CNPJ/MF 26.812.171/0001-09), representado pelo seu administrador Banco Genial S.A. MERCADO CRÉDITO ...",749010_assembleia_assembleia_749010_2024-09-03.pdf p.3
Mercado Crédito,MERCADO CRÉDITO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA,Mercado Crédito FIDC,33.254.370/0001-04,03/09/2024 11:00,749010,AGE,assembleia,data/raw/33254370000104/749010_assembleia_assembleia_749010_2024-09-03.pdf,4,direitos_creditorios_cessoes,\bdireitos credit[oó]rios\b,4 Página integrante da Assembleia Geral de Cotistas do Mercado Crédito Fundo de Investimento em Direitos Creditórios Não Padronizados realizada em 30 de setembro de 2024. ANEXO I SUPLEMENTO DA SEGUNDA SÉRIE DE COTAS SENIORES [restante da página intencionalmente deixado em branco] Docusign Envelope ID: 73F1FBF2-384F-4A4F-9169-CEDC95A6A1AF,749010_assembleia_assembleia_749010_2024-09-03.pdf p.4
Mercado Crédito,MERCADO CRÉDITO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA,Mercado Crédito FIDC,33.254.370/0001-04,03/09/2024 11:00,749010,AGE,assembleia,data/raw/33254370000104/749010_assembleia_assembleia_749010_2024-09-03.pdf,5,direitos_creditorios_cessoes,\bdireitos credit[oó]rios\b,"1 Suplemento de Cotas Seniores Mercado Crédito Fundo de Investimento em Direitos Creditórios Não Padronizado CNPJ/MF sob nº 33.254.370/001-04 1. O presente documento constitui o suplemento nº 2 (“Suplemento”), referente à segunda série de cotas seniores de emissão do Mercado Crédito Fundo de Investimento em Direitos Creditórios Não Padronizado, inscrito no CNPJ sob nº 33.254.370/0001-04 (“2ª Série de Cotas Seniores” e “Fundo”, respectivamente), com seu regulamento disponibilizado na página da CVM na rede mun dial de computadores no ende...",749010_assembleia_assembleia_749010_2024-09-03.pdf p.5
Mercado Crédito,MERCADO CRÉDITO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA,Mercado Crédito FIDC,33.254.370/0001-04,03/09/2024 19:00,731592,AGE,assembleia,data/raw/33254370000104/731592_assembleia_assembleia_731592_2024-09-03.pdf,1,direitos_creditorios_cessoes,\bdireitos credit[oó]rios\b,"1 MERCADO CRÉDITO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO PADRONIZADOS CNPJ/MF nº 33.254.370/0001‐04 ATA DA ASSEMBLEIA GERAL EXTRAORDINÁRIA DE COTISTAS REALIZADA EM 03 DE SETEMBRO DE 2024 DATA, HORA E LOCAL: Realizada aos 03 de setembro de 2024, às 10h00, na sede da FINVEST DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA. , instituição administradora (“Administradora”) do MERCADO CRÉDITO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO PADRONIZADOS, inscrito no CNPJ/MF sob o nº 33.254.370/0001...",731592_assembleia_assembleia_731592_2024-09-03.pdf p.1
Mercado Crédito,MERCADO CRÉDITO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA,Mercado Crédito FIDC,33.254.370/0001-04,03/09/2024 19:00,731592,AGE,assembleia,data/raw/33254370000104/731592_assembleia_assembleia_731592_2024-09-03.pdf,2,direitos_creditorios_cessoes,"\bdireitos credit[oó]rios\b, \bsubstitui[cç][aã]o\b","...r possuem políticas de investimento e público- alvo compatíveis. 5.1.2. A atividade de administração do Fundo Incorporador será realizada pela Administradora. 5.1.3. As atividades de custódia do Fundo Incorporador, bem como as de controladoria dos ativos do Fundo Incorporador, serão exercidas pela Administradora. 5.1.4. A incorporação será efetivada mediante: (i) extinção do Fundo Incorporado e transferência da totalidade dos ativos financeiros, direitos creditórios, bens, direitos e obrigações do Fundo Incorporado ao Fundo Incorporador; e (ii) emissão de novas cotas subordinadas do Fundo Incorporador, a serem atribuídas ao(s) cotista(s) do Fundo Incorporado, em substituição e proporcionalmente aos seus direitos extintos, relativos ao Fundo Incorporado. 5.1.5. O número de Cotas a serem emitidas pelo Fundo Incorporador será equivalente ao resultado da divisão do patrimônio líquido do Fundo Incorporado, na Da...",731592_assembleia_assembleia_731592_2024-09-03.pdf p.2
Mercado Crédito,MERCADO CRÉDITO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA,Mercado Crédito FIDC,33.254.370/0001-04,03/09/2024 19:00,731592,AGE,assembleia,data/raw/33254370000104/731592_assembleia_assembleia_731592_2024-09-03.pdf,4,direitos_creditorios_cessoes,\bdireitos credit[oó]rios\b,4 MERCADO CRÉDITO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO PADRONIZADOS CNPJ/MF nº 33.254.370/0001‐04 ATA DA ASSEMBLEIA GERAL EXTRAORDINÁRIA DE COTISTAS EM 03 DE SETEMBRO DE 2024. LISTA DE PRESENÇA DE COTISTAS NOME ASSINATURA MERCADO LIVRE FUNDO DE INVESTIMENTO MULTIMERCADO CRÉDITO PRIVADO I MERCADO CRÉDITO FUNDO DE INVESTIMENTO MULTIMERCADO CRÉDITO PRIVADO Docusign Envelope ID: 634BE2A4-48EB-441D-9F98-716C2EC8D3C1,731592_assembleia_assembleia_731592_2024-09-03.pdf p.4
Mercado Crédito,MERCADO CRÉDITO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA,Mercado Crédito FIDC,33.254.370/0001-04,13/08/2021,207364,Regulamento,regulamento,data/raw/33254370000104/207364_regulamento_regulamento_207364_2021-08-13.pdf,1,direitos_creditorios_cessoes,\bdireitos credit[oó]rios\b,REGULAMENTO MERCADO CRÉDITO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO PADRONIZADO” CNPJ/ME Nº 33.254.370-0001-04 13 DE AGOSTO DE 2021.,207364_regulamento_regulamento_207364_2021-08-13.pdf p.1
Mercado Crédito,MERCADO CRÉDITO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA,Mercado Crédito FIDC,33.254.370/0001-04,13/08/2021,207364,Regulamento,regulamento,data/raw/33254370000104/207364_regulamento_regulamento_207364_2021-08-13.pdf,2,direitos_creditorios_cessoes,"\bcess[aã]o\b, \bcondi[cç][oõ]es de cess[aã]o\b, \bcrit[eé]rios? de elegibilidade\b, \bdireitos credit[oó]rios\b, \bsubstitui[cç][aã]o\b","2 Índice 1. FORMA DE CONSTITUIÇÃO E PRAZO DE DURAÇÃO 3 2. POLÍTICA DE INVESTIMENTO E COMPOSIÇÃO DA CARTEIRA 3 3. CRITÉRIOS DE ELEGIBILIDADE E CONDIÇÕES DE CESSÃO 6 4. FATORES DE RISCO 7 5. ADMINISTRADORA 16 6. OBRIGAÇÕES, VEDAÇÕES E RESPONSABILIDADES DA ADMINISTRADORA 16 7. REMUNERAÇÃO DA ADMINISTRADORA 18 8. SUBSTITUIÇÃO E RENÚNCIA DA ADMINISTRADORA 19 9. GESTORA, DISTRIBUIDOR, CUSTODIANTE E AGENTE DE COBRANÇA 20 10. COTAS 25 11. SUBSCRIÇÃO, INTEGRALIZAÇÃO E VALOR DAS COTAS 29 12. AMORTIZAÇÃO E RESGATE DAS COTAS 31 13. ORDEM DE ALOCAÇÃO DOS RECURSOS 33 14. METODOLOGIA DE AVALIAÇÃO ...",207364_regulamento_regulamento_207364_2021-08-13.pdf p.2
Mercado Crédito,MERCADO CRÉDITO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA,Mercado Crédito FIDC,33.254.370/0001-04,13/08/2021,207364,Regulamento,regulamento,data/raw/33254370000104/207364_regulamento_regulamento_207364_2021-08-13.pdf,3,direitos_creditorios_cessoes,"\bcess[aã]o\b, \bcondi[cç][oõ]es de cess[aã]o\b, \bcrit[eé]rios? de elegibilidade\b, \bdireitos credit[oó]rios\b","3 REGULAMENTO DO MERCADO CRÉDITO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO PADRONIZADO O “MERCADO CRÉDITO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO PADRONIZADO”, disciplinado pela Resolução n° 2.907, de 29 de novembro de 2001, do CMN, pela Instrução CVM nº 356/01, pela Instrução CVM nº 444, de 8 de dezembro de 2006 e demais disposições legais e regulam entares aplicáveis , será regido pelo presente Regulamento. Os termos iniciados em letra maiúscula utilizados neste Regulamento, estejam no singular ou no pl...",207364_regulamento_regulamento_207364_2021-08-13.pdf p.3
Mercado Crédito,MERCADO CRÉDITO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA,Mercado Crédito FIDC,33.254.370/0001-04,13/08/2021,207364,Regulamento,regulamento,data/raw/33254370000104/207364_regulamento_regulamento_207364_2021-08-13.pdf,4,direitos_creditorios_cessoes,"\bcess[aã]o\b, \bdireitos credit[oó]rios\b","4 do Fundo, conforme o caso, em contas específicas abertas no SELIC, ou em instituições ou entidades autorizadas à prestação desse serviço pelo BACEN ou pela CVM. 2.2 A cada aquisição de Direitos Creditórios, o Fundo pagará, ao respectivo Cedente, o Preço de Aquisição, conforme previsto nos respectivos Documentos de Aquisição. 2.3 Decorridos 90 (noventa) dias do início das atividades do Fundo, este deverá ter alocado, no m ínimo, 50% ( cinquenta por cento) do seu Patrimônio Líquido em Direitos Creditórios. 2.4 Os Direitos Creditórios a serem adquiridos pelo Fundo devem se enquadrar , e em qualquer percentual, em qualquer hipótese prevista no parágra...",207364_regulamento_regulamento_207364_2021-08-13.pdf p.4
