grupo,fundo,nome_curto,cnpj,data_referencia,evento,categoria,tipo_documento,especie,documento_id,arquivo_local_existe,source_file
Mercado Crédito,Mercado Crédito Merchant Fundo de Investimento em Direitos Creditórios,Mercado Crédito Merchant FIDC,28.472.333/0001-32,09/2021,Informe trimestral,outro,Informe Trimestral,,235040,False,
Mercado Crédito,Mercado Crédito Merchant Fundo de Investimento em Direitos Creditórios,Mercado Crédito Merchant FIDC,28.472.333/0001-32,30/09/2021,Relatório de rating,outro,Relatório de Agência de Rating,,235044,False,
Mercado Crédito,Mercado Crédito Merchant Fundo de Investimento em Direitos Creditórios,Mercado Crédito Merchant FIDC,28.472.333/0001-32,30/09/2021,Relatório de rating,outro,Relatório de Agência de Rating,,235878,False,
Mercado Crédito,Mercado Crédito Merchant Fundo de Investimento em Direitos Creditórios,Mercado Crédito Merchant FIDC,28.472.333/0001-32,12/2021,Informe trimestral,outro,Informe Trimestral,,270880,False,
Mercado Crédito,Mercado Crédito Merchant Fundo de Investimento em Direitos Creditórios,Mercado Crédito Merchant FIDC,28.472.333/0001-32,12/2021,Informe trimestral,outro,Informe Trimestral,,321401,False,
Mercado Crédito,Mercado Crédito Merchant Fundo de Investimento em Direitos Creditórios,Mercado Crédito Merchant FIDC,28.472.333/0001-32,31/12/2021,Demonstrações financeiras,outro,Demonstrações Financeiras,,510926,False,
Mercado Crédito,Mercado Crédito Merchant Fundo de Investimento em Direitos Creditórios,Mercado Crédito Merchant FIDC,28.472.333/0001-32,03/2022,Informe trimestral,outro,Informe Trimestral,,304904,False,
Mercado Crédito,Mercado Crédito Merchant Fundo de Investimento em Direitos Creditórios,Mercado Crédito Merchant FIDC,28.472.333/0001-32,03/2022,Informe trimestral,outro,Informe Trimestral,,373768,False,
Mercado Crédito,Mercado Crédito Merchant Fundo de Investimento em Direitos Creditórios,Mercado Crédito Merchant FIDC,28.472.333/0001-32,06/2022,Informe trimestral,outro,Informe Trimestral,,340650,False,
Mercado Crédito,Mercado Crédito Merchant Fundo de Investimento em Direitos Creditórios,Mercado Crédito Merchant FIDC,28.472.333/0001-32,06/2022,Informe trimestral,outro,Informe Trimestral,,373901,False,
Mercado Crédito,Mercado Crédito Merchant Fundo de Investimento em Direitos Creditórios,Mercado Crédito Merchant FIDC,28.472.333/0001-32,09/2022,Informe trimestral,outro,Informe Trimestral,,376748,False,
Mercado Crédito,Mercado Crédito Merchant Fundo de Investimento em Direitos Creditórios,Mercado Crédito Merchant FIDC,28.472.333/0001-32,09/2022,Informe trimestral,outro,Informe Trimestral,,410062,False,
Mercado Crédito,Mercado Crédito Merchant Fundo de Investimento em Direitos Creditórios,Mercado Crédito Merchant FIDC,28.472.333/0001-32,12/2022,Informe trimestral,outro,Informe Trimestral,,415493,False,
Mercado Crédito,Mercado Crédito Merchant Fundo de Investimento em Direitos Creditórios,Mercado Crédito Merchant FIDC,28.472.333/0001-32,30/12/2022,Relatório de rating,outro,Relatório de Agência de Rating,,410762,False,
Mercado Crédito,Mercado Crédito Merchant Fundo de Investimento em Direitos Creditórios,Mercado Crédito Merchant FIDC,28.472.333/0001-32,31/12/2022,Demonstrações financeiras,outro,Demonstrações Financeiras,,565264,False,
Mercado Crédito,Mercado Crédito Merchant Fundo de Investimento em Direitos Creditórios,Mercado Crédito Merchant FIDC,28.472.333/0001-32,03/2023,Informe trimestral,outro,Informe Trimestral,,454622,False,
Mercado Crédito,Mercado Crédito Merchant Fundo de Investimento em Direitos Creditórios,Mercado Crédito Merchant FIDC,28.472.333/0001-32,31/03/2023,Relatório de rating,outro,Relatório de Agência de Rating,,457230,False,
Mercado Crédito,Mercado Crédito Merchant Fundo de Investimento em Direitos Creditórios,Mercado Crédito Merchant FIDC,28.472.333/0001-32,13/04/2023 18:00,Assembleia / deliberação,assembleia,AGE,Ata da Assembleia,444985,True,data/raw/28472333000132/444985_assembleia_assembleia_444985_2023-04-13.pdf
Mercado Crédito,Mercado Crédito Merchant Fundo de Investimento em Direitos Creditórios,Mercado Crédito Merchant FIDC,28.472.333/0001-32,14/04/2023 23:59,Assembleia / deliberação,assembleia,AGE,Carta Consulta,436942,True,data/raw/28472333000132/436942_assembleia_assembleia_436942_2023-04-14.pdf
Mercado Crédito,Mercado Crédito Merchant Fundo de Investimento em Direitos Creditórios,Mercado Crédito Merchant FIDC,28.472.333/0001-32,19/04/2023,Regulamento / alteração regulatória,regulamento,Instrumento Particular de Alteração do Regulamento,,448299,True,data/raw/28472333000132/448299_regulamento_regulamento_448299_2023-04-19.pdf
Mercado Crédito,Mercado Crédito Merchant Fundo de Investimento em Direitos Creditórios,Mercado Crédito Merchant FIDC,28.472.333/0001-32,19/04/2023,Comunicação / evento,evento,Fato Relevante,,448302,True,data/raw/28472333000132/448302_evento_evento_448302_2023-04-19.pdf
