setor_n1,setor_n2,participant_type,party_name,participant_cnpj_candidate,funds,evidence_rows,materiality_brl
Crédito PF,Crédito pessoal/consumo,cedente_originador,junto ao Banco Cooperativo Sicredi S.A,01.181.521/0001-55,1,1,122265411.23
Crédito PF,Crédito pessoal/consumo,consultora,PANOSUL ADMINISTRAÇÃO E PARTICIPAÇÕES LTDA,,1,1,122265411.23
Crédito PF,Crédito pessoal/consumo,cedente_originador,berta junto ao Itaú Unibanco S.A,,1,1,120000000.0
Crédito PF,Crédito pessoal/consumo,cedente_originador,77SOL TECNOLOGIA S.A,41.015.655/0001-10,1,1,119000000.0
Crédito PF,Crédito pessoal/consumo,cedente_originador,DIRECTCON INVESTIMENTOS LTDA,,1,1,112951685.3
Crédito PF,Crédito pessoal/consumo,consultora,CREDPARTNERS FOMENTO MERCANTIL LTDA,17.878.852/0001-89,1,1,112686470.28
Crédito PF,FGTS,consultora,CONTEA CAPITAL GESTAO DE RECURSOS LTDA,11.325.341/0001-53,1,1,110000000.0
Crédito PF,Crédito pessoal/consumo,cedente_originador,CON INVEST LTDA,53.062.420/0001-69,1,1,108132408.23
Crédito PJ,CCB/Notas comerciais/Capital de giro,cedente_originador,SOLFARMA COMÉRCIO DE PRODUTOS FARMACÊUTICOS S.A,,1,1,104796470.6
Imobiliário,Imobiliário,consultora,SIZE NEGÓCIOS E TECNOLOGIA LTDA,,1,1,104236004.14
Crédito PJ,Risco sacado/fornecedores,consultora,VALUT INSTITUICAO DE PAGAMENTO LTDA,,1,1,100000000.78
Crédito PF,Crédito pessoal/consumo,sacado_devedor,VMK Holding S.A,,1,1,97500000.0
Crédito PJ,Risco sacado/fornecedores,cedente_originador,CENCOSUD BRASIL COMERCIAL S.A,09.182.947/0001-35,1,1,94000000.0
Crédito PJ,Risco sacado/fornecedores,cedente_originador,caso.Instituições Bancárias AutorizadasO Banco do Brasil S.A,,1,1,90000000.0
Crédito PJ,Risco sacado/fornecedores,consultora,IPC INSTITUIÇÃO DE PAGAMENTO S.A,,1,1,90000000.0
Meios de Pagamento e Cartões,Bancos Emissores,cedente_originador,Hoahi Importação e Exportação Têxtil Ltda,32.321.306/0001-36,1,1,83694430.1
Meios de Pagamento e Cartões,Bancos Emissores,sacado_devedor,EBAZAR.COM.BR. LTDA,03.007.331/0008-18,1,1,83694430.1
Meios de Pagamento e Cartões,Bancos Emissores,sacado_devedor,Especial EBAZAR.COM.BR. LTDA,03.007.331/0008-18,1,1,83694430.1
Meios de Pagamento e Cartões,Bancos Emissores,sacado_devedor,Guarany Administradora de Bens Próprios Ltda,,1,1,83694430.1
Meios de Pagamento e Cartões,Bancos Emissores,sacado_devedor,Hoahi Importação e Exportação Têxtil Ltda,,1,1,83694430.1
Meios de Pagamento e Cartões,Bancos Emissores,sacado_devedor,INDUSTRIA LTDA,45.543.915/0846-95,1,1,83694430.1
Agro,Agro,cedente_originador,AGROFORTE SECURITIZADORA CONSULTORIA E SERVIÇOS FINANCEIROS LTDA,,1,1,82500000.0
Crédito PJ,Risco sacado/fornecedores,consultora,EVER BLUE SERVIÇOS ADMINISTRATIVOS LTDA,,1,1,81062627.45
Crédito PJ,Risco sacado/fornecedores,consultora,ATHIE WOHNRATH FOMENTO MERCANTIL LTDA,,1,1,80000000.0
Agro,Agro,sacado_devedor,BRASIL INTER COMEX ELETRÔNICOS E INFORMÁTICA LTDA,,1,1,76000000.0
Imobiliário,Imobiliário,cedente_originador,FLYTOUR AGÊNCIA DE VIAGENS E TURISMO LTDA,,1,1,75000000.0
Imobiliário,Imobiliário,sacado_devedor,BRADESCO S.A,60.746.948/0001-12,1,1,75000000.0
Crédito PF,Crédito pessoal/consumo,consultora,DIAMANTE PRESTACAO DE SERVICOS LTDA,,1,1,68541035.56
Crédito PJ,Recebíveis comerciais/multissetorial,sacado_devedor,EDITORA SANAR S.A,,1,1,60906105.11
Imobiliário,Imobiliário,cedente_originador,FPW SECURITIZADORA DE CREDITOS S.A,,1,1,60000000.0
Crédito PJ,Risco sacado/fornecedores,consultora,MULTI7 CAPITAL CONSULTORIA LTDA,17.044.073/0001-88,1,1,56204311.75
Crédito PF,Auto/Veículos,cedente_originador,JURI ATIVOS JUDICIAIS S.A,,1,1,55200000.0
