grupo,fundo,nome_curto,cnpj,competencia,indicador,valor,unidade,observacao,cache_folder
Sellers,,Seller FIDC,50.473.039/0001-02,02/2025,Dir Cred / PL,0.9959745699691279,ratio,,.cache/fundonet-ime/c0ce8a5069fe47b6253df9ee86a9b53b58dc2ecca778de89072d8bbab0807695
Sellers,,Seller FIDC,50.473.039/0001-02,03/2025,Dir Cred / PL,0.9960962483210716,ratio,,.cache/fundonet-ime/c0ce8a5069fe47b6253df9ee86a9b53b58dc2ecca778de89072d8bbab0807695
Sellers,,Seller FIDC,50.473.039/0001-02,04/2025,Dir Cred / PL,0.9592338734240609,ratio,,.cache/fundonet-ime/c0ce8a5069fe47b6253df9ee86a9b53b58dc2ecca778de89072d8bbab0807695
Sellers,,Seller FIDC,50.473.039/0001-02,05/2025,Dir Cred / PL,0.8037397888400397,ratio,,.cache/fundonet-ime/c0ce8a5069fe47b6253df9ee86a9b53b58dc2ecca778de89072d8bbab0807695
Sellers,,Seller FIDC,50.473.039/0001-02,06/2025,Dir Cred / PL,0.9418053407568139,ratio,,.cache/fundonet-ime/c0ce8a5069fe47b6253df9ee86a9b53b58dc2ecca778de89072d8bbab0807695
Sellers,,Seller FIDC,50.473.039/0001-02,07/2025,Dir Cred / PL,0.9770357887365908,ratio,,.cache/fundonet-ime/c0ce8a5069fe47b6253df9ee86a9b53b58dc2ecca778de89072d8bbab0807695
Sellers,,Seller FIDC,50.473.039/0001-02,08/2025,Dir Cred / PL,0.9842274207782429,ratio,,.cache/fundonet-ime/c0ce8a5069fe47b6253df9ee86a9b53b58dc2ecca778de89072d8bbab0807695
Sellers,,Seller FIDC,50.473.039/0001-02,09/2025,Dir Cred / PL,0.9465718634775818,ratio,,.cache/fundonet-ime/c0ce8a5069fe47b6253df9ee86a9b53b58dc2ecca778de89072d8bbab0807695
Sellers,,Seller FIDC,50.473.039/0001-02,10/2025,Dir Cred / PL,0.9474420476197349,ratio,,.cache/fundonet-ime/c0ce8a5069fe47b6253df9ee86a9b53b58dc2ecca778de89072d8bbab0807695
Sellers,,Seller FIDC,50.473.039/0001-02,11/2025,Dir Cred / PL,0.9345178685492583,ratio,,.cache/fundonet-ime/c0ce8a5069fe47b6253df9ee86a9b53b58dc2ecca778de89072d8bbab0807695
Sellers,,Seller FIDC,50.473.039/0001-02,12/2025,Dir Cred / PL,0.9401934012706684,ratio,,.cache/fundonet-ime/c0ce8a5069fe47b6253df9ee86a9b53b58dc2ecca778de89072d8bbab0807695
Sellers,,Seller FIDC,50.473.039/0001-02,01/2026,Dir Cred / PL,0.9471728293714643,ratio,,.cache/fundonet-ime/c0ce8a5069fe47b6253df9ee86a9b53b58dc2ecca778de89072d8bbab0807695
Sellers,,Seller FIDC,50.473.039/0001-02,02/2026,Dir Cred / PL,0.9465635139321789,ratio,,.cache/fundonet-ime/c0ce8a5069fe47b6253df9ee86a9b53b58dc2ecca778de89072d8bbab0807695
Sellers,,Seller FIDC,50.473.039/0001-02,03/2026,Dir Cred / PL,0.9253007231840426,ratio,,.cache/fundonet-ime/c0ce8a5069fe47b6253df9ee86a9b53b58dc2ecca778de89072d8bbab0807695
Sellers,,Seller FIDC,50.473.039/0001-02,02/2025,Vencidos Over 30 d / Crédito,0.0,ratio,,.cache/fundonet-ime/c0ce8a5069fe47b6253df9ee86a9b53b58dc2ecca778de89072d8bbab0807695
Sellers,,Seller FIDC,50.473.039/0001-02,03/2025,Vencidos Over 30 d / Crédito,0.0,ratio,,.cache/fundonet-ime/c0ce8a5069fe47b6253df9ee86a9b53b58dc2ecca778de89072d8bbab0807695
Sellers,,Seller FIDC,50.473.039/0001-02,04/2025,Vencidos Over 30 d / Crédito,0.0,ratio,,.cache/fundonet-ime/c0ce8a5069fe47b6253df9ee86a9b53b58dc2ecca778de89072d8bbab0807695
Sellers,,Seller FIDC,50.473.039/0001-02,05/2025,Vencidos Over 30 d / Crédito,0.0,ratio,,.cache/fundonet-ime/c0ce8a5069fe47b6253df9ee86a9b53b58dc2ecca778de89072d8bbab0807695
Sellers,,Seller FIDC,50.473.039/0001-02,06/2025,Vencidos Over 30 d / Crédito,0.0,ratio,,.cache/fundonet-ime/c0ce8a5069fe47b6253df9ee86a9b53b58dc2ecca778de89072d8bbab0807695
Sellers,,Seller FIDC,50.473.039/0001-02,07/2025,Vencidos Over 30 d / Crédito,0.0,ratio,,.cache/fundonet-ime/c0ce8a5069fe47b6253df9ee86a9b53b58dc2ecca778de89072d8bbab0807695
Sellers,,Seller FIDC,50.473.039/0001-02,08/2025,Vencidos Over 30 d / Crédito,0.0,ratio,,.cache/fundonet-ime/c0ce8a5069fe47b6253df9ee86a9b53b58dc2ecca778de89072d8bbab0807695
Sellers,,Seller FIDC,50.473.039/0001-02,09/2025,Vencidos Over 30 d / Crédito,0.0,ratio,,.cache/fundonet-ime/c0ce8a5069fe47b6253df9ee86a9b53b58dc2ecca778de89072d8bbab0807695
Sellers,,Seller FIDC,50.473.039/0001-02,10/2025,Vencidos Over 30 d / Crédito,0.0,ratio,,.cache/fundonet-ime/c0ce8a5069fe47b6253df9ee86a9b53b58dc2ecca778de89072d8bbab0807695
Sellers,,Seller FIDC,50.473.039/0001-02,11/2025,Vencidos Over 30 d / Crédito,0.0,ratio,,.cache/fundonet-ime/c0ce8a5069fe47b6253df9ee86a9b53b58dc2ecca778de89072d8bbab0807695
Sellers,,Seller FIDC,50.473.039/0001-02,12/2025,Vencidos Over 30 d / Crédito,0.0,ratio,,.cache/fundonet-ime/c0ce8a5069fe47b6253df9ee86a9b53b58dc2ecca778de89072d8bbab0807695
Sellers,,Seller FIDC,50.473.039/0001-02,01/2026,Vencidos Over 30 d / Crédito,0.0,ratio,,.cache/fundonet-ime/c0ce8a5069fe47b6253df9ee86a9b53b58dc2ecca778de89072d8bbab0807695
Sellers,,Seller FIDC,50.473.039/0001-02,02/2026,Vencidos Over 30 d / Crédito,0.0,ratio,,.cache/fundonet-ime/c0ce8a5069fe47b6253df9ee86a9b53b58dc2ecca778de89072d8bbab0807695
Sellers,,Seller FIDC,50.473.039/0001-02,03/2026,Vencidos Over 30 d / Crédito,0.0,ratio,,.cache/fundonet-ime/c0ce8a5069fe47b6253df9ee86a9b53b58dc2ecca778de89072d8bbab0807695
Sellers,,Seller FIDC,50.473.039/0001-02,02/2025,Vencidos Over 60 d / Crédito,0.0,ratio,,.cache/fundonet-ime/c0ce8a5069fe47b6253df9ee86a9b53b58dc2ecca778de89072d8bbab0807695
Sellers,,Seller FIDC,50.473.039/0001-02,03/2025,Vencidos Over 60 d / Crédito,0.0,ratio,,.cache/fundonet-ime/c0ce8a5069fe47b6253df9ee86a9b53b58dc2ecca778de89072d8bbab0807695
Sellers,,Seller FIDC,50.473.039/0001-02,04/2025,Vencidos Over 60 d / Crédito,0.0,ratio,,.cache/fundonet-ime/c0ce8a5069fe47b6253df9ee86a9b53b58dc2ecca778de89072d8bbab0807695
Sellers,,Seller FIDC,50.473.039/0001-02,05/2025,Vencidos Over 60 d / Crédito,0.0,ratio,,.cache/fundonet-ime/c0ce8a5069fe47b6253df9ee86a9b53b58dc2ecca778de89072d8bbab0807695
Sellers,,Seller FIDC,50.473.039/0001-02,06/2025,Vencidos Over 60 d / Crédito,0.0,ratio,,.cache/fundonet-ime/c0ce8a5069fe47b6253df9ee86a9b53b58dc2ecca778de89072d8bbab0807695
