Fundo,CNPJ,Critério,Chave,Evento,Comparação,Limite,Monitoramento,Métrica IME sugerida,Fonte,Comentário
CRÉDITO UNIVERSITÁRIO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESPONSABILIDADE LIMITADA,08.417.544/0001-65,Alocação mínima em direitos creditórios,credit_rights_allocation_min,enquadramento,>=,"5,50%",monitoravel,Dir Cred / PL,147591_assembleia_assembleia_147591_2021-02-05.pdf,O Informe Mensal traz direitos creditórios e PL.
CRÉDITO UNIVERSITÁRIO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESPONSABILIDADE LIMITADA,08.417.544/0001-65,Alocação mínima em direitos creditórios,credit_rights_allocation_min,enquadramento,>=,"57,06%",monitoravel,Dir Cred / PL,147591_assembleia_assembleia_147591_2021-02-05.pdf,O Informe Mensal traz direitos creditórios e PL.
CRÉDITO UNIVERSITÁRIO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESPONSABILIDADE LIMITADA,08.417.544/0001-65,Reserva ou caixa mínimo,minimum_cash_ratio,enquadramento,>=,0%,parcial,Disponibilidades / PL ou Disponibilidades / amortização estimada,147591_assembleia_assembleia_147591_2021-02-05.pdf,"O Informe Mensal traz caixa, mas cronogramas futuros e reservas regulatórias nem sempre são campos padronizados."
CRÉDITO UNIVERSITÁRIO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESPONSABILIDADE LIMITADA,08.417.544/0001-65,Reserva ou caixa mínimo,minimum_cash_ratio,enquadramento,>=,0%,parcial,Disponibilidades / PL ou Disponibilidades / amortização estimada,147591_assembleia_assembleia_147591_2021-02-05.pdf,"O Informe Mensal traz caixa, mas cronogramas futuros e reservas regulatórias nem sempre são campos padronizados."
CRÉDITO UNIVERSITÁRIO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESPONSABILIDADE LIMITADA,08.417.544/0001-65,Alocação mínima em direitos creditórios,credit_rights_allocation_min,enquadramento,>=,"3,5%",monitoravel,Dir Cred / PL,147607_regulamento_regulamento_147607_2021-02-05.pdf,O Informe Mensal traz direitos creditórios e PL.
CRÉDITO UNIVERSITÁRIO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESPONSABILIDADE LIMITADA,08.417.544/0001-65,Alocação mínima em direitos creditórios,credit_rights_allocation_min,enquadramento,>=,"3,5%",monitoravel,Dir Cred / PL,147607_regulamento_regulamento_147607_2021-02-05.pdf,O Informe Mensal traz direitos creditórios e PL.
CRÉDITO UNIVERSITÁRIO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESPONSABILIDADE LIMITADA,08.417.544/0001-65,Alocação mínima em direitos creditórios,credit_rights_allocation_min,enquadramento,>=,"3,5%",monitoravel,Dir Cred / PL,147607_regulamento_regulamento_147607_2021-02-05.pdf,O Informe Mensal traz direitos creditórios e PL.
CRÉDITO UNIVERSITÁRIO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESPONSABILIDADE LIMITADA,08.417.544/0001-65,Alocação mínima em direitos creditórios,credit_rights_allocation_min,enquadramento,>=,"3,5%",monitoravel,Dir Cred / PL,147607_regulamento_regulamento_147607_2021-02-05.pdf,O Informe Mensal traz direitos creditórios e PL.
CRÉDITO UNIVERSITÁRIO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESPONSABILIDADE LIMITADA,08.417.544/0001-65,Alocação mínima em direitos creditórios,credit_rights_allocation_min,enquadramento,>=,"3,5%",monitoravel,Dir Cred / PL,147607_regulamento_regulamento_147607_2021-02-05.pdf,O Informe Mensal traz direitos creditórios e PL.
CRÉDITO UNIVERSITÁRIO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESPONSABILIDADE LIMITADA,08.417.544/0001-65,Reserva ou caixa mínimo,minimum_cash_ratio,enquadramento,>=,100%,parcial,Disponibilidades / PL ou Disponibilidades / amortização estimada,147607_regulamento_regulamento_147607_2021-02-05.pdf,"O Informe Mensal traz caixa, mas cronogramas futuros e reservas regulatórias nem sempre são campos padronizados."
