grupo,fundo,nome_curto,cnpj,data_referencia,documento_id,tipo_documento,categoria_documento,source_file,page,categoria_evidencia,termos_encontrados,trecho,fonte_pagina
Mercado Crédito,MERCADO CRÉDITO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA,Mercado Crédito FIDC,33.254.370/0001-04,03/09/2024 11:00,749010,AGE,assembleia,data/raw/33254370000104/749010_assembleia_assembleia_749010_2024-09-03.pdf,1,governanca_operacional,"\badministrador[ae]?\b, \bgestor[ae]?\b","1 MERCADO CRÉDITO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO PADRONIZADOS CNPJ/MF nº 33.254.370/0001‐04 ATA DA ASSEMBLEIA GERAL DE COTISTAS REALIZADA EM 30 DE SETEMBRO DE 2024. 1. DATA, HORA E LOCAL : Realizada aos 30 de setembro de 2024, às 09h00, na sede da FINVEST DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA., instituição administradora (“Administradora”) do Mercado Crédito Fundo de Investimento em Direitos Creditórios Não Padronizados, inscrito no CNPJ/MF sob o nº 33.254.370/0001‐04 (“Fundo”). 2. CONVOCAÇÃO: dispensada a convocação, nos termos do artigo 28, §5º, da Instrução CVM nº 356/01. 3. PRESENÇA: compareceram os cotistas representando 100% (cem por cento) das Cotas de emissão do Fundo em circulação (“Cotistas”). Compareceu, ainda, o representante legal da Administradora....",749010_assembleia_assembleia_749010_2024-09-03.pdf p.1
Mercado Crédito,MERCADO CRÉDITO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA,Mercado Crédito FIDC,33.254.370/0001-04,03/09/2024 11:00,749010,AGE,assembleia,data/raw/33254370000104/749010_assembleia_assembleia_749010_2024-09-03.pdf,2,governanca_operacional,\badministrador[ae]?\b,"...forma impressa. 7. ENCERRAMENTO: Nada mais havendo a trat ar, após lavrada esta ata, de forma sumária, foi aprovada pelos presentes, conforme a lista de presença de cotistas arquivada em livro próprio e nos termos relatados acima. São Paulo, 30 de setembro de 2024. Antonio Bosco Presidente Marcelo Marques Secretário ______________________________________________________________________ FINVEST DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA. Administradora do Fundo Docusign Envelope ID: 73F1FBF2-384F-4A4F-9169-CEDC95A6A1AF",749010_assembleia_assembleia_749010_2024-09-03.pdf p.2
Mercado Crédito,MERCADO CRÉDITO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA,Mercado Crédito FIDC,33.254.370/0001-04,03/09/2024 11:00,749010,AGE,assembleia,data/raw/33254370000104/749010_assembleia_assembleia_749010_2024-09-03.pdf,3,governanca_operacional,"\badministrador[ae]?\b, \bgestor[ae]?\b","...to Fundo de Investimento em Direitos Creditórios Não Padronizados realizada em 30 de setembro de 2024. MERCADO CRÉDITO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO PADRONIZADOS CNPJ/MF nº 33.254.370/0001‐04 ATA DA ASSEMBLEIA GERAL DE COTISTAS REALIZADA EM 30 DE SETEMBRO DE 2024. LISTA DE PRESENÇA DE COTISTAS NOME ASSINATURA MERCADO LIVRE FUNDO DE INVESTIMENTO MULTIMERCADO CRÉDITO PRIVADO I (CNPJ/MF 26.812.171/0001-09), representado pelo seu administrador Banco Genial S.A. MERCADO CRÉDITO FUNDO DE INVESTIMENTO MULTIMERCADO (CNPJ/MF 42.299.358/0001-07), representado pelo seu gestor Polígono Capital Ltda. Docusign Envelope ID: 73F1FBF2-384F-4A4F-9169-CEDC95A6A1AF",749010_assembleia_assembleia_749010_2024-09-03.pdf p.3
Mercado Crédito,MERCADO CRÉDITO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA,Mercado Crédito FIDC,33.254.370/0001-04,03/09/2024 11:00,749010,AGE,assembleia,data/raw/33254370000104/749010_assembleia_assembleia_749010_2024-09-03.pdf,5,governanca_operacional,\badministrador[ae]?\b,"... regulamento disponibilizado na página da CVM na rede mun dial de computadores no endereço www.cvm.gov.br, do qual este Suplemento é parte integrante (“Regulamento”). O Fundo é administrado pela Finvest Distribuidora de Títulos e Valores Mobiliários Ltda., instituição financeira com sede na Cidade de São Paulo, Estado de São Paulo, na Rua Doutor Renato Paes de Barros, nº 1017, 10º andar, Itaim Bibi, inscrita no CNPJ sob o nº 36.266.751/0001-00 (“Administradora”). 2. Serão emitidas, nos termos deste Suplemento e do Regulamento, até 80.000 (oitenta mil) Cotas Seniores com valor unitário de R$ 1.000,00 (mil reais), na data da primeira subscrição e integralização da 2ª Série de Cotas Seniores (“Data de Subscrição Inicial”), para colocação privada. 3. As cotas da 2ª Série de Cotas Seniores serão distribuídas pela Finvest Di stribuidora de Títulos e Valores Mobiliários Ltda., com as seguintes característica...",749010_assembleia_assembleia_749010_2024-09-03.pdf p.5
Mercado Crédito,MERCADO CRÉDITO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA,Mercado Crédito FIDC,33.254.370/0001-04,03/09/2024 19:00,731592,AGE,assembleia,data/raw/33254370000104/731592_assembleia_assembleia_731592_2024-09-03.pdf,1,governanca_operacional,"\badministrador[ae]?\b, \bgestor[ae]?\b","1 MERCADO CRÉDITO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO PADRONIZADOS CNPJ/MF nº 33.254.370/0001‐04 ATA DA ASSEMBLEIA GERAL EXTRAORDINÁRIA DE COTISTAS REALIZADA EM 03 DE SETEMBRO DE 2024 DATA, HORA E LOCAL: Realizada aos 03 de setembro de 2024, às 10h00, na sede da FINVEST DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA. , instituição administradora (“Administradora”) do MERCADO CRÉDITO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO PADRONIZADOS, inscrito no CNPJ/MF sob o nº 33.254.370/0001‐04 (“Fundo”). 1. CONVOCAÇÃO: dispensada a convocação, nos termos do artigo 28, § 5, da Instrução CVM nº 356, de 17 de dezembro de 2001 (“Instrução CVM 356”). 2. PRESENÇA: compareceram os cotistas representando 100% (cem por cento) das Cotas de emissão do Fundo em circulação (“ Cotistas”). Compareceram...",731592_assembleia_assembleia_731592_2024-09-03.pdf p.1
Mercado Crédito,MERCADO CRÉDITO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA,Mercado Crédito FIDC,33.254.370/0001-04,03/09/2024 19:00,731592,AGE,assembleia,data/raw/33254370000104/731592_assembleia_assembleia_731592_2024-09-03.pdf,2,governanca_operacional,"\badministrador[ae]?\b, \bsubstitui[cç][aã]o\b","...ressalvas, da incorporação do Fundo Incorporado pelo Fundo Incorporador, com base no fechamento do expediente bancário do dia 13 de setembro de 2024, podendo ser implementada em prazo infe rior, observadas as restrições operacionais (“Data da Incorporação”). 5.1.1. O Fundo Incorporado e o Fundo Incorporador possuem políticas de investimento e público- alvo compatíveis. 5.1.2. A atividade de administração do Fundo Incorporador será realizada pela Administradora. 5.1.3. As atividades de custódia do Fundo Incorporador, bem como as de controladoria dos ativos do Fundo Incorporador, serão exercidas pela Administradora. 5.1.4. A incorporação será efetivada mediante: (i) extinção do Fundo Incorporado e transferência da totalidade dos ativos financeiros, direitos creditórios, bens, direitos e obrigações do Fundo Incorporado ao Fundo Incorporador; e (ii) emissão de novas cotas subordinadas do Fundo Incorporado...",731592_assembleia_assembleia_731592_2024-09-03.pdf p.2
Mercado Crédito,MERCADO CRÉDITO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA,Mercado Crédito FIDC,33.254.370/0001-04,03/09/2024 19:00,731592,AGE,assembleia,data/raw/33254370000104/731592_assembleia_assembleia_731592_2024-09-03.pdf,3,governanca_operacional,"\badministrador[ae]?\b, \bgestor[ae]?\b","3 5.1.9. A Administradora fica autorizada nos limites de suas respectivas atribuições, a tomar todas as medidas necessárias à realização da incorporação ora deliberada. Os Cotistas, neste ato: (i) declaram -se cientes das deliberações acima aprovadas; e (ii) dispensam a Administradora do envio do resumo da deliberação da presente ata, conforme os termos do artigo 30 da Instrução CVM 356. Os signatários desta ata conferem expressa anuência para que a assembleia seja celeb...",731592_assembleia_assembleia_731592_2024-09-03.pdf p.3
Mercado Crédito,MERCADO CRÉDITO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA,Mercado Crédito FIDC,33.254.370/0001-04,13/08/2021,207364,Regulamento,regulamento,data/raw/33254370000104/207364_regulamento_regulamento_207364_2021-08-13.pdf,2,governanca_operacional,"\badministrador[ae]?\b, \bagente de cobran[cç]a\b, \bcustodiante\b, \bgestor[ae]?\b, \bsubstitui[cç][aã]o\b","2 Índice 1. FORMA DE CONSTITUIÇÃO E PRAZO DE DURAÇÃO 3 2. POLÍTICA DE INVESTIMENTO E COMPOSIÇÃO DA CARTEIRA 3 3. CRITÉRIOS DE ELEGIBILIDADE E CONDIÇÕES DE CESSÃO 6 4. FATORES DE RISCO 7 5. ADMINISTRADORA 16 6. OBRIGAÇÕES, VEDAÇÕES E RESPONSABILIDADES DA ADMINISTRADORA 16 7. REMUNERAÇÃO DA ADMINISTRADORA 18 8. SUBSTITUIÇÃO E RENÚNCIA DA ADMINISTRADORA 19 9. GESTORA, DISTRIBUIDOR, CUSTODIANTE E AGENTE DE COBRANÇA 20 10. COTAS 25 11. SUBSCRIÇÃO, INTEGRALIZAÇÃO E VALOR DAS COTAS 29 12. AMORTIZAÇÃO E RESGATE DAS COTAS 31 13. ORDEM DE ALOCAÇÃO DOS RECURSOS 33 14. METODOLOGIA DE AVALIAÇÃO DOS ATIVOS DO FUNDO 35 15. EVENTOS DE AVALIAÇÃO 35 16. EVENTOS D...",207364_regulamento_regulamento_207364_2021-08-13.pdf p.2
Mercado Crédito,MERCADO CRÉDITO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA,Mercado Crédito FIDC,33.254.370/0001-04,13/08/2021,207364,Regulamento,regulamento,data/raw/33254370000104/207364_regulamento_regulamento_207364_2021-08-13.pdf,4,governanca_operacional,\bagente de cobran[cç]a\b,"...lativos aos Direitos Creditórios CCB Adquiridos diretamente para a Conta de Arrecadação e/ou para a Conta do Fundo, nos termos do respectivo contrato de prestação de serviço a ser firmado com o Agente de Recebimento , enquanto os Direitos Creditórios PPV Adquiridos serão pagos diretamente pelo Devedor na Conta do Fundo, nos termos dos Documentos de Aquisição. 2.9 A cobrança dos Direitos Creditórios CCB Adquiridos inadimplidos será realizada pelo Agente de Cobrança , e a cobrança dos Direitos Creditórios PPV Adquiridos",207364_regulamento_regulamento_207364_2021-08-13.pdf p.4
Mercado Crédito,MERCADO CRÉDITO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA,Mercado Crédito FIDC,33.254.370/0001-04,13/08/2021,207364,Regulamento,regulamento,data/raw/33254370000104/207364_regulamento_regulamento_207364_2021-08-13.pdf,5,governanca_operacional,"\badministrador[ae]?\b, \bcustodiante\b, \bgestor[ae]?\b","5 inadimplidos será realizada pelo Custodiante ou prestador de serviço por ele contratado, em todos os casos nos termos da Política de Cobrança, constante do Anexo III do Regulamento. 2.10 A parcela do Patrimônio Líquido do Fundo que não estiver alocada em Direitos Creditórios será necessariamente alocada nos Ativos Financeiros abaixo relacionados: a) títulos de emissão do Tesouro Nacional; b) operações compromissadas lastr eadas nos títulos mencionados na alínea a) acima; c) certificados e ...",207364_regulamento_regulamento_207364_2021-08-13.pdf p.5
