Fundo,CNPJ,Data,Classe/Série,Evento,Volume,Remuneração,Amortização/Vencimento,Fonte
CRÉDITO UNIVERSITÁRIO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESPONSABILIDADE LIMITADA,08.417.544/0001-65,,Cotas Seniores,evento de cota,,"ar qualquer ônus ou gravame, seja de que tipo ou natureza for, sobre os Direitos Creditórios e os Ativos Financeiros integrantes da carteira do Fundo, exceto quando se tratar de margens de garantia prestadas às operações realizadas em mercados de derivativos; e (b) emitir Cotas em desacordo com este Regulamento. 6. REMUNERAÇÃO DA ADMINISTRADORA E DEMAIS TAXAS DO FUNDO 6.1 O Fundo pagará pelos serviços de administraç…","e Regulamento; (d) monitorar, nos termos previstos neste Regulamento, os patamares exigidos com relação aos parâmetros abaixo, com base em relatórios previamente acordados com o Custodiante e com a Gestora, conforme aplicável: (1) Relação Mínima; (2) Alocação Mínima; (3) Reserva de Liquidez; (4) Reserva de Amortização; e (5) Reserva de Despesas e Encargos; (e) no caso de liquidação, dissolução, intervenção, decretaç…",458972_regulamento_regulamento_458972_2023-05-05.pdf
CRÉDITO UNIVERSITÁRIO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESPONSABILIDADE LIMITADA,08.417.544/0001-65,,COTAS SENIORES DA 31ª E 32ª SÉRIES,emissão,,,,458984_emissao_emissao_458984_2023-05-09.pdf
CRÉDITO UNIVERSITÁRIO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESPONSABILIDADE LIMITADA,08.417.544/0001-65,,COTAS SENIORES DA 31ª E 32ª SÉRIES,emissão,,,,466330_emissao_emissao_466330_2023-05-17.pdf
CRÉDITO UNIVERSITÁRIO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESPONSABILIDADE LIMITADA,08.417.544/0001-65,,COTAS SENIORES DA 31ª E 32ª SÉRIES,emissão,,,,467889_emissao_emissao_467889_2023-05-19.pdf
CRÉDITO UNIVERSITÁRIO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESPONSABILIDADE LIMITADA,08.417.544/0001-65,,31ª série,emissão,"R$242.038.461,00",,,475826_emissao_emissao_475826_2023-06-09.pdf
CRÉDITO UNIVERSITÁRIO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESPONSABILIDADE LIMITADA,08.417.544/0001-65,,31ª série,emissão,"R$242.038.461,00",,,476834_emissao_emissao_476834_2023-06-09.pdf
CRÉDITO UNIVERSITÁRIO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESPONSABILIDADE LIMITADA,08.417.544/0001-65,,31ª série,emissão,"R$1,00",,,479908_emissao_emissao_479908_2023-06-15.pdf
CRÉDITO UNIVERSITÁRIO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESPONSABILIDADE LIMITADA,08.417.544/0001-65,,3ª Série,evento de cota,R$ 14,"do pelo Coordenador Líder( conforme abaixod efinido). (B)e m relaçãoao item (ii) da ordem do dia, trata-sed ae missãod eC otas SubordinadasM ezaninoI-K, no valor de,n om ínimo,R $5 .000.000,00( cinco milhõesd er eais) e, no máximo,R $1 9.000.000,00 (dezenove milhõesd er eais), comp razo de 60 (sessenta)m eses,c ujaM eta de Remuneraçãos erác alculada nos termos do Suplemento de Cotas Subordinadas MezaninoI -K, com ba…","-Kp oderán ão seri mplementada,d esde queo bservada aR elação Mínima. Observado od ispostoa cima, aq uantidade finalea sobretaxa mezanino das CotasSubordinadas Mezanino I-K serão definidas em Procedimento de Bookbuilding.Nos termos do Regulamento, as CotasS ubordinadasM ezanino I-K se subordinarão,p ara efeitosd ee ventual amortização,r esgate ed istribuiçãod er endimentosd ac arteira do Fundo, às CotasS ubordinadas…",585596_assembleia_assembleia_585596_2024-01-15.pdf
CRÉDITO UNIVERSITÁRIO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESPONSABILIDADE LIMITADA,08.417.544/0001-65,,33ª Série,evento de cota,"R$ 50.000.000,00","ia para amortização de principal e, a partir do 13º (décimo terceiro) mês (inclusive), amortização de principal à razão de 1/48 (um sobre quarenta e oito avos) de principal a cada mês. O pagamento de juros ocorrerá mensalmente sem carência, desde a 1ª Data de Integralização de Cotas Seniores da 33ª Série; (v) Meta de Remuneração das Cotas Seniores da 33ª Série: as Cotas Seniores da 33ª Série serão valoradas diariame…","idade de Cotas Seniores da 33ª Série: a ser definid a de acordo com Procedimento de Bookbuilding, observada a quantidade mínima de 50.000.000 (cinquenta milhões) e a máxima de 200.000.000 (duzentos milhões) de Cotas Seniores da 33ª Série; (iii) Valor Unitário de Emissão: R$ 1,00 (um real); (iv) Prazo e Condições de Amortização das Cotas Seniores da 33ª Série: prazo de 60 (sessenta) meses a contar da primeira data de…",585597_assembleia_assembleia_585597_2024-01-15.pdf
CRÉDITO UNIVERSITÁRIO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESPONSABILIDADE LIMITADA,08.417.544/0001-65,,33ª SÉRIE,emissão,"R$ 225.000.000,00",,,587307_emissao_emissao_587307_2024-01-17.pdf
