grupo,fundo,nome_curto,cnpj,cnpj_digits,data_referencia,categoria,tipo_documento,especie,documento_id,status_cvm,downloaded_flag,source_file,arquivo_local_existe,source_registry,page_count
Mercado Crédito,Mercado Crédito Merchant Fundo de Investimento em Direitos Creditórios,Mercado Crédito Merchant FIDC,28.472.333/0001-32,28472333000132,23/10/2020,outro,Relatório de Agência de Rating,,157108,,,,False,reports/regulatory_document_inventory.csv,
Mercado Crédito,Mercado Crédito Merchant Fundo de Investimento em Direitos Creditórios,Mercado Crédito Merchant FIDC,28.472.333/0001-32,28472333000132,06/11/2020 11:00,assembleia,AGE,Ata da Assembleia,135822,,,data/raw/28472333000132/135822_assembleia_assembleia_135822_2020-11-06.pdf,True,reports/regulatory_document_inventory.csv,5.0
Mercado Crédito,Mercado Crédito Merchant Fundo de Investimento em Direitos Creditórios,Mercado Crédito Merchant FIDC,28.472.333/0001-32,28472333000132,16/11/2020,regulamento,Regulamento,,135821,,,data/raw/28472333000132/135821_regulamento_regulamento_135821_2020-11-16.pdf,True,reports/regulatory_document_inventory.csv,113.0
Mercado Crédito,Mercado Crédito Merchant Fundo de Investimento em Direitos Creditórios,Mercado Crédito Merchant FIDC,28.472.333/0001-32,28472333000132,12/2020,outro,Informe Trimestral,,146340,,,,False,reports/regulatory_document_inventory.csv,
Mercado Crédito,Mercado Crédito Merchant Fundo de Investimento em Direitos Creditórios,Mercado Crédito Merchant FIDC,28.472.333/0001-32,28472333000132,31/12/2020,outro,Relatório de Agência de Rating,,146344,,,,False,reports/regulatory_document_inventory.csv,
Mercado Crédito,Mercado Crédito Merchant Fundo de Investimento em Direitos Creditórios,Mercado Crédito Merchant FIDC,28.472.333/0001-32,28472333000132,31/12/2020,outro,Demonstrações Financeiras,,166929,,,,False,reports/regulatory_document_inventory.csv,
Mercado Crédito,Mercado Crédito Merchant Fundo de Investimento em Direitos Creditórios,Mercado Crédito Merchant FIDC,28.472.333/0001-32,28472333000132,15/02/2021,outro,Relatório de Agência de Rating,,157110,,,,False,reports/regulatory_document_inventory.csv,
Mercado Crédito,Mercado Crédito Merchant Fundo de Investimento em Direitos Creditórios,Mercado Crédito Merchant FIDC,28.472.333/0001-32,28472333000132,03/2021,outro,Informe Trimestral,,173096,,,,False,reports/regulatory_document_inventory.csv,
Mercado Crédito,Mercado Crédito Merchant Fundo de Investimento em Direitos Creditórios,Mercado Crédito Merchant FIDC,28.472.333/0001-32,28472333000132,03/2021,outro,Informe Trimestral,,173101,,,,False,reports/regulatory_document_inventory.csv,
Mercado Crédito,Mercado Crédito Merchant Fundo de Investimento em Direitos Creditórios,Mercado Crédito Merchant FIDC,28.472.333/0001-32,28472333000132,31/03/2021,outro,Relatório de Agência de Rating,,173098,,,,False,reports/regulatory_document_inventory.csv,
Mercado Crédito,Mercado Crédito Merchant Fundo de Investimento em Direitos Creditórios,Mercado Crédito Merchant FIDC,28.472.333/0001-32,28472333000132,06/2021,outro,Informe Trimestral,,205041,,,,False,reports/regulatory_document_inventory.csv,
Mercado Crédito,Mercado Crédito Merchant Fundo de Investimento em Direitos Creditórios,Mercado Crédito Merchant FIDC,28.472.333/0001-32,28472333000132,06/2021,outro,Informe Trimestral,,208366,,,,False,reports/regulatory_document_inventory.csv,
