CNPJ,FIDC,Subtipo funcional,Papel econômico do cedente,Tags,Menção BACEN/BCB,2024 Issuance,2025 Issuance,2026 YTD,Current PL,Classificação base,Evidência,Materialidade
62393679000183,TOP 2025 A FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS RESPONSABILIDADE LIMITADA,Adquirência / credenciadoras / IPs,Cedente econômico = estabelecimentos/lojistas,"arranjo/transações, estabelecimentos/usuários, credenciadora/adquirente, BACEN/BCB, plataforma/sistema",Sim,0.0,4200000000.0,5500000000.0,9962362111.91,Meios de Pagamento e Cartões | Arranjos de pagamento/adquirência,para fins da operacao da classe a: (a) o credito do emissor em face do usuario-final; (b) o credito da cloudwalk (na qualidade de credenciadora) em face do emissor; e (c) o credito do estabelecimento credenciado em face da cloudwalk (na qualidade de credenciadora); (iii) e,9962362111.91
60356171000180,CLOUDWALK PI FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS SEGMENTO MEIOS DE PAGAMENTO,Adquirência / credenciadoras / IPs,Cedente econômico = estabelecimentos/lojistas,"arranjo/transações, estabelecimentos/usuários, credenciadora/adquirente, BACEN/BCB, plataforma/sistema",Sim,0.0,3141592653.59,0.0,3254090127.14,Meios de Pagamento e Cartões | Arranjos de pagamento/adquirência,para fins da operacao da classe a: (a) o credito do emissor em face do usuario-final; (b) o credito da cloudwalk (na qualidade de credenciadora) em face do emissor; e (c) o credito do estabelecimento credenciado em face da cloudwalk (na qualidade de credenciadora); (iii) e,3254090127.14
50473039000102,SELLER FIDC SEGMENTO MEIOS DE PAGAMENTO DE RESPONSABILIDADE LIMITADA,Adquirência / credenciadoras / IPs,Cedente econômico = estabelecimentos/lojistas,"arranjo/transações, estabelecimentos/usuários, credenciadora/adquirente, instituição de pagamento, UR/registradora, chargeback/conta centralizadora, BACEN/BCB, plataforma/sistema",Sim,0.0,1500000000.0,0.0,3948312252.59,Meios de Pagamento e Cartões | Arranjos de pagamento/adquirência,"pagamento realizadas entre um estabelecimento comercial e um ou mais usuarios -finais atraves do mercado pago, na condicao de (i) credenciador no ambito de um arranjo de pagamento aberto; e (ii) na condicao de um instituidor de um arranjo de pagamento fechado que interope",3948312252.59
26286939000158,CIELO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,Arranjos de pagamento / UR,Cedente econômico = estabelecimentos/lojistas,"arranjo/transações, estabelecimentos/usuários",Não,0.0,1000000000.0,0.0,6361700170.71,Não classificado | Sem classificação,"c concentrado direitos creditorios de tempos em tempos detidos pelos estabelecimentos credenciados contra a cielo, originarios de transacoes de pagamento realizadas por usuarios-finais com a utilizacao de instrumentos de pagamento para a aquisicao de bens ou servicos nos estabelecim",6361700170.71
62627051000103,TOP 2025 E FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS RESPONSABILIDADE LIMITADA,Arranjos de pagamento / UR,Cedente econômico = estabelecimentos/lojistas,"arranjo/transações, estabelecimentos/usuários, chargeback/conta centralizadora, BACEN/BCB, plataforma/sistema",Sim,0.0,826750000.0,0.0,406442148.54,Agro | Agro,"r decisao judicial . os direitos creditorios cedidos sao oriundos do pagamento devido pelos devedores ao cedente, decorrentes das transacoes de pagamento realizadas no ambito dos arranjos de pagamento, envolvendo instrumentos de pagamento utilizados pelos usuarios -finais para a rea",826750000.0
60871638000120,MINERVA FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS II - CREDITO MERCANTIL RESP LIMITADA,Arranjos de pagamento / UR,"Papel funcional descrito, sem cedente nomeado","arranjo/transações, BACEN/BCB",Sim,0.0,720000000.0,0.0,829324658.38,Crédito PJ | Recebíveis comerciais/multissetorial,"cheques e outros titulos mercantis e os fundos de investimento em direitos creditorios que liquidem antecipadamente recebiveis de arranjos de pagamento, caso nao fossem classificados como entidades de investimento. estes fundos seriam contribuintes do ibs e da cbs. contudo, o disp",829324658.38
31739396000117,FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS LF III,Arranjos de pagamento / UR,Cedente econômico = estabelecimentos/lojistas,"arranjo/transações, estabelecimentos/usuários, chargeback/conta centralizadora",Não,365000000.0,600000000.0,0.0,1385100976.6,Não classificado | Sem classificação,"idc fidc pulverizado pulverizado direitos creditorios detidos pela cedente em face dos devedores, equivalentes ao valor total das transacoes de pagamento realizadas pelos usuarios com a utilizacao de instrumentos de pagamentos para a aquisicao de bens ou servicos nos estabelecimento",1385100976.6
61288838000117,IFOOD PAGO CRÉDITO III FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS FINANCEIRO RESP. LIMITADA,Adquirência / credenciadoras / IPs,Cedente/originador = credenciadora ou instituição de pagamento,"credenciadora/adquirente, BACEN/BCB",Sim,0.0,500000000.0,0.0,578611038.79,Crédito PJ | CCB/Notas comerciais/Capital de giro,"-aaebf9776f20 pagina 17 de 259 (h) valor dos direitos creditorios, segregado por direitos creditorios ccbs e direitos creditorios credenciadora, decomposto nas respectivas classificacoes de risco dos direitos creditorios; (i) valor presente dos direitos creditorios ate dat",578611038.79
61799604000134,GCB FORNECEDORES FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS COMERCIAIS RESPONSABILIDADE LIMITADA,Adquirência / credenciadoras / IPs,Cedente/originador = credenciadora ou instituição de pagamento,"arranjo/transações, credenciadora/adquirente, instituição de pagamento, BACEN/BCB, plataforma/sistema",Sim,0.0,454000000.0,160000000.0,781529724.39,Crédito PJ | Risco sacado/fornecedores,"uciante valores referentes aos direitos creditorios cartoes a receber, cujo processamento ja tenha sido concluido pela respectiva credenciadora e que estejam disponiveis para liquidacao em data futura. oliveira trust servicer s.a., instituicao financeira com sede na cidade",781529724.39
26722650000134,FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS VERDECARD,Bancos emissores / risco emissor,Cedente/risco = banco emissor ou instituição financeira,"arranjo/transações, banco emissor/cartão",Não,400000000.0,400000000.0,450000000.0,1768891324.78,Não classificado | Sem classificação,"dade do cedente verde, vinculados as contas de pagamento de direitos de credito cedidos, correspondentes as parcelas relativas as transacoes de pagamento a vista ou parcelado sem juros autorizadas pelo cedente verde aos devedores por meio do verdecard, identificadas pelos codigos ""c",1768891324.78
