grupo,fundo,nome_curto,cnpj,date,event,series_or_class,amount,amount_display,currency,remuneration,amortization_schedule,maturity,source_excerpt,source_document,source_document_id
Sellers,SELLER FIDC SEGMENTO MEIOS DE PAGAMENTO DE RESPONSABILIDADE LIMITADA,Seller FIDC,50.473.039/0001-02,,emissão,3ª SÉRIE,300000000.0,"R$300.000.000,00",R$,,,,"RJ-2375676v12 ANÚNCIO DE INÍCIO DA OFERTA PÚBLICA PRIMÁRIA DA PRIMEIRA EMISSÃO DE COTAS SENIORES DA 3ª SÉRIE E DE COTAS SENIORES DA 4ª SÉRIE DO SELLER FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS CNPJ n.º 50.473.039/0001-02 No montante de R$300.000.000,00 (trezentos milhões de reais) Registro da Oferta de Cotas Seniores da 3ª Série n.º CVM/SRE/AUT/FDC/PRI/2023/769, em 27 de novembro de 2023 Registro da Oferta de Co…",559856_emissao_emissao_559856_2023-11-27.pdf,559856
Sellers,SELLER FIDC SEGMENTO MEIOS DE PAGAMENTO DE RESPONSABILIDADE LIMITADA,Seller FIDC,50.473.039/0001-02,,evento de cota,,,,,,,,"Administradora 2. Convocação e Presença: Dispensada a convocação da assembleia geral de cotistas em virtude do comparecimento dos cotistas titulares da totalidade das Cotas emitidas do Fundo, conforme assinatura constante da Lista de Presença que integra o Anexo A à presente ata e na forma do §5°, do artigo 28, da Instrução da CVM n° 356, Instrução CVM 356/01do Artigo 13.7.4. do regulamento do Fundo Regulamento 3. M…",594378_assembleia_assembleia_594378_2023-12-19.pdf,594378
Sellers,SELLER FIDC SEGMENTO MEIOS DE PAGAMENTO DE RESPONSABILIDADE LIMITADA,Seller FIDC,50.473.039/0001-02,,evento de cota,,,,,"tará anexo a este Regulamento. “Anexo Normativo II” significa o anexo normativo II da Resolução CVM 175/22, conforme em vigor. “Apêndices” significam os apêndices integrantes do Anexo Descritivo, os quais descreverão as características , os direitos, assim como as condições de emissão, subscrição, integralização, remuneração e amortização de cada Subclasse de Cotas para a Classe Única do Fundo, e cujos Adendos dos A…","ste Regulamento. “Anexo Normativo II” significa o anexo normativo II da Resolução CVM 175/22, conforme em vigor. “Apêndices” significam os apêndices integrantes do Anexo Descritivo, os quais descreverão as características , os direitos, assim como as condições de emissão, subscrição, integralização, remuneração e amortização de cada Subclasse de Cotas para a Classe Única do Fundo, e cujos Adendos dos Apêndices descr…","as referências a quaisquer partes incluem seus sucessores, representantes e cessionários autorizados; e (f) salvo disposição em contrário, todos os prazos previstos neste Regulamento serão contados na forma prevista no artigo 224 do Código de Processo Civil, isto é, excluindo -se o dia do começo e incluindo-se o dia do vencimento. “Administradora” significa a OLIVEIRA TRUST DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁ…",MÔNIO ................................ ................. 10 3. CAPÍTULO TERCEIRO - POLÍTICA DE INVESTIMENTO E COMPOSIÇÃO DA CARTEIRA ................................ ................................ ................................ ................. 11 4. CAPÍTULO QUARTO - ADMINISTRAÇÃO E GESTÃO DO FUNDO ................. 11 5. CAPÍTULO QUINTO - CONTRATAÇÃO DE PRESTADORES DE SERVIÇO .... 18 6. CAPÍTULO SEXTO – SUBST…,790772_regulamento_regulamento_790772_2024-11-28.pdf,790772
Sellers,SELLER FIDC SEGMENTO MEIOS DE PAGAMENTO DE RESPONSABILIDADE LIMITADA,Seller FIDC,50.473.039/0001-02,,evento de cota,,,,,"tará anexo a este Regulamento. “Anexo Normativo II” significa o anexo normativo II da Resolução CVM 175/22, conforme em vigor. “Apêndices” significam os apêndices integrantes do Anexo Descritivo, os quais descreverão as características , os direitos, assim como as condições de emissão, subscrição, integralização, remuneração e amortização de cada Subclasse de Cotas para a Classe Única do Fundo, e cujos Adendos dos A…","ste Regulamento. “Anexo Normativo II” significa o anexo normativo II da Resolução CVM 175/22, conforme em vigor. “Apêndices” significam os apêndices integrantes do Anexo Descritivo, os quais descreverão as características , os direitos, assim como as condições de emissão, subscrição, integralização, remuneração e amortização de cada Subclasse de Cotas para a Classe Única do Fundo, e cujos Adendos dos Apêndices descr…","as referências a quaisquer partes incluem seus sucessores, representantes e cessionários autorizados; e (f) salvo disposição em contrário, todos os prazos previstos neste Regulamento serão contados na forma prevista no artigo 224 do Código de Processo Civil, isto é, excluindo -se o dia do começo e incluindo-se o dia do vencimento. “Administradora” significa a OLIVEIRA TRUST DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁ…",MÔNIO ................................ ................. 10 3. CAPÍTULO TERCEIRO - POLÍTICA DE INVESTIMENTO E COMPOSIÇÃO DA CARTEIRA ................................ ................................ ................................ ................. 11 4. CAPÍTULO QUARTO - ADMINISTRAÇÃO E GESTÃO DO FUNDO ................. 11 5. CAPÍTULO QUINTO - CONTRATAÇÃO DE PRESTADORES DE SERVIÇO .... 18 6. CAPÍTULO SEXTO – SUBST…,790777_regulamento_regulamento_790777_2024-11-28.pdf,790777
Sellers,SELLER FIDC SEGMENTO MEIOS DE PAGAMENTO DE RESPONSABILIDADE LIMITADA,Seller FIDC,50.473.039/0001-02,,evento de cota,Cotas Seniores da 5ª (quinta) Série,,,,"o da nova Série de Cotas Seniores e/ou Cotas Subordinadas Mezanino, de forma integral conforme previsto na Cláusula 4.3 acima.” (e) reduzir os valores de referência do Índice de Cobertura Sênior e do Índice de Cobertura Subordinado Mezanino que condicionam a aplicação da exceção ao pagamento da Comissão de Ajuste de Remuneração, conferindo à Cláusula 4.4.1. a seguinte redação: “4.4.1. A Comissão de Ajuste de Remuner…","ao presente instrumento, de modo a: (a) alterar o percentual da relação mínima a ser observada entre o valor das Cotas Subordinadas Juniores e o Patrimônio Líquido. Para tanto, serão promovidas as seguintes modificações: (1) unificação dos atuais conceitos de “Índice de Subordinação Base” e “Índice de Subordinação – Amortização”, passando a adotar-se exclusivamente o conceito de “Índice de Subordinação”, o qual corr…","uer indício de inconsistências no processo de pagamento antecipado das Dívidas aos Estabelecimentos Comerciais ou na verificação dos Documentos Comprobatórios de Direitos Creditórios Adquiridos nos termos da Cláusula 3.2.3 acima, ou, ainda, (b) verifique inadimplência dos Direitos Creditórios Adquiridos, não sanada no prazo de 2 (dois) Dias Úteis contados da notificação enviada pelo Fundo acerca do inadimplemento, o…","nexo descritivo do regulamento do Fundo (“ Anexo Descritivo” e “R egulamento”, respectivamente). 3. M esa: Presidente: Karen Candi; Secretário: Alan Russo Najman. 4. O rdem do Dia: Com base nos incisos (iii), (iv), (v), (xvi), (xviii) e (xx) do Artigo 14.1 do Anexo Descritivo , deliberar sobre (i) a alteração do Regulamento ; (ii) o adi tamento ao “Contrato de Promessa de Cessão e Aquisição de Direitos Creditórios d…",909546_assembleia_assembleia_909546_2025-05-19.pdf,909546
Sellers,SELLER FIDC SEGMENTO MEIOS DE PAGAMENTO DE RESPONSABILIDADE LIMITADA,Seller FIDC,50.473.039/0001-02,,evento de cota,,,,,"tará anexo a este Regulamento. “Anexo Normativo II” significa o anexo normativo II da Resolução CVM 175/22, conforme em vigor. “Apêndices” significam os apêndices integrantes do Anexo Descritivo, os quais descreverão as características , os direitos, assim como as condições de emissão, subscrição, integralização, remuneração e amortização de cada Subclasse de Cotas para a Classe Única do Fundo, e cujos Adendos dos A…","ste Regulamento. “Anexo Normativo II” significa o anexo normativo II da Resolução CVM 175/22, conforme em vigor. “Apêndices” significam os apêndices integrantes do Anexo Descritivo, os quais descreverão as características , os direitos, assim como as condições de emissão, subscrição, integralização, remuneração e amortização de cada Subclasse de Cotas para a Classe Única do Fundo, e cujos Adendos dos Apêndices descr…","as referências a quaisquer partes incluem seus sucessores, representantes e cessionários autorizados; e (f) salvo disposição em contrário, todos os prazos previstos neste Regulamento serão contados na forma prevista no artigo 224 do Código de Processo Civil, isto é, excluindo- se o dia do começo e incluindo-se o dia do vencimento. “Administradora” significa a OLIVEIRA TRUST DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁ…",PATRIMÔNIO ................................................. 10 3. CAPÍTULO TERCEIRO - POLÍTICA DE INVESTIMENTO E COMPOSIÇÃO D A CA RTEIRA ................................................................................................................. 11 4. CAPÍTULO QUARTO - ADMINISTRAÇÃO E GESTÃO DO FUNDO ................. 11 5. CAPÍTULO QUINTO - CONTRATAÇÃO DE PRESTADORES DE SERVIÇO .... 18 6. CAPÍTULO SEXTO – SU…,909547_regulamento_regulamento_909547_2025-05-19.pdf,909547
Sellers,SELLER FIDC SEGMENTO MEIOS DE PAGAMENTO DE RESPONSABILIDADE LIMITADA,Seller FIDC,50.473.039/0001-02,,emissão,COTAS SENIORES DO,1500000000.0,"R$ 1.500.000.000,00",R$,,,"ais alterações serão divulgadas na rede mundial de computadores da CVM e dos Coordenadores, nos termos do artigo 69 da Resolução CVM 160. 3 JUR_SP - 54606935v2 - 2154004.552458 (3) Nos termos do artigo 48 da Resolução CVM 160, a subscrição ou aquisição dos valores mobiliários objeto da Oferta deve ser realizada no prazo máximo de 180 (cento e oitenta) dias, contado da data de divulgação do anúncio de início de distr…","1 JUR_SP - 54606935v2 - 2154004.552458 AVISO AO MERCADO DA DISTRIBUIÇÃO PÚBLICA PRIMÁRIA DA TERCEIRA EMISSÃO DE COTAS SENIORES DO SELLER FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS SEGMENTO MEIOS DE PAGAMENTO DE RESPONSABILIDADE LIMITADA CNPJ n.º 50.473.039/0001-02 No montante total de R$ 1.500.000.000,00 (um bilhão e quinhentos milhões de reais) Classificação de risco da emissão (rating), em escala nacional, real…",911027_emissao_emissao_911027_2025-05-23.pdf,911027
Sellers,SELLER FIDC SEGMENTO MEIOS DE PAGAMENTO DE RESPONSABILIDADE LIMITADA,Seller FIDC,50.473.039/0001-02,,evento de cota,5ª Série,1500000000.0,"R$ 1.500.000.000,00",R$,"oradas diariamente, a partir do Dia Útil seguinte à primeira data da integralização das Cotas Seniores da 5ª Série até a Data de Docusign Envelope ID: 22FCC3D8-A71B-4537-B55B-9A9045A4349F 4 JUR_SP - 48595943v2 - 2154004.508546 Amortização Final, nos termos do Capítulo 10 do Anexo Descritivo do Regulamento. A meta de Remuneração será determinada por meio da apropriação diária, sob a forma de capitalização composta, c…","ão: R$ 1.000,00 (mil reais); Forma de Integralização: à vista na respectiva data de integralização e/ou conforme chamada de capital, nos termos dispostos no boletim de subscrição; Data de Emissão da 5ª (quinta) Série de Cotas Seniores: A data da primeira in tegralização da 5ª Série de Cotas Seniores. Data de Amortização Final: Data de Aniversário correspondente ao 36º (trigésimo sexto) mês (inclusive) a contar da Da…","a forma de seu estatuto social, na qualidade de instituição administradora (“ Administradora”) do SELLER FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS SEGMENTO MEIOS DE PAGAMENTO DE RESPONSABILIDADE LIMITADA (“Fundo”), inscrito no CNPJ/MF sob o nº 50.473.039/0001-02, constituído sob a forma de condomínio especial, com prazo de duração indeterminado, destinado preponderantemente à aplicação em Direitos Creditórios, n…","om prazo de duração indeterminado, destinado preponderantemente à aplicação em Direitos Creditórios, nos termos da Resolução do Conselho Monetári o Nacional nº 2.907, de 29 de novembro de 2001, conforme alterada, da Resolução da CVM nº 175, de 23 de dezembro 2022 ("" Resolução CVM 175""), do Anexo Normativo II da Resolução CVM 175 (“ Anexo Normativo II ”) e do regulamento do Fundo (“Regulamento”), RESOLVE a Administra…",912093_assembleia_assembleia_912093_2025-05-26.pdf,912093
Sellers,SELLER FIDC SEGMENTO MEIOS DE PAGAMENTO DE RESPONSABILIDADE LIMITADA,Seller FIDC,50.473.039/0001-02,,emissão,5ª SÉRIE,1500000000.0,"R$1.500.000.000,00",R$,,,"es serão divulgadas na rede mundial de computadores da CVM, do Coordenador Líder e do IBBA, nos termos do artigo 69 da Resolução CVM 160. 3 JUR_SP - 54534095v3 - 2154004.552458 (3) Nos termos do artigo 48 da Resolução CVM 160, a subscrição ou aquisição dos valores mobiliários objeto da Oferta deve ser realizada no prazo máximo de 180 (cento e oitenta) dias, contado da data de divulgação do anúncio de início de distr…","JUR_SP - 54534095v3 - 2154004.552458 ANÚNCIO DE INÍCIO DA OFERTA PÚBLICA PRIMÁRIA DA COTAS SENIORES DA 5ª SÉRIE, INTEGRANTES DA 3ª EMISSÃO DE COTAS, DO SELLER FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS SEGMENTO MEIOS DE PAGAMENTO DE RESPONSABILIDADE LIMITADA CNPJ n.º 50.473.039/0001-02 No montante de R$1.500.000.000,00 (um bilhão e quinhentos milhões de reais) Registro da Oferta de Cotas Seniores da 5ª Série n.º…",912172_emissao_emissao_912172_2025-05-28.pdf,912172
Sellers,SELLER FIDC SEGMENTO MEIOS DE PAGAMENTO DE RESPONSABILIDADE LIMITADA,Seller FIDC,50.473.039/0001-02,,emissão,5ª SÉRIE,1000.0,"R$1.000,00",R$,,,,"JUR_SP - 54534094v4 - 2154004.552458 ""Este anúncio é de caráter exclusivamente informativo, não se tratando de oferta de venda de valores mobiliários."" ANÚNCIO DE ENCERRAMENTO DA DISTRIBUIÇÃO PÚBLICA PRIMÁRIA DE COTAS SENIORES DA 5ª SÉRIE, INTEGRANTES DA 3ª EMISSÃO DE COTAS, DO SELLER FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS SEGMENTO MEIOS DE PAGAMENTO DE RESPONSABILIDADE LIMITADA CNPJ n.º 50.473.039/0001-02 Re…",932137_emissao_emissao_932137_2025-06-04.pdf,932137
