Fundo,CNPJ,Data,Classe/Série,Tipo,Qtd cotas,Preço/VNU,Volume identificado (R$ mm),Remuneração-alvo,Amortização/vencimento,Fonte
VALOREM MULTISETORIAL,17.468.142/0001-80,23/11/2020,COTAS SUBORDINADAS,Subordinada,—,—,"45,0",—,—,129753_assembleia_assembleia_129753_2020-11-23.pdf · ID 129753 · 23/11/2020 10:00
VALOREM MULTISETORIAL,17.468.142/0001-80,22/12/2020,9ª Série,—,—,—,"20,0",—,—,136580_assembleia_assembleia_136580_2020-12-22.pdf · ID 136580 · 22/12/2020 14:00
VALOREM MULTISETORIAL,17.468.142/0001-80,15/04/2021,Classe Mezanino II,Mezanino,—,—,"45,0",—,—,167099_assembleia_assembleia_167099_2021-04-15.pdf · ID 167099 · 15/04/2021 14:00
VALOREM MULTISETORIAL,17.468.142/0001-80,04/05/2021,9ª Série,—,—,—,"7,0",—,—,174252_assembleia_assembleia_174252_2021-05-04.pdf · ID 174252 · 04/05/2021 11:00
VALOREM MULTISETORIAL,17.468.142/0001-80,19/05/2021,Cotas Subordinadas Mezaninos VI e Subordinadas Juniores,Mezanino,—,—,"20,0",—,—,181138_assembleia_assembleia_181138_2021-05-19.pdf · ID 181138 · 19/05/2021 14:00
VALOREM MULTISETORIAL,17.468.142/0001-80,21/05/2021,12ª Série,—,—,—,"15,0","DI + 4,50%",—,180808_assembleia_assembleia_180808_2021-05-21.pdf · ID 180808 · 21/05/2021 11:00
VALOREM MULTISETORIAL,17.468.142/0001-80,18/06/2021,6ª Série,—,—,—,"20,0","CDI + 4,5%",—,189435_assembleia_assembleia_189435_2021-06-18.pdf · ID 189435 · 18/06/2021 14:00
VALOREM MULTISETORIAL,17.468.142/0001-80,29/07/2021,Cotas Subordinadas Juniores,Subordinada,—,—,"10,0",—,—,199825_assembleia_assembleia_199825_2021-07-29.pdf · ID 199825 · 29/07/2021 14:00
VALOREM MULTISETORIAL,17.468.142/0001-80,03/11/2021,Classe/série não identificada,—,—,—,"20,0",—,—,232196_assembleia_assembleia_232196_2021-11-03.pdf · ID 232196 · 03/11/2021 15:00
VALOREM MULTISETORIAL,17.468.142/0001-80,03/11/2021,Cotas Subordinadas Mezaninos VIII do Valorem Fundo de Fundodas nos t,Mezanino,—,—,"10,0",—,—,231169_assembleia_assembleia_231169_2021-11-03.pdf · ID 231169 · 03/11/2021 14:00
VALOREM MULTISETORIAL,17.468.142/0001-80,11/11/2021,13ª Série,—,—,—,"20,0","DI + 5,5%",—,238921_assembleia_assembleia_238921_2021-11-11.pdf · ID 238921 · 11/11/2021 11:00
VALOREM MULTISETORIAL,17.468.142/0001-80,19/11/2021,Cotas Subordinadas Mezaninos V,Mezanino,—,—,"45,0",—,—,240665_assembleia_assembleia_240665_2021-11-19.pdf · ID 240665 · 19/11/2021 14:00
VALOREM MULTISETORIAL,17.468.142/0001-80,22/11/2021,Cotas Mezaninos VI do Fundo,Mezanino,—,—,"20,0",—,—,240905_assembleia_assembleia_240905_2021-11-22.pdf · ID 240905 · 22/11/2021 14:00
VALOREM MULTISETORIAL,17.468.142/0001-80,25/11/2021,12ª Série,—,—,—,"15,0","DI + 4,50%",—,242435_assembleia_assembleia_242435_2021-11-25.pdf · ID 242435 · 25/11/2021 11:00
VALOREM MULTISETORIAL,17.468.142/0001-80,25/11/2021,1ª Série,—,—,—,"10,0","DI + 4,5% a.a.",—,242430_assembleia_assembleia_242430_2021-11-25.pdf · ID 242430 · 25/11/2021 14:00
VALOREM MULTISETORIAL,17.468.142/0001-80,10/01/2022,Cotas Subordinadas Junioresemitidas pelo Fundo,Subordinada,—,—,"30,0","DI + 4,5%",—,259134_assembleia_assembleia_259134_2022-01-10.pdf · ID 259134 · 10/01/2022 15:00
VALOREM MULTISETORIAL,17.468.142/0001-80,18/01/2022,6ª Série,—,—,—,"20,0",—,—,260531_assembleia_assembleia_260531_2022-01-18.pdf · ID 260531 · 18/01/2022 15:00
