Fundo,CNPJ,Data,Classe/Série,Tipo,Qtd cotas,Preço/VNU,Volume identificado (R$ mm),Remuneração-alvo,Amortização/vencimento,Fonte
SB CRÉDITO MULTISSETORIAL DE CLASSE,23.956.882/0001-69,26/04/2021,Classe/série não identificada,—,—,—,—,DI + 9% a.a.,—,170614_regulamento_regulamento_170614_2021-04-26.pdf · ID 170614 · 26/04/2021
SB CRÉDITO MULTISSETORIAL DE CLASSE,23.956.882/0001-69,26/04/2021,cotas seniores de emissão do Fundo (“Cotas,Sênior,—,—,—,—,—,170613_assembleia_assembleia_170613_2021-04-26.pdf · ID 170613 · 26/04/2021 15:00
SB CRÉDITO MULTISSETORIAL DE CLASSE,23.956.882/0001-69,07/05/2021,5ª Série,—,—,—,"240,0","DI + 4,50% a.a.",—,171839_emissao_emissao_171839_2021-05-07.pdf · ID 171839 · 07/05/2021
SB CRÉDITO MULTISSETORIAL DE CLASSE,23.956.882/0001-69,21/05/2021,3ª SÉRIE,—,—,—,—,DI + 4% a.a.,—,178737_emissao_emissao_178737_2021-05-21.pdf · ID 178737 · 21/05/2021
SB CRÉDITO MULTISSETORIAL DE CLASSE,23.956.882/0001-69,26/05/2021,Classe/série não identificada,—,—,—,—,DI + 9% a.a.,—,179380_regulamento_regulamento_179380_2021-05-26.pdf · ID 179380 · 26/05/2021
SB CRÉDITO MULTISSETORIAL DE CLASSE,23.956.882/0001-69,27/05/2021,5ª SÉRIE,—,—,—,"240,0","DI + 4,50% a.a.",—,179696_emissao_emissao_179696_2021-05-27.pdf · ID 179696 · 27/05/2021
SB CRÉDITO MULTISSETORIAL DE CLASSE,23.956.882/0001-69,28/06/2021,5ª série,—,—,—,"240,0","DI + 4,50% a.a.",—,189074_regulamento_regulamento_189074_2021-06-28.pdf · ID 189074 · 28/06/2021
SB CRÉDITO MULTISSETORIAL DE CLASSE,23.956.882/0001-69,28/06/2021,Classe/série não identificada,—,—,—,—,DI + 9% a.a.,—,189075_regulamento_regulamento_189075_2021-06-28.pdf · ID 189075 · 28/06/2021
SB CRÉDITO MULTISSETORIAL DE CLASSE,23.956.882/0001-69,22/10/2021,6ª Série,—,—,—,"60,0","DI + 3,75% a.a.",—,229123_emissao_emissao_229123_2021-10-22.pdf · ID 229123 · 22/10/2021
SB CRÉDITO MULTISSETORIAL DE CLASSE,23.956.882/0001-69,12/11/2021,Classe/série não identificada,—,—,—,"60,0","DI + 3,75% a.a.",—,234793_regulamento_regulamento_234793_2021-11-12.pdf · ID 234793 · 12/11/2021
SB CRÉDITO MULTISSETORIAL DE CLASSE,23.956.882/0001-69,29/11/2021,7ª série,—,—,—,"20,0","DI + 3,75% a.a.",—,434919_emissao_emissao_434919_2021-11-29.pdf · ID 434919 · 29/11/2021
SB CRÉDITO MULTISSETORIAL DE CLASSE,23.956.882/0001-69,20/04/2022,8ª Série,—,—,—,"200,0","DI + 4,00% a.a.",—,292522_emissao_emissao_292522_2022-04-20.pdf · ID 292522 · 20/04/2022
SB CRÉDITO MULTISSETORIAL DE CLASSE,23.956.882/0001-69,04/05/2022,8ª série,—,—,—,"200,0","DI + 4,00% a.a.",—,298424_emissao_emissao_298424_2022-05-04.pdf · ID 298424 · 04/05/2022
SB CRÉDITO MULTISSETORIAL DE CLASSE,23.956.882/0001-69,06/05/2022,cotas seniores do Fundo,Sênior,—,—,—,—,—,301614_assembleia_assembleia_301614_2022-05-06.pdf · ID 301614 · 06/05/2022 10:00
SB CRÉDITO MULTISSETORIAL DE CLASSE,23.956.882/0001-69,02/06/2022,Cotas Subordinadas,Subordinada,—,—,"45,0","DI + 6,50% a.a.",—,311373_emissao_emissao_311373_2022-06-02.pdf · ID 311373 · 02/06/2022
SB CRÉDITO MULTISSETORIAL DE CLASSE,23.956.882/0001-69,08/11/2022,Classe/série não identificada,—,—,—,—,DI + 9% a.a.,—,376263_regulamento_regulamento_376263_2022-11-08.pdf · ID 376263 · 08/11/2022
SB CRÉDITO MULTISSETORIAL DE CLASSE,23.956.882/0001-69,29/11/2022,Classe/série não identificada,—,—,—,—,DI + 9% a.a.,—,385065_regulamento_regulamento_385065_2022-11-29.pdf · ID 385065 · 29/11/2022
SB CRÉDITO MULTISSETORIAL DE CLASSE,23.956.882/0001-69,02/01/2023,9ª Série,—,—,—,"100,0","DI + 3,75%",—,397449_emissao_emissao_397449_2023-01-02.pdf · ID 397449 · 02/01/2023
SB CRÉDITO MULTISSETORIAL DE CLASSE,23.956.882/0001-69,16/01/2023,Cotas Seniores 9 e Cotas Subordinadas,Sênior,—,—,"100,0","DI + 3,75%",—,402252_emissao_emissao_402252_2023-01-16.pdf · ID 402252 · 16/01/2023
SB CRÉDITO MULTISSETORIAL DE CLASSE,23.956.882/0001-69,18/01/2023,Classe/série não identificada,—,—,—,—,DI + 9% a.a.,—,403924_regulamento_regulamento_403924_2023-01-18.pdf · ID 403924 · 18/01/2023
SB CRÉDITO MULTISSETORIAL DE CLASSE,23.956.882/0001-69,27/01/2023,Classe/série não identificada,—,—,—,—,DI + 9% a.a.,—,406701_regulamento_regulamento_406701_2023-01-27.pdf · ID 406701 · 27/01/2023
SB CRÉDITO MULTISSETORIAL DE CLASSE,23.956.882/0001-69,07/02/2023,9ª série,—,—,—,"100,0","DI + 3,60% a.a.",—,411750_emissao_emissao_411750_2023-02-07.pdf · ID 411750 · 07/02/2023
SB CRÉDITO MULTISSETORIAL DE CLASSE,23.956.882/0001-69,07/02/2023,COTAS SENIORES DA 9ª (NONA) SÉRIE,Sênior,—,—,"100,0",—,—,411372_emissao_emissao_411372_2023-02-07.pdf · ID 411372 · 07/02/2023
SB CRÉDITO MULTISSETORIAL DE CLASSE,23.956.882/0001-69,23/05/2023,Classe/série não identificada,—,—,—,—,DI + 9% a.a.,—,468341_regulamento_regulamento_468341_2023-05-23.pdf · ID 468341 · 23/05/2023
SB CRÉDITO MULTISSETORIAL DE CLASSE,23.956.882/0001-69,16/06/2023,cotas seniores da 9ª (nona) série,Sênior,—,—,"70,0",—,—,480997_emissao_emissao_480997_2023-06-16.pdf · ID 480997 · 16/06/2023
SB CRÉDITO MULTISSETORIAL DE CLASSE,23.956.882/0001-69,29/06/2023,cotas seniores da 9ª (nona) série,Sênior,—,—,"70,0",—,—,484898_emissao_emissao_484898_2023-06-29.pdf · ID 484898 · 29/06/2023
SB CRÉDITO MULTISSETORIAL DE CLASSE,23.956.882/0001-69,07/07/2023,Cotas Seniores em circulação com,Sênior,—,—,"100,0",—,—,484072_assembleia_assembleia_484072_2023-07-07.pdf · ID 484072 · 07/07/2023 11:00
SB CRÉDITO MULTISSETORIAL DE CLASSE,23.956.882/0001-69,07/07/2023,Cotas Seniores em circulação com prazo de,Sênior,—,—,"100,0",—,—,486501_assembleia_assembleia_486501_2023-07-07.pdf · ID 486501 · 07/07/2023 11:00
SB CRÉDITO MULTISSETORIAL DE CLASSE,23.956.882/0001-69,07/07/2023,Cotas Seniores em circulação com prazo de vencimento mais próxim,Sênior,—,—,"100,0",—,—,484067_assembleia_assembleia_484067_2023-07-07.pdf · ID 484067 · 07/07/2023 11:00
SB CRÉDITO MULTISSETORIAL DE CLASSE,23.956.882/0001-69,21/07/2023,Cotas Seniores em circulação com,Sênior,—,—,"100,0",—,—,507298_assembleia_assembleia_507298_2023-07-21.pdf · ID 507298 · 21/07/2023 11:00
SB CRÉDITO MULTISSETORIAL DE CLASSE,23.956.882/0001-69,21/07/2023,Cotas Seniores em circulação com prazo de vencimento mais próxim,Sênior,—,—,"100,0",—,—,503460_assembleia_assembleia_503460_2023-07-21.pdf · ID 503460 · 21/07/2023 11:00
SB CRÉDITO MULTISSETORIAL DE CLASSE,23.956.882/0001-69,28/09/2023,9ª Série,—,—,—,"5,0",—,—,528452_emissao_emissao_528452_2023-09-28.pdf · ID 528452 · 28/09/2023
SB CRÉDITO MULTISSETORIAL DE CLASSE,23.956.882/0001-69,10/11/2023,9ª Série,—,—,—,"15,0",—,—,559940_regulamento_regulamento_559940_2023-11-10.pdf · ID 559940 · 10/11/2023
SB CRÉDITO MULTISSETORIAL DE CLASSE,23.956.882/0001-69,30/11/2023,10ª série,—,—,—,"15,0",—,—,566607_emissao_emissao_566607_2023-11-30.pdf · ID 566607 · 30/11/2023
SB CRÉDITO MULTISSETORIAL DE CLASSE,23.956.882/0001-69,03/01/2024,COTAS SENIORES DO SB,Sênior,—,—,"15,0","DI + 3,75%",—,580762_regulamento_regulamento_580762_2024-01-03.pdf · ID 580762 · 03/01/2024
SB CRÉDITO MULTISSETORIAL DE CLASSE,23.956.882/0001-69,23/01/2024,Cotas Subordinadas Juniores do F undo,Subordinada,—,—,"10,0",—,—,590038_emissao_emissao_590038_2024-01-23.pdf · ID 590038 · 23/01/2024
SB CRÉDITO MULTISSETORIAL DE CLASSE,23.956.882/0001-69,03/05/2024,Classe/série não identificada,—,—,—,"230,0",—,—,656899_assembleia_assembleia_656899_2024-05-03.pdf · ID 656899 · 03/05/2024 09:00
