Nome,SB CRÉDITO MULTISSETORIAL DE CLASSE
Grupo,sb crédito
CNPJ,23.956.882/0001-69
Páginas locais analisadas,2670
Última competência IME,—
PL (R$ mm),—
Direitos creditórios / PL,—
Vencidos Over 30d / crédito,—
Vencidos Over 60d / crédito,—
Vencidos Over 90d / crédito,—
Vencidos Over 180d / crédito,—
Vencidos Over 360d / crédito,—
PDD / crédito,—
PDD / vencidos,—
Cotas sênior / PL,—
Cotas mezanino / PL,—
Cotas subordinadas / PL,—
Séries/classes emitidas identificadas,30
Volume emitido identificado (R$ mm),6.222
Primeira emissão identificada,26/04/2021
Última emissão identificada,24/04/2026
