grupo,fundo,nome_curto,cnpj,cnpj_digits,data_referencia,categoria,tipo_documento,especie,documento_id,source_file,arquivo_local_existe,page_count,fonte_cobertura
Sellers,SELLER FIDC SEGMENTO MEIOS DE PAGAMENTO DE RESPONSABILIDADE LIMITADA,Seller FIDC,50.473.039/0001-02,50473039000102,05/05/2023,regulamento,Regulamento,,467929,data/raw/50473039000102/467929_regulamento_regulamento_467929_2023-05-05.pdf,True,130.0,PDF local
Sellers,SELLER FIDC SEGMENTO MEIOS DE PAGAMENTO DE RESPONSABILIDADE LIMITADA,Seller FIDC,50.473.039/0001-02,50473039000102,05/05/2023,regulamento,Instrumento Particular de Alteração do Regulamento,,467930,data/raw/50473039000102/467930_regulamento_regulamento_467930_2023-05-05.pdf,True,3.0,PDF local
Sellers,SELLER FIDC SEGMENTO MEIOS DE PAGAMENTO DE RESPONSABILIDADE LIMITADA,Seller FIDC,50.473.039/0001-02,50473039000102,22/05/2023 10:00,assembleia,AGE,Ata da Assembleia,468755,data/raw/50473039000102/468755_assembleia_assembleia_468755_2023-05-22.pdf,True,3.0,PDF local
Sellers,SELLER FIDC SEGMENTO MEIOS DE PAGAMENTO DE RESPONSABILIDADE LIMITADA,Seller FIDC,50.473.039/0001-02,50473039000102,22/05/2023,regulamento,Regulamento,,468756,data/raw/50473039000102/468756_regulamento_regulamento_468756_2023-05-22.pdf,True,111.0,PDF local
Sellers,SELLER FIDC SEGMENTO MEIOS DE PAGAMENTO DE RESPONSABILIDADE LIMITADA,Seller FIDC,50.473.039/0001-02,50473039000102,24/05/2023,emissao,Anúncio de Início,,468767,data/raw/50473039000102/468767_emissao_emissao_468767_2023-05-24.pdf,True,3.0,PDF local
Sellers,SELLER FIDC SEGMENTO MEIOS DE PAGAMENTO DE RESPONSABILIDADE LIMITADA,Seller FIDC,50.473.039/0001-02,50473039000102,29/05/2023 10:00,assembleia,AGE,Ata da Assembleia,471084,data/raw/50473039000102/471084_assembleia_assembleia_471084_2023-05-29.pdf,True,2.0,PDF local
Sellers,SELLER FIDC SEGMENTO MEIOS DE PAGAMENTO DE RESPONSABILIDADE LIMITADA,Seller FIDC,50.473.039/0001-02,50473039000102,29/05/2023,regulamento,Regulamento,,471085,data/raw/50473039000102/471085_regulamento_regulamento_471085_2023-05-29.pdf,True,112.0,PDF local
Sellers,SELLER FIDC SEGMENTO MEIOS DE PAGAMENTO DE RESPONSABILIDADE LIMITADA,Seller FIDC,50.473.039/0001-02,50473039000102,30/05/2023,emissao,Aviso ao Mercado,,471622,data/raw/50473039000102/471622_emissao_emissao_471622_2023-05-30.pdf,True,3.0,PDF local
Sellers,SELLER FIDC SEGMENTO MEIOS DE PAGAMENTO DE RESPONSABILIDADE LIMITADA,Seller FIDC,50.473.039/0001-02,50473039000102,06/2023,outro,Informe Trimestral,,507608,,False,,Inventário sem PDF local
Sellers,SELLER FIDC SEGMENTO MEIOS DE PAGAMENTO DE RESPONSABILIDADE LIMITADA,Seller FIDC,50.473.039/0001-02,50473039000102,09/2023,outro,Informe Trimestral,,552582,,False,,Inventário sem PDF local
Sellers,SELLER FIDC SEGMENTO MEIOS DE PAGAMENTO DE RESPONSABILIDADE LIMITADA,Seller FIDC,50.473.039/0001-02,50473039000102,09/2023,outro,Informe Trimestral,,553928,,False,,Inventário sem PDF local
Sellers,SELLER FIDC SEGMENTO MEIOS DE PAGAMENTO DE RESPONSABILIDADE LIMITADA,Seller FIDC,50.473.039/0001-02,50473039000102,23/11/2023,emissao,Aviso ao Mercado,,558430,data/raw/50473039000102/558430_emissao_emissao_558430_2023-11-23.pdf,True,3.0,PDF local
Sellers,SELLER FIDC SEGMENTO MEIOS DE PAGAMENTO DE RESPONSABILIDADE LIMITADA,Seller FIDC,50.473.039/0001-02,50473039000102,23/11/2023 14:00,assembleia,AGE,Ata da Assembleia,558803,data/raw/50473039000102/558803_assembleia_assembleia_558803_2023-11-23.pdf,True,6.0,PDF local
Sellers,SELLER FIDC SEGMENTO MEIOS DE PAGAMENTO DE RESPONSABILIDADE LIMITADA,Seller FIDC,50.473.039/0001-02,50473039000102,23/11/2023,regulamento,Regulamento,,558844,data/raw/50473039000102/558844_regulamento_regulamento_558844_2023-11-23.pdf,True,111.0,PDF local
Sellers,SELLER FIDC SEGMENTO MEIOS DE PAGAMENTO DE RESPONSABILIDADE LIMITADA,Seller FIDC,50.473.039/0001-02,50473039000102,27/11/2023,emissao,Anúncio de Início,,559856,data/raw/50473039000102/559856_emissao_emissao_559856_2023-11-27.pdf,True,3.0,PDF local
Sellers,SELLER FIDC SEGMENTO MEIOS DE PAGAMENTO DE RESPONSABILIDADE LIMITADA,Seller FIDC,50.473.039/0001-02,50473039000102,12/2023,outro,Informe Trimestral,,602416,,False,,Inventário sem PDF local
Sellers,SELLER FIDC SEGMENTO MEIOS DE PAGAMENTO DE RESPONSABILIDADE LIMITADA,Seller FIDC,50.473.039/0001-02,50473039000102,19/12/2023 09:00,assembleia,AGE,Ata da Assembleia,594378,data/raw/50473039000102/594378_assembleia_assembleia_594378_2023-12-19.pdf,True,2.0,PDF local
Sellers,SELLER FIDC SEGMENTO MEIOS DE PAGAMENTO DE RESPONSABILIDADE LIMITADA,Seller FIDC,50.473.039/0001-02,50473039000102,07/02/2024,outro,Relatório de Agência de Rating,,603641,,False,,Inventário sem PDF local
