data,tranche,classe_serie,risco_accruado_inicial_mm,percentual_documental,amortizacao_vencimento_mm,saldo_bba_antes_mm,saldo_bba_apos_mm,cor_serie,base,fonte,diligencia
15/09/2026,Itaú BBA 23/11/2023,Sênior 3ª série,150.5,,150.5,912.5,762.0,#EC7000,Risco accruado do insumo BBA; vencimento não confirmado nos PDFs locais,558803 pp.4-5; 559856 pp.1-2; insumo fixo Itaú BBA,Suplemento da série não disponível localmente.
15/12/2027,Itaú BBA 26/05/2025,Sênior 5ª série,762.0,16.67,127.03,762.0,634.97,#EC7000,"Risco accruado R$ 762,0 mm cascateado pelos percentuais documentais de amortização",912093 pp.3-5; insumo fixo Itaú BBA,Data final documental 15/05/2028 diverge do vencimento BBA 26/05/2028.
15/01/2028,Itaú BBA 26/05/2025,Sênior 5ª série,762.0,20.0,126.99,634.97,507.98,#EC7000,"Risco accruado R$ 762,0 mm cascateado pelos percentuais documentais de amortização",912093 pp.3-5; insumo fixo Itaú BBA,Data final documental 15/05/2028 diverge do vencimento BBA 26/05/2028.
15/02/2028,Itaú BBA 26/05/2025,Sênior 5ª série,762.0,25.0,126.99,507.98,380.98,#EC7000,"Risco accruado R$ 762,0 mm cascateado pelos percentuais documentais de amortização",912093 pp.3-5; insumo fixo Itaú BBA,Data final documental 15/05/2028 diverge do vencimento BBA 26/05/2028.
15/03/2028,Itaú BBA 26/05/2025,Sênior 5ª série,762.0,33.33,126.98,380.98,254.0,#EC7000,"Risco accruado R$ 762,0 mm cascateado pelos percentuais documentais de amortização",912093 pp.3-5; insumo fixo Itaú BBA,Data final documental 15/05/2028 diverge do vencimento BBA 26/05/2028.
15/04/2028,Itaú BBA 26/05/2025,Sênior 5ª série,762.0,50.0,127.0,254.0,127.0,#EC7000,"Risco accruado R$ 762,0 mm cascateado pelos percentuais documentais de amortização",912093 pp.3-5; insumo fixo Itaú BBA,Data final documental 15/05/2028 diverge do vencimento BBA 26/05/2028.
15/05/2028,Itaú BBA 26/05/2025,Sênior 5ª série,762.0,100.0,127.0,127.0,0.0,#EC7000,"Risco accruado R$ 762,0 mm cascateado pelos percentuais documentais de amortização",912093 pp.3-5; insumo fixo Itaú BBA,Data final documental 15/05/2028 diverge do vencimento BBA 26/05/2028.
