rank_pl_fundo,cnpj_fundo_raw,fundo,pl_fundo_reais,pl_fundo_pct_industria_origem,pl_acumulado_pct_origem,cedentes_declarados_fundo,administrador,cnpj_fundo,pl_negativo_flag,cedente_declarado_flag,pl_com_cedente_reais,pl_sem_cedente_reais,pl_total_acumulado_reais,pl_total_acumulado_pct,fundos_com_cedente_acumulado,fundos_sem_cedente_acumulado,pl_com_cedente_acumulado_reais,pl_sem_cedente_acumulado_reais,pl_com_cedente_acumulado_pct_industria,pl_sem_cedente_acumulado_pct_industria,pl_com_cedente_pct_dentro_corte,dentro_corte_recomendado_flag,corte_recomendado_flag,marco_cobertura
11,26.286.939/0001-58,CIELO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,6479950762.42,0.00648496857312,0.18701648341,1,BEM - DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA.,26286939000158,False,True,6479950762.42,0,186871777494.98,0.18701648341,4,7,85096763995.11,101775013499.87,0.0851626594731,0.101853823937,0.455375151539,True,False,
12,53.216.449/0001-58,RIO VERMELHO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO PADRONIZADO,6390451812.87,0.00639540031921,0.193411883729,0,CBSF DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.,53216449000158,False,False,0,6390451812.87,193262229307.85,0.193411883729,4,8,85096763995.11,108165465312.74,0.0851626594731,0.108249224256,0.440317615604,True,False,
13,28.169.275/0001-72,FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS PAGSEGURO I,6234652185.61,0.00623948004705,0.199651363776,0,GENIAL INVESTIMENTOS CORRETORA DE VALORES MOBILIÁRIOS S.A.,28169275000172,False,False,0,6234652185.61,199496881493.46,0.199651363776,4,9,85096763995.11,114400117498.35,0.0851626594731,0.114488704303,0.426556863235,True,False,
14,50.906.397/0001-53,BTG PACTUAL CONSIGNADOS FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,6007175688.48,0.00601182740136,0.205663191178,0,BTG PACTUAL SERVIÇOS FINANCEIROS S/A DTVM,50906397000153,False,False,0,6007175688.48,205504057181.94,0.205663191178,4,10,85096763995.11,120407293186.83,0.0851626594731,0.120500531705,0.414087999828,True,False,
15,29.225.241/0001-10,FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS ALTERNATIVE ASSETS III RESPONSABILIDADE LIMITADA,5861437942.62,0.00586597680211,0.21152916798,4,BTG PACTUAL SERVIÇOS FINANCEIROS S/A DTVM,29225241000110,False,True,5861437942.62,0,211365495124.56,0.21152916798,5,10,90958201937.73,120407293186.83,0.0910286362752,0.120500531705,0.430336095701,True,False,
16,42.922.136/0001-07,FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS MONEE I DE RESPONSABILIDADE LIMITADA,5751418460.99,0.00575587212586,0.217285040106,3,QI CORRETORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.,42922136000107,False,True,5751418460.99,0,217116913585.55,0.217285040106,6,10,96709620398.72,120407293186.83,0.096784508401,0.120500531705,0.445426470014,True,False,
17,32.527.650/0001-86,FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS PICPAY I,4762640671.11,0.00476632866662,0.222051368772,1,GENIAL INVESTIMENTOS CORRETORA DE VALORES MOBILIÁRIOS S.A.,32527650000186,False,True,4762640671.11,0,221879554256.66,0.222051368772,7,10,101472261069.83,120407293186.83,0.101550837068,0.120500531705,0.457330380935,True,False,
18,30.576.260/0001-70,ARTESANAL MASTER FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,4520325687.36,0.00452382604399,0.226575194816,0,BANCO GENIAL S.A.,30576260000170,False,False,0,4520325687.36,226399879944.02,0.226575194816,7,11,101472261069.83,124927618874.19,0.101550837068,0.125024357748,0.448199270666,True,False,
19,61.285.603/0001-71,MAROBÁ FUNDO DE INVESTMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA,4467343585.25,0.00447080291469,0.231045997731,0,INTRAG DTVM LTDA.,61285603000171,False,False,0,4467343585.25,230867223529.27,0.231045997731,7,12,101472261069.83,129394962459.44,0.101550837068,0.129495160663,0.439526492841,True,False,
20,21.126.275/0001-46,VENDA DE VEÍCULOS FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,4242510733.60,0.00424579596161,0.235291793692,2,S3 CACEIS BRASIL DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS S.A,21126275000146,False,True,4242510733.60,0,235109734262.87,0.235291793692,8,12,105714771803.43,129394962459.44,0.105796633029,0.129495160663,0.449640131383,True,False,
