Fundo,CNPJ,Data,Classe/Série,Tipo,Qtd cotas,Preço/VNU,Volume identificado (R$ mm),Remuneração-alvo,Amortização/vencimento,Fonte
FORNECEDORES MADEIRA MADEIRA I,38.658.727/0001-33,09/02/2021,Cotas Seniores do Fundo,Sênior,—,—,"110,0","DI + 4,2500% a.a.",—,146017_regulamento_regulamento_146017_2021-02-09.pdf · ID 146017 · 09/02/2021
FORNECEDORES MADEIRA MADEIRA I,38.658.727/0001-33,22/02/2021,Cotas Seniores do Fundo,Sênior,—,—,"110,0","DI + 4,2500% a.a.",—,150363_regulamento_regulamento_150363_2021-02-22.pdf · ID 150363 · 22/02/2021
FORNECEDORES MADEIRA MADEIRA I,38.658.727/0001-33,05/05/2023,cotas seniores do Fundo no montante de,Sênior,—,—,"110,0","DI + 4,2500% a.a.",—,459574_assembleia_assembleia_459574_2023-05-05.pdf · ID 459574 · 05/05/2023 10:00
FORNECEDORES MADEIRA MADEIRA I,38.658.727/0001-33,13/06/2024,Classe/série não identificada,—,—,—,—,"DI + 3,4800% a.a.",—,691063_regulamento_regulamento_691063_2024-06-13.pdf · ID 691063 · 13/06/2024
FORNECEDORES MADEIRA MADEIRA I,38.658.727/0001-33,13/06/2024,cotas seniores da 1ª (primeira),Sênior,—,—,"110,0",—,—,691061_assembleia_assembleia_691061_2024-06-13.pdf · ID 691061 · 13/06/2024 17:00
FORNECEDORES MADEIRA MADEIRA I,38.658.727/0001-33,29/07/2024,cotas subordinadas,Subordinada,—,—,"20,0","DI + 1,5000% a.a.",—,708274_assembleia_assembleia_708274_2024-07-29.pdf · ID 708274 · 29/07/2024 10:00
FORNECEDORES MADEIRA MADEIRA I,38.658.727/0001-33,06/08/2024,2ª Série,—,—,—,"20,0",—,—,715028_emissao_emissao_715028_2024-08-06.pdf · ID 715028 · 06/08/2024
FORNECEDORES MADEIRA MADEIRA I,38.658.727/0001-33,08/08/2024,cotas seniores da 2ª (segunda) série do Fundo (“ AGC 29,Sênior,—,—,"20,0","DI + 1,5000% a.a.",—,715820_assembleia_assembleia_715820_2024-08-08.pdf · ID 715820 · 08/08/2024 10:00
FORNECEDORES MADEIRA MADEIRA I,38.658.727/0001-33,14/08/2024,Cotas Seniores emissão do Fundo,Sênior,—,—,"20,0",—,—,720398_emissao_emissao_720398_2024-08-14.pdf · ID 720398 · 14/08/2024
FORNECEDORES MADEIRA MADEIRA I,38.658.727/0001-33,28/11/2024,Cotas Seniores ou de,Sênior,—,—,—,—,—,790548_regulamento_regulamento_790548_2024-11-28.pdf · ID 790548 · 28/11/2024
FORNECEDORES MADEIRA MADEIRA I,38.658.727/0001-33,11/06/2025,Cotas Seniores,Sênior,—,—,"110,0","DI + 3,4800% a.a.",—,935244_assembleia_assembleia_935244_2025-06-11.pdf · ID 935244 · 11/06/2025 10:00
FORNECEDORES MADEIRA MADEIRA I,38.658.727/0001-33,11/09/2025,Cotas Subordinadas,Subordinada,—,—,"30,0",—,—,988500_assembleia_assembleia_988500_2025-09-11.pdf · ID 988500 · 11/09/2025 10:00
