Fundo,CNPJ,Data,Classe/Série,Tipo,Qtd cotas,Preço/VNU,Volume identificado (R$ mm),Remuneração-alvo,Amortização/vencimento,Fonte
MULTIPLIKE PLUS,42.154.687/0001-60,27/09/2024,Classe/série não identificada,—,—,—,—,"DI + 6,00% a.a.",—,747683_regulamento_regulamento_747683_2024-09-27.pdf · ID 747683 · 27/09/2024
MULTIPLIKE PLUS,42.154.687/0001-60,02/10/2024,cotas MEZANINO 5 do,Mezanino,—,—,"30,0",—,—,756396_emissao_emissao_756396_2024-10-02.pdf · ID 756396 · 02/10/2024
MULTIPLIKE PLUS,42.154.687/0001-60,25/10/2024,12ª Série,—,—,—,"105,0","DI + 2,30% a.a.",—,765116_emissao_emissao_765116_2024-10-25.pdf · ID 765116 · 25/10/2024
MULTIPLIKE PLUS,42.154.687/0001-60,04/11/2024,12ª SÉRIE,—,—,—,"105,0",—,—,771200_emissao_emissao_771200_2024-11-04.pdf · ID 771200 · 04/11/2024
MULTIPLIKE PLUS,42.154.687/0001-60,04/11/2024,12ª Série,—,—,—,—,"DI + 2,30% a.a.",—,771336_emissao_emissao_771336_2024-11-04.pdf · ID 771336 · 04/11/2024
MULTIPLIKE PLUS,42.154.687/0001-60,18/11/2024,Classe/série não identificada,—,—,—,—,"DI + 6,00% a.a.",—,788014_regulamento_regulamento_788014_2024-11-18.pdf · ID 788014 · 18/11/2024
MULTIPLIKE PLUS,42.154.687/0001-60,03/12/2024,cotas MEZANINO 7 do,Mezanino,—,—,"12,0",—,—,803328_emissao_emissao_803328_2024-12-03.pdf · ID 803328 · 03/12/2024
MULTIPLIKE PLUS,42.154.687/0001-60,13/03/2025,Classe/série não identificada,—,—,—,"90,0",—,—,857207_emissao_emissao_857207_2025-03-13.pdf · ID 857207 · 13/03/2025
MULTIPLIKE PLUS,42.154.687/0001-60,17/03/2025,cota Mezanino,Mezanino,—,—,"90,0","CDI + 4,20% a.a.",—,861169_regulamento_regulamento_861169_2025-03-17.pdf · ID 861169 · 17/03/2025
MULTIPLIKE PLUS,42.154.687/0001-60,24/03/2025,Classe/série não identificada,—,—,—,—,"DI + 6,00% a.a.",—,864333_regulamento_regulamento_864333_2025-03-24.pdf · ID 864333 · 24/03/2025
MULTIPLIKE PLUS,42.154.687/0001-60,08/04/2025,15ª série,—,—,—,"600,0","DI + 2,40% a.a.",—,881563_emissao_emissao_881563_2025-04-08.pdf · ID 881563 · 08/04/2025
MULTIPLIKE PLUS,42.154.687/0001-60,09/04/2025,Classe/série não identificada,—,—,—,"300,0",—,—,876637_emissao_emissao_876637_2025-04-09.pdf · ID 876637 · 09/04/2025
MULTIPLIKE PLUS,42.154.687/0001-60,30/04/2025,Classe/série não identificada,—,—,—,—,"DI + 6,00% a.a.",—,893456_regulamento_regulamento_893456_2025-04-30.pdf · ID 893456 · 30/04/2025
MULTIPLIKE PLUS,42.154.687/0001-60,05/06/2025,Classe/série não identificada,—,—,—,"100,0",—,—,925828_emissao_emissao_925828_2025-06-05.pdf · ID 925828 · 05/06/2025
