CNPJ,CNPJ formatado,Competências,Primeira competência,Última competência
50564053000103,50.564.053/0001-03,202312,202312,202312
50747046000147,50.747.046/0001-47,202412,202412,202412
50844182000155,50.844.182/0001-55,202312,202312,202312
51151558000109,51.151.558/0001-09,202512,202512,202512
51556307000104,51.556.307/0001-04,202512 · 202606,202512,202606
51628065000117,51.628.065/0001-17,202512 · 202606,202512,202606
52168923000150,52.168.923/0001-50,202606,202606,202606
52912164000199,52.912.164/0001-99,202606,202606,202606
53245260000193,53.245.260/0001-93,202512,202512,202512
53317998000119,53.317.998/0001-19,202606,202606,202606
53864681000100,53.864.681/0001-00,202512,202512,202512
54004001000133,54.004.001/0001-33,202412 · 202512,202412,202512
54229771000184,54.229.771/0001-84,202412,202412,202412
54305743000107,54.305.743/0001-07,202312 · 202412 · 202512,202312,202512
54363072000122,54.363.072/0001-22,202312,202312,202312
54777709000127,54.777.709/0001-27,202606,202606,202606
55633169000170,55.633.169/0001-70,202606,202606,202606
55989474000108,55.989.474/0001-08,202606,202606,202606
56478357000134,56.478.357/0001-34,202412 · 202606,202412,202606
57014896000185,57.014.896/0001-85,202312,202312,202312
58152340000118,58.152.340/0001-18,202606,202606,202606
59105999000186,59.105.999/0001-86,202512 · 202606,202512,202606
59109165000149,59.109.165/0001-49,202312 · 202512 · 202606,202312,202606
59274605000113,59.274.605/0001-13,202312 · 202412,202312,202412
59275792000150,59.275.792/0001-50,202412 · 202512 · 202606,202412,202606
59285411000113,59.285.411/0001-13,202512 · 202606,202512,202606
59356753000187,59.356.753/0001-87,202512,202512,202512
59379565000174,59.379.565/0001-74,202512,202512,202512
59532738000142,59.532.738/0001-42,202512,202512,202512
59579771000128,59.579.771/0001-28,202312 · 202412,202312,202412
59588111000103,59.588.111/0001-03,202312 · 202412 · 202512 · 202606,202312,202606
60394723000144,60.394.723/0001-44,202512 · 202606,202512,202606
60398369000479,60.398.369/0004-79,202312 · 202412 · 202512 · 202606,202312,202606
60498706000157,60.498.706/0001-57,202606,202606,202606
60561800000103,60.561.800/0001-03,202312 · 202412 · 202512 · 202606,202312,202606
60701190481609,60.701.190/4816-09,202312,202312,202312
60744463000190,60.744.463/0001-90,202312 · 202412 · 202512 · 202606,202312,202606
60746948000112,60.746.948/0001-12,202512 · 202606,202512,202606
61064911000177,61.064.911/0001-77,202312 · 202412 · 202512 · 202606,202312,202606
61064911001734,61.064.911/0017-34,202606,202606,202606
61186680000174,61.186.680/0001-74,202412 · 202512 · 202606,202412,202606
61190096000192,61.190.096/0001-92,202412 · 202512 · 202606,202412,202606
61409892000173,61.409.892/0001-73,202312,202312,202312
62136254000199,62.136.254/0001-99,202412 · 202512,202412,202512
62258884000136,62.258.884/0001-36,202312,202312,202312
62393829000159,62.393.829/0001-59,202606,202606,202606
62448932000159,62.448.932/0001-59,202606,202606,202606
63699839000180,63.699.839/0001-80,202606,202606,202606
64978646000120,64.978.646/0001-20,202312,202312,202312
67334656000111,67.334.656/0001-11,202312,202312,202312
67356568000110,67.356.568/0001-10,202512,202512,202512
67620377000114,67.620.377/0001-14,202512 · 202606,202512,202606
67915785000101,67.915.785/0001-01,202312,202312,202312
69209575000387,69.209.575/0003-87,202312,202312,202312
73410326000160,73.410.326/0001-60,202606,202606,202606
75647891000171,75.647.891/0001-71,202512,202512,202512
75904383000121,75.904.383/0001-21,202606,202606,202606
76492701000157,76.492.701/0001-57,202312 · 202412 · 202606,202312,202606
76501394000123,76.501.394/0001-23,202312,202312,202312
76639285000177,76.639.285/0001-77,202312 · 202412,202312,202412
77500049000138,77.500.049/0001-38,202412 · 202512,202412,202512
77752293000198,77.752.293/0001-98,202512,202512,202512
77863223000107,77.863.223/0001-07,202512 · 202606,202512,202606
77941490000155,77.941.490/0001-55,202312 · 202412 · 202512 · 202606,202312,202606
78242849000169,78.242.849/0001-69,202412 · 202512 · 202606,202412,202606
79038097001749,79.038.097/0017-49,202312,202312,202312
79379491000183,79.379.491/0001-83,202312 · 202412 · 202512 · 202606,202312,202606
79704755000127,79.704.755/0001-27,202512,202512,202512
80539943000126,80.539.943/0001-26,202606,202606,202606
82069113000108,82.069.113/0001-08,202312 · 202412,202312,202412
82125618000142,82.125.618/0001-42,202512 · 202606,202512,202606
83056804000130,83.056.804/0001-30,202312,202312,202312
83297895000103,83.297.895/0001-03,202312,202312,202312
83733337000135,83.733.337/0001-35,202412 · 202512,202412,202512
83876003000110,83.876.003/0001-10,202512,202512,202512
87163234000138,87.163.234/0001-38,202312 · 202412,202312,202412
88212113000100,88.212.113/0001-00,202412 · 202512 · 202606,202412,202606
88676127000176,88.676.127/0001-76,202312,202312,202312
88747928000185,88.747.928/0001-85,202312,202312,202312
89674782001200,89.674.782/0012-00,202606,202606,202606
90400888000142,90.400.888/0001-42,202512 · 202606,202512,202606
91830836000179,91.830.836/0001-79,202512 · 202606,202512,202606
92016757000191,92.016.757/0001-91,202412,202412,202412
92874270000140,92.874.270/0001-40,202412 · 202606,202412,202606
94813102000170,94.813.102/0001-70,202512 · 202606,202512,202606
97518765000150,97.518.765/0001-50,202512 · 202606,202512,202606
99999999000191,99.999.999/0001-91,202312,202312,202312
99999999999998,99.999.999/9999-98,202412,202412,202412
