fundo,CNPJ,Data regulamento,Critério,Evento,Comparação,Limite,Monitorável IME,Métrica IME,Fonte
MF GROUP NÃO PADRONIZADOS,47.424.724/0001-26,20/09/2022,Limite de concentração,elegibilidade,>=,50%,nao_monitoravel,—,353849_regulamento_regulamento_353849_2022-09-20.pdf
MF GROUP NÃO PADRONIZADOS,47.424.724/0001-26,20/09/2022,Limite de concentração,elegibilidade,<=,50%,nao_monitoravel,—,353849_regulamento_regulamento_353849_2022-09-20.pdf
MF GROUP NÃO PADRONIZADOS,47.424.724/0001-26,05/06/2025,Alocação mínima em direitos creditórios,enquadramento,>=,67%,monitoravel,Dir Cred / PL,917703_regulamento_regulamento_917703_2025-06-05.pdf
MF GROUP NÃO PADRONIZADOS,47.424.724/0001-26,05/06/2025,Alocação mínima em direitos creditórios,Alocação mínima em direitos creditórios,—,67%,monitoravel,Dir Cred / PL,917703_regulamento_regulamento_917703_2025-06-05.pdf · ID 917703 · 05/06/2025
MF GROUP NÃO PADRONIZADOS,47.424.724/0001-26,05/06/2025,Critérios de elegibilidade dos direitos creditórios,elegibilidade,>=,—,nao_monitoravel,—,917703_regulamento_regulamento_917703_2025-06-05.pdf
MF GROUP NÃO PADRONIZADOS,47.424.724/0001-26,05/06/2025,Hedges/derivativos permitidos,enquadramento,texto,—,parcial,Posições mantidas em derivativos,917703_regulamento_regulamento_917703_2025-06-05.pdf
MF GROUP NÃO PADRONIZADOS,47.424.724/0001-26,05/06/2025,Hedges/derivativos permitidos,enquadramento,>=,—,parcial,Posições mantidas em derivativos,917703_regulamento_regulamento_917703_2025-06-05.pdf
MF GROUP NÃO PADRONIZADOS,47.424.724/0001-26,05/06/2025,Hedges/derivativos permitidos,Hedges/derivativos permitidos,—,Regra textual de derivativos/hedge; verificar observação e fonte.,parcial,Posições mantidas em derivativos,917703_regulamento_regulamento_917703_2025-06-05.pdf · ID 917703 · 05/06/2025
MF GROUP NÃO PADRONIZADOS,47.424.724/0001-26,05/06/2025,"Troca de administrador, gestor ou prestador-chave",evento_de_avaliação_ou_liquidação,>=,—,nao_monitoravel,—,917703_regulamento_regulamento_917703_2025-06-05.pdf
MF GROUP NÃO PADRONIZADOS,47.424.724/0001-26,05/06/2025,"Troca de administrador, gestor ou prestador-chave",evento_de_avaliação_ou_liquidação,texto,—,nao_monitoravel,—,917703_regulamento_regulamento_917703_2025-06-05.pdf
