ano,padrao,share_ofertas,share_volume_registrado
2023,todos_iguais,0.14040114613180515,0.21575131928546598
2023,administrador_igual_custodiante,0.8939828080229226,0.8418866319084424
2023,administrador_igual_gestor,0.1489971346704871,0.21853624437106975
2023,gestor_igual_custodiante,0.14613180515759314,0.2686605817713092
2024,todos_iguais,0.05946481665014866,0.17822914775185067
2024,administrador_igual_custodiante,0.9217046580773043,0.9055761316443532
2024,administrador_igual_gestor,0.061446977205153616,0.1783576773943665
2024,gestor_igual_custodiante,0.06342913776015857,0.21629113276388315
2025,todos_iguais,0.04285714285714286,0.14224259024111363
2025,administrador_igual_custodiante,0.9251700680272109,0.9178568510553126
2025,administrador_igual_gestor,0.04421768707482993,0.15771337670905275
2025,gestor_igual_custodiante,0.04625850340136054,0.15710314013170626
