role,participant,pl_brl_current,pl_dated_brl_current,vehicles_current,funds_current,share_current,dated_coverage_current,rank_current,pl_brl_previous,pl_dated_brl_previous,vehicles_previous,funds_previous,share_previous,dated_coverage_previous,rank_previous,delta_pl_brl,delta_share_pp,delta_rank,competencia_current,competencia_previous,history_quality
administrador,BTG PACTUAL,146427014608.99,146427014608.99,430.0,427.0,0.152761155067807,1.0,1.0,95717328397.02,95717328397.02,334.0,334.0,0.1223068336378858,1.0,2.0,50709686211.969986,3.045432142992113,1.0,2026-05,2025-05,alta
administrador,QI TECH + SINGULARE,139239433514.77,139239433514.77,821.0,821.0,0.1452626535581739,1.0,2.0,107832021666.07,107832021666.07,779.0,779.0,0.1377868914189161,1.0,1.0,31407411848.69998,0.7475762139257797,-1.0,2026-05,2025-05,alta
administrador,OLIVEIRA TRUST,97677103582.42,97677103582.42,156.0,156.0,0.1019024201700292,1.0,3.0,91579920523.71,91579920523.71,134.0,134.0,0.1170200870797907,1.0,3.0,6097183058.709991,-1.5117666909761518,0.0,2026-05,2025-05,alta
administrador,GRUPO BB,60900746443.310005,60900746443.310005,3.0,3.0,0.0635351912078148,1.0,4.0,74702361700.59,74702361700.59,2.0,2.0,0.0954540779384696,1.0,5.0,-13801615257.279991,-3.191888673065478,1.0,2026-05,2025-05,alta
administrador,BANCO DAYCOVAL S.A,57683385233.45,57683385233.45,398.0,398.0,0.0601786533722179,1.0,5.0,44527977567.01,44527977567.01,268.0,268.0,0.0568974921858492,1.0,6.0,13155407666.439997,0.3281161186368758,1.0,2026-05,2025-05,alta
administrador,GRUPO GENIAL,51763005017.13,51763005017.13,139.0,138.0,0.0540021693217802,1.0,6.0,44309460899.35,44309460899.35,121.0,121.0,0.0566182733425511,1.0,7.0,7453544117.779999,-0.2616104020770879,1.0,2026-05,2025-05,alta
administrador,GRUPO BRADESCO/BEM,51383839903.15,51383839903.15,46.0,46.0,0.0536066022815884,1.0,7.0,27323900379.68,27323900379.68,33.0,33.0,0.0349142605006068,1.0,8.0,24059939523.47,1.8692341780981607,1.0,2026-05,2025-05,alta
administrador,REAG/CBSF,42961524382.72,42961524382.72,80.0,80.0,0.0448199541983636,1.0,8.0,79121109249.89,79121109249.89,237.0,237.0,0.1011003180754527,1.0,4.0,-36159584867.17,-5.6280363877089075,-4.0,2026-05,2025-05,alta
administrador,ITAU/INTRAG,31609797760.030003,31609797760.030003,40.0,40.0,0.0329771745341962,1.0,9.0,14780275761.42,14780275761.42,17.0,17.0,0.0188861176857747,1.0,12.0,16829521998.610004,1.4091056848421422,3.0,2026-05,2025-05,alta
administrador,HEMERA DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,24546744869.45,24546744869.45,127.0,127.0,0.0256085880697982,1.0,10.0,15493090065.74,15493090065.74,99.0,99.0,0.0197969460801022,1.0,10.0,9053654803.71,0.5811641989695953,0.0,2026-05,2025-05,alta
administrador,BRL TRUST DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS S.A,22460182907.76,22460182907.76,138.0,138.0,0.0234317656013522,1.0,11.0,17030711608.76,17030711608.76,116.0,116.0,0.0217617065410307,1.0,9.0,5429471298.999998,0.1670059060321461,-2.0,2026-05,2025-05,alta
administrador,XP INVESTIMENTOS CCTVM S.A,17768425494.940002,17768425494.940002,44.0,44.0,0.0185370521251934,1.0,12.0,10746145796.63,10746145796.63,27.0,27.0,0.013731338809889,1.0,17.0,7022279698.310001,0.4805713315304407,5.0,2026-05,2025-05,alta
administrador,FINAXIS CORRETORA DE TITULOS E VALORES MOBILIARIOS S.A,17689084841.81,17689084841.81,68.0,68.0,0.0184542793537322,1.0,13.0,15039225270.15,15039225270.15,69.0,69.0,0.0192170012887258,1.0,11.0,2649859571.6600018,-0.0762721934993583,-2.0,2026-05,2025-05,alta
administrador,VORTX DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,17003097747.6,17003097747.6,177.0,177.0,0.0177386178267048,1.0,14.0,13187989502.14,13187989502.14,114.0,114.0,0.0168515070893541,1.0,13.0,3815108245.460001,0.0887110737350711,-1.0,2026-05,2025-05,alta
administrador,ID CORRETORA DE TITULOS E VALORES MOBILIARIOS S.A,16622704309.15,16622704309.15,295.0,295.0,0.0173417693271775,1.0,15.0,9706440851.7,9706440851.7,165.0,165.0,0.0124028121798457,1.0,20.0,6916263457.449999,0.4938957147331876,5.0,2026-05,2025-05,alta
