role,participant,offer_volume_brl_current,offers_current,issuers_current,volume_share_current,offer_count_share_current,rank_current,offer_volume_brl_previous,offers_previous,issuers_previous,volume_share_previous,offer_count_share_previous,rank_previous,delta_offer_volume_brl,delta_volume_share_pp,delta_offers,delta_offer_count_share_pp,rank_change,window_previous,window_current,methodology
administrador,QI TECH + SINGULARE,25667721903.08,437.0,184.0,0.1957848249713421,0.2623049219687875,1.0,21111603396.4,418.0,215.0,0.1784328395604157,0.2775564409030544,1.0,4556118506.68,1.7351985410926334,19.0,-1.5251518934266906,0.0,2024-06-01..2025-05-31,2025-06-01..2026-05-31,CVM registered valid primary public distributions
administrador,OLIVEIRA TRUST,17563489414.48,55.0,44.0,0.1339684415268408,0.0330132052821128,2.0,14643743934.04,55.0,43.0,0.1237672365705739,0.0365205843293492,3.0,2919745480.4399986,1.0201204956266947,0.0,-0.3507379047236428,1.0,2024-06-01..2025-05-31,2025-06-01..2026-05-31,CVM registered valid primary public distributions
administrador,BANCO DAYCOVAL S.A,13591808514.52,132.0,96.0,0.1036737837937997,0.0792316926770708,3.0,20488056305.86,119.0,85.0,0.1731626913923395,0.0790172642762284,2.0,-6896247791.34,-6.94889075985398,13.0,0.0214428400842403,-1.0,2024-06-01..2025-05-31,2025-06-01..2026-05-31,CVM registered valid primary public distributions
administrador,VORTX DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,8337874828.1,113.0,70.0,0.0635985293130604,0.0678271308523409,4.0,6020450000.0,66.0,42.0,0.050884149761675,0.0438247011952191,6.0,2317424828.1000004,1.2714379551385422,47.0,2.400242965712181,2.0,2024-06-01..2025-05-31,2025-06-01..2026-05-31,CVM registered valid primary public distributions
administrador,VERT DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,7683199556.01,34.0,27.0,0.0586048846085093,0.0204081632653061,5.0,2612299999.96,7.0,7.0,0.0220788586269113,0.0046480743691899,10.0,5070899556.05,3.6526025981598,27.0,1.5760088896116216,5.0,2024-06-01..2025-05-31,2025-06-01..2026-05-31,CVM registered valid primary public distributions
administrador,BEM DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,7293837000.0,5.0,4.0,0.0556349568460589,0.003001200480192,6.0,264000000.0,1.0,1.0,0.0022312975835829,0.0006640106241699,29.0,7029837000.0,5.340365926247599,4.0,0.233718985602209,23.0,2024-06-01..2025-05-31,2025-06-01..2026-05-31,CVM registered valid primary public distributions
administrador,BRL TRUST DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS S.A,6679160980.74,41.0,29.0,0.0509464131062088,0.024609843937575,7.0,2163123006.76,24.0,18.0,0.0182824664317286,0.0159362549800796,12.0,4516037973.98,3.2663946674480195,17.0,0.867358895749535,5.0,2024-06-01..2025-05-31,2025-06-01..2026-05-31,CVM registered valid primary public distributions
administrador,GRUPO GENIAL,6641101700.4,50.0,29.0,0.0506561096048681,0.0300120048019207,8.0,7765575000.11,59.0,32.0,0.0656337452002951,0.0391766268260292,5.0,-1124473299.71,-1.497763559542696,-9.0,-0.9164622024108448,-3.0,2024-06-01..2025-05-31,2025-06-01..2026-05-31,CVM registered valid primary public distributions
administrador,HEMERA DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,6074191279.86,229.0,72.0,0.0463319059268419,0.1374549819927971,9.0,5994746782.33,182.0,54.0,0.050666909127291,0.1208499335989375,7.0,79444497.52999973,-0.4335003200449105,47.0,1.660504839385954,-2.0,2024-06-01..2025-05-31,2025-06-01..2026-05-31,CVM registered valid primary public distributions
administrador,BTG PACTUAL,4912700017.48,51.0,45.0,0.037472437822525,0.0306122448979591,10.0,14208491472.55,68.0,58.0,0.1200885329131073,0.0451527224435591,4.0,-9295791455.07,-8.261609509058221,-17.0,-1.4540477545599917,-6.0,2024-06-01..2025-05-31,2025-06-01..2026-05-31,CVM registered valid primary public distributions
administrador,ITAU/INTRAG,3352966859.0,13.0,9.0,0.0255753133099534,0.0078031212484993,11.0,884000000.0,4.0,2.0,0.0074714661510884,0.0026560424966799,15.0,2468966859.0,1.8103847158864952,9.0,0.5147078751819454,4.0,2024-06-01..2025-05-31,2025-06-01..2026-05-31,CVM registered valid primary public distributions
administrador,LIMINE TRUST DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,3231500000.0,63.0,48.0,0.0246488046069633,0.0378151260504201,12.0,3947269775.51,61.0,43.0,0.0333618693630516,0.0405046480743691,9.0,-715769775.5100002,-0.8713064756088309,2.0,-0.2689522023949023,-3.0,2024-06-01..2025-05-31,2025-06-01..2026-05-31,CVM registered valid primary public distributions
administrador,FINAXIS CORRETORA DE TITULOS E VALORES MOBILIARIOS S.A,2462000000.0,21.0,11.0,0.0187793151608676,0.0126050420168067,13.0,2171000000.0,20.0,13.0,0.0183490418710555,0.0132802124833997,11.0,291000000.0,0.0430273289812054,1.0,-0.0675170466593011,-2.0,2024-06-01..2025-05-31,2025-06-01..2026-05-31,CVM registered valid primary public distributions
administrador,"XP INVESTIMENTOS CORRETORA DE CAMBIO, TITULOS E VALORES MOBILIARIOS S.A",2105028000.0,5.0,5.0,0.0160564517605405,0.003001200480192,14.0,1437500000.0,4.0,4.0,0.0121495843803051,0.0026560424966799,13.0,667528000.0,0.3906867380235453,1.0,0.034515798351213,-1.0,2024-06-01..2025-05-31,2025-06-01..2026-05-31,CVM registered valid primary public distributions
administrador,GRUPO BRADESCO/BEM,2000180000.0,2.0,2.0,0.0152567061732186,0.0012004801920768,15.0,490000000.0,1.0,1.0,0.0041414235452866,0.0006640106241699,22.0,1510180000.0,1.1115282627931993,1.0,0.0536469567906843,7.0,2024-06-01..2025-05-31,2025-06-01..2026-05-31,CVM registered valid primary public distributions
administrador,ID CORRETORA DE TITULOS E VALORES MOBILIARIOS S.A,1513400000.62,65.0,34.0,0.0115437106320472,0.0390156062424969,16.0,735200000.04,28.0,10.0,0.0062138256952252,0.0185922974767596,16.0,778200000.5799999,0.5329884936821961,37.0,2.042330876573737,0.0,2024-06-01..2025-05-31,2025-06-01..2026-05-31,CVM registered valid primary public distributions
