competencia,classe_analitica,participant,pl_brl,fundos,share_tipo,rank_tipo
2023-12,Financeiro,HEMERA DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,1484688375.96,22,0.01299738650255325,18
2023-12,Financeiro,ID CORRETORA DE TITULOS E VALORES MOBILIARIOS S.A,1332112014.26,36,0.011661689411986354,19
2023-12,Financeiro,LASTRO RDV DTVM LTDA,148451671.7,6,0.0012995883750941616,25
2023-12,Financeiro,LIMINE TRUST DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,191060179.17000002,10,0.0016725954308855367,24
2023-12,Financeiro,MAF DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS S.A,1637803925.64,17,0.014337803798846187,16
2023-12,Financeiro,OLIVEIRA TRUST,10142727952.55,37,0.08879234021368443,4
2023-12,Financeiro,OSLO CAPITAL DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS S.A,1649396718.53,1,0.01443929042208317,15
2023-12,Financeiro,PLANNER CORRETORA DE VALORES S.A,814518971.87,30,0.00713053194358808,21
2023-12,Financeiro,QI TECH + SINGULARE,2988925681.35,28,0.026165909922204376,12
2023-12,Financeiro,REAG/CBSF,22086205834.07,74,0.19334896012420066,1
2023-12,Financeiro,RJI CORRETORA DE TITULOS E VALORES MOBILIARIOS LTDA,3749130347.87,5,0.032820958908774504,8
2023-12,Financeiro,S3 CACEIS BRASIL DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS S.A,822842910.3,5,0.007203402080345371,20
2023-12,Financeiro,TRUSTEE DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,6596411494.17,87,0.05774687207621955,6
2023-12,Financeiro,VORTX DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,1548716835.8899999,16,0.013557909945956213,17
2023-12,Financeiro,XP INVESTIMENTOS CCTVM S.A,127640089.89,1,0.0011173978380805115,26
2023-12,Fomento Mercantil,LIMINE TRUST DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,15358174.18,1,0.07200096113545232,3
2023-12,Fomento Mercantil,PLANNER CORRETORA DE VALORES S.A,99934918.24000001,2,0.4685068732742323,1
2023-12,Fomento Mercantil,QI TECH + SINGULARE,98012034.87,3,0.4594921655903155,2
2023-12,Meios de pagamento | classe não determinada,BRL TRUST DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS S.A,3091756453.34,3,0.04209523481254013,4
2023-12,Meios de pagamento | classe não determinada,BTG PACTUAL,3359054362.26,1,0.04573457976441464,3
2023-12,Meios de pagamento | classe não determinada,FINAXIS CORRETORA DE TITULOS E VALORES MOBILIARIOS S.A,440087887.83000004,2,0.005991934764572291,5
2023-12,Meios de pagamento | classe não determinada,GRUPO BRADESCO/BEM,183318750.49,1,0.002495942343415038,6
2023-12,Meios de pagamento | classe não determinada,GRUPO GENIAL,10478282045.449999,18,0.14266509985246073,2
2023-12,Meios de pagamento | classe não determinada,OLIVEIRA TRUST,55894209305.28,18,0.7610172084625972,1
2023-12,Outros,BANCO DAYCOVAL S.A,993435708.02,12,0.017346635883612186,13
2023-12,Outros,BANCO J. SAFRA S.A,2076862258.53,10,0.036264624965958094,8
2023-12,Outros,BNY MELLON SERVICOS FINANCEIROS DTVM S.A,1690229024.69,10,0.02951352283244092,9
2023-12,Outros,BR-CAPITAL DTVM S.A,536283187.88,1,0.009364178391773552,16
2023-12,Outros,BRL TRUST DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS S.A,1541893521.52,13,0.026923398538206682,10
2023-12,Outros,BTG PACTUAL,11508460787.0,51,0.20095218768691459,1
2023-12,Outros,FINVEST DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,653100626.56,1,0.011403957672183067,15
2023-12,Outros,GRUPO BRADESCO/BEM,2259505489.77,1,0.03945380530581243,7
2023-12,Outros,GRUPO GENIAL,5143403796.27,8,0.08981029384791162,5
2023-12,Outros,ID CORRETORA DE TITULOS E VALORES MOBILIARIOS S.A,424556.37,1,7.4132877477662255e-06,19
2023-12,Outros,LIMINE TRUST DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,4453414.11,2,7.77622068357901e-05,18
2023-12,Outros,MAF DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS S.A,8505805948.78,27,0.14852206086312603,3
2023-12,Outros,OLIVEIRA TRUST,5280786876.36,8,0.09220917507157946,4
2023-12,Outros,PLANNER CORRETORA DE VALORES S.A,1142294226.56,22,0.01994589268346473,11
2023-12,Outros,QI TECH + SINGULARE,8711661474.05,77,0.15211655702695479,2
2023-12,Outros,REAG/CBSF,457491727.51,11,0.007988380478790809,17
2023-12,Outros,RJI CORRETORA DE TITULOS E VALORES MOBILIARIOS LTDA,1044132806.89,2,0.018231870939442965,12
2023-12,Outros,SEFER INVESTIMENTOS DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,4910484266.03,11,0.08574322614676357,6
2023-12,Outros,VORTX DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,808936976.12,12,0.014125056170480862,14
2023-12,Sem evidência suficiente,AZUMI DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,27206857.029999997,3,0.0014072217797561244,24
2023-12,Sem evidência suficiente,BANCO BNP PARIBAS BRASIL S/A,257440615.79,1,0.013315615292646556,13
2023-12,Sem evidência suficiente,BANCO DAYCOVAL S.A,2836193088.44,14,0.146696572898724,3
2023-12,Sem evidência suficiente,BANCO FINAXIS S.A,83951519.99,1,0.00434222913890027,21
2023-12,Sem evidência suficiente,BANVOX DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,519747033.26,14,0.026882904716285887,8
2023-12,Sem evidência suficiente,BNY MELLON SERVICOS FINANCEIROS DTVM S.A,212568127.05,2,0.010994673061165677,17
2023-12,Sem evidência suficiente,BRL TRUST DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS S.A,706263737.67,10,0.03653011859492945,5
2023-12,Sem evidência suficiente,BTG PACTUAL,3640498766.06,28,0.1882977202080342,2
2023-12,Sem evidência suficiente,FIDD DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,335325075.4,5,0.017344037529984573,11
2023-12,Sem evidência suficiente,FINAXIS CORRETORA DE TITULOS E VALORES MOBILIARIOS S.A,662581208.86,1,0.03427072472710876,7
2023-12,Sem evidência suficiente,GRUPO GENIAL,213869142.9,12,0.011061965576354372,16
2023-12,Sem evidência suficiente,HEMERA DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,147805055.76,3,0.007644929121882493,19
2023-12,Sem evidência suficiente,ID CORRETORA DE TITULOS E VALORES MOBILIARIOS S.A,34079137.63,4,0.001762677131554086,23
2023-12,Sem evidência suficiente,INTRA INVESTIMENTOS DTVM LTDA,104765117.78,2,0.00541877201531101,20
2023-12,Sem evidência suficiente,ITAU/INTRAG,705198914.69,1,0.03647504269669584,6
2023-12,Sem evidência suficiente,LIMINE TRUST DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,5703.82,1,2.950189991794351e-07,30
2023-12,Sem evidência suficiente,LIONS TRUST DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,544088.95,1,2.8141943030037713e-05,28
2023-12,Sem evidência suficiente,MAF DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS S.A,193809004.32,2,0.010024393912579503,18
2023-12,Sem evidência suficiente,"MASTER S/A CORRETORA DE CAMBIO, TITULOS E VALORES MOBILIARIOS",241524717.51999998,3,0.012492396400981478,14
2023-12,Sem evidência suficiente,MONETAR DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,534631.51,1,2.7652775334773918e-05,29
2023-12,Sem evidência suficiente,OLIVEIRA TRUST,281422717.13,8,0.014556042854446647,12
2023-12,Sem evidência suficiente,OSLO CAPITAL DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS S.A,1462783.62,2,7.565963855599777e-05,27
2023-12,Sem evidência suficiente,PLANNER CORRETORA DE VALORES S.A,11804030.51,4,0.0006105405267599112,26
2023-12,Sem evidência suficiente,QI TECH + SINGULARE,5307904001.65,46,0.27454101397086544,1
2023-12,Sem evidência suficiente,REAG/CBSF,1667899121.58,29,0.08626883905536825,4
2023-12,Sem evidência suficiente,S3 CACEIS BRASIL DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS S.A,229644754.91,1,0.011877928433988954,15
2023-12,Sem evidência suficiente,SEFER INVESTIMENTOS DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,411450146.96000004,3,0.021281458841332774,10
2023-12,Sem evidência suficiente,TRUSTEE DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,426439634.66,4,0.022056760947546935,9
2023-12,Sem evidência suficiente,VORTX DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,51753785.88,5,0.0026768639462788767,22
2023-12,Sem evidência suficiente,XP INVESTIMENTOS CCTVM S.A,20045359.5,1,0.0010368072445978277,25
2024-12,"Agro, Indústria e Comércio",ACTUAL DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS S.A,828843056.47,27,0.0028059768566767976,21
2024-12,"Agro, Indústria e Comércio",AZUMI DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,742617413.72,30,0.002514067361724856,23
2024-12,"Agro, Indústria e Comércio",BANCO DAYCOVAL S.A,567475556.93,7,0.0019211396742068148,24
2024-12,"Agro, Indústria e Comércio",BANCO FINAXIS S.A,4284705239.52,13,0.014505500946076997,15
2024-12,"Agro, Indústria e Comércio",BNY MELLON SERVICOS FINANCEIROS DTVM S.A,5593237.55,1,1.8935424501277335e-05,31
2024-12,"Agro, Indústria e Comércio",BRL TRUST DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS S.A,265568355.48,4,0.0008990588188266599,27
2024-12,"Agro, Indústria e Comércio",BTG PACTUAL,31645552234.73,67,0.1071332944087022,3
2024-12,"Agro, Indústria e Comércio",CAIXA ECONOMICA FEDERAL,1437078678.01,2,0.004865106222755333,19
2024-12,"Agro, Indústria e Comércio",CATALISE DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,753429098.58,1,0.0025506693906156425,22
2024-12,"Agro, Indústria e Comércio",DILLON S/A DTVM,1444769.57,1,4.891143075887761e-06,32
2024-12,"Agro, Indústria e Comércio",FIDD DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,1650201696.84,6,0.005586615866582239,18
2024-12,"Agro, Indústria e Comércio",FINAXIS CORRETORA DE TITULOS E VALORES MOBILIARIOS S.A,8318342966.11,44,0.0281610344281743,7
