role,participant,pl_brl_current,pl_bi,share_current,share_pct,funds_current,rank_pl,rank_fundos,competencia_current
administrador,BTG PACTUAL,146427014608.99,146.42701460899,0.152761155067807,15.2761155067807,427.0,1,2,2026-05
administrador,QI TECH + SINGULARE,139239433514.77,139.23943351476998,0.1452626535581739,14.526265355817388,821.0,2,1,2026-05
administrador,OLIVEIRA TRUST,97677103582.42,97.67710358242,0.1019024201700292,10.190242017002921,156.0,3,8,2026-05
administrador,GRUPO BB,60900746443.310005,60.900746443310005,0.0635351912078148,6.353519120781479,3.0,4,45,2026-05
administrador,BANCO DAYCOVAL S.A,57683385233.45,57.68338523345,0.0601786533722179,6.0178653372217905,398.0,5,3,2026-05
administrador,GRUPO GENIAL,51763005017.13,51.76300501713,0.0540021693217802,5.4002169321780205,138.0,6,9,2026-05
administrador,GRUPO BRADESCO/BEM,51383839903.15,51.383839903150005,0.0536066022815884,5.3606602281588405,46.0,7,20,2026-05
administrador,REAG/CBSF,42961524382.72,42.96152438272,0.0448199541983636,4.48199541983636,80.0,8,14,2026-05
administrador,ITAU/INTRAG,31609797760.030003,31.609797760030002,0.0329771745341962,3.29771745341962,40.0,9,26,2026-05
administrador,HEMERA DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,24546744869.45,24.546744869450002,0.0256085880697982,2.56085880697982,127.0,10,11,2026-05
administrador,BRL TRUST DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS S.A,22460182907.76,22.460182907759997,0.0234317656013522,2.34317656013522,138.0,11,9,2026-05
administrador,XP INVESTIMENTOS CCTVM S.A,17768425494.940002,17.76842549494,0.0185370521251934,1.8537052125193398,44.0,12,21,2026-05
administrador,FINAXIS CORRETORA DE TITULOS E VALORES MOBILIARIOS S.A,17689084841.81,17.68908484181,0.0184542793537322,1.8454279353732201,68.0,13,17,2026-05
administrador,VORTX DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,17003097747.6,17.003097747600002,0.0177386178267048,1.7738617826704801,177.0,14,6,2026-05
administrador,ID CORRETORA DE TITULOS E VALORES MOBILIARIOS S.A,16622704309.15,16.62270430915,0.0173417693271775,1.73417693271775,295.0,15,4,2026-05
administrador,VERT DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,15387367344.93,15.38736734493,0.0160529941509839,1.60529941509839,44.0,16,21,2026-05
administrador,MAF DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS S.A,13227802357.82,13.22780235782,0.0138000106919149,1.38000106919149,43.0,17,23,2026-05
administrador,LIMINE TRUST DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,13100767649.99,13.100767649989999,0.0136674807161202,1.3667480716120202,163.0,18,7,2026-05
administrador,BNY MELLON SERVICOS FINANCEIROS DTVM S.A,13056460429.99,13.05646042999,0.0136212568541975,1.3621256854197499,43.0,19,23,2026-05
administrador,PLANNER CORRETORA DE VALORES S.A,12568638779.27,12.56863877927,0.013112333012309,1.3112333012308999,184.0,20,5,2026-05
administrador,TRUSTEE DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,11646899211.14,11.64689921114,0.0121507208297808,1.21507208297808,42.0,21,25,2026-05
administrador,FIDD DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,10139078076.08,10.13907807608,0.0105776743612552,1.05776743612552,88.0,22,13,2026-05
administrador,SEFER INVESTIMENTOS DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,8008728255.19,8.00872825519,0.0083551698581983,0.8355169858198299,25.0,23,30,2026-05
administrador,S3 CACEIS BRASIL DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS S.A,7915269947.64,7.915269947640001,0.0082576687307585,0.82576687307585,13.0,24,36,2026-05
administrador,CATALISE DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,7177237789.43,7.17723778943,0.0074877107741178,0.7487710774117801,78.0,25,16,2026-05
administrador,QORE DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,6701330238.14,6.701330238140001,0.0069912164118262,0.69912164118262,40.0,26,26,2026-05
administrador,"MASTER S/A CORRETORA DE CAMBIO, TITULOS E VALORES MOBILIARIOS",6694362068.5199995,6.694362068519999,0.0069839468130933,0.69839468130933,15.0,27,35,2026-05
administrador,BANVOX DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,6405709837.68,6.40570983768,0.0066828080627489,0.66828080627489,54.0,28,19,2026-05
administrador,BANCO FINAXIS S.A,5337533438.6,5.3375334386,0.0055684244841765,0.55684244841765,17.0,29,34,2026-05
administrador,RJI CORRETORA DE TITULOS E VALORES MOBILIARIOS LTDA,3951789316.1,3.9517893160999997,0.0041227358361712,0.41227358361711997,18.0,30,33,2026-05
administrador,MONETAR DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,3195698423.1,3.1956984231,0.0033339379599094,0.33339379599094,80.0,31,14,2026-05
administrador,BANCO J. SAFRA S.A,2956263542.31,2.95626354231,0.0030841456039655,0.30841456039655,4.0,32,40,2026-05
administrador,OSLO CAPITAL DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS S.A,2397272549.62,2.39727254962,0.0025009737763909,0.25009737763909,21.0,33,31,2026-05
