administrador,gestor,custodiante,ofertas,volume_registrado_brl
OLIVEIRA TRUST,KP GESTAO DE RECURSOS LTDA,OLIVEIRA TRUST,1,100000000.0
BANCO DAYCOVAL S.A,CATALISE INVESTIMENTOS LTDA,BANCO DAYCOVAL S.A,1,100000000.0
OLIVEIRA TRUST,REGIA CAPITAL LTDA,OLIVEIRA TRUST,1,100000000.0
ID CORRETORA DE TITULOS E VALORES MOBILIARIOS S.A,CONTEA CAPITAL GESTORA DE RECURSOS LTDA,ID CORRETORA DE TITULOS E VALORES MOBILIARIOS S.A,1,100000000.0
QI TECH + SINGULARE,VINCI GESTORA DE RECURSOS LTDA,QI TECH + SINGULARE,1,100000000.0
MASTER CCTVM,TERCON INVESTIMENTOS,MASTER CCTVM,8,97800000.0
LIMINE TRUST DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,KANASTRA ADMINISTRADORA DE RECURSOS LTDA,LIMINE TRUST DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,1,95000000.0
QI TECH + SINGULARE,VCM GESTAO DE CAPITAL LTDA,QI TECH + SINGULARE,2,92000007.00999999
BANCO DAYCOVAL S.A,BOCAINA CAPITAL GESTORA DE RECURSOS LTDA,BANCO DAYCOVAL S.A,1,92000000.0
BRL TRUST DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS S.A,JIVE INVESTMENTS GESTAO DE RECURSOS E CONSULTORIA S.A,BRL TRUST DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS S.A,1,91151000.0
QI TECH + SINGULARE,MULTIPLICA CAPITAL ASSET MANAGEMENT LTDA,QI TECH + SINGULARE,2,91000000.08
PLANNER CORRETORA DE VALORES S.A,4I CAPITAL LTDA,PLANNER CORRETORA DE VALORES S.A,5,90500000.0
QI TECH + SINGULARE,ANGA ADMINISTRACAO DE RECURSOS LTDA,LASTRO RDV DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,1,90000000.0
LIMINE TRUST DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,GALAPAGOS CAPITAL INVESTIMENTOS E PARTICIPACOES LTDA,LIMINE TRUST DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,1,90000000.0
CAPITAL MARKETS DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,EMPIRICA INVESTIMENTOS GESTAO DE RECURSOS LTDA,CAPITAL MARKETS DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,3,89000000.0
REAG/CBSF,NAO SH ASSET CAPITAL GESTAO DE RECURSOS LTDA,REAG/CBSF,1,87500000.0
BANVOX DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,BRZ GESTAO DE RECURSOS LTDA,BANVOX DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,6,87000000.0
BANCO DAYCOVAL S.A,ALGARVE CAPITAL GESTAO DE RECURSOS LTDA,BANCO DAYCOVAL S.A,5,85000000.08
BANCO DAYCOVAL S.A,OCTANTE GESTAO DE RECURSOS LTDA,BANCO DAYCOVAL S.A,1,85000000.0
BRL TRUST DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS S.A,VERT GESTORA DE RECURSOS FINANCEIROS LTDA,BRL TRUST DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS S.A,1,85000000.0
BANCO DAYCOVAL S.A,REGIA CAPITAL LTDA,BANCO DAYCOVAL S.A,2,82750000.0
FIDD DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,BRAVE GESTORA DE RECURSOS LTDA,FIDD DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,6,81900000.0
FIDD DISTRIBUICAO DE TITULOS E VALORES MOBILIARIOS LTDA,PRISMA CLAIMS LTDA,FIDD DISTRIBUICAO DE TITULOS E VALORES MOBILIARIOS LTDA,1,80000000.0
FIDD DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,BRAVE GESTORA DE RECURSOS LTDA,FIDD DISTRIBUICAO DE TITULOS E VALORES MOBILIARIOS LTDA,1,80000000.0
BANCO DAYCOVAL S.A,VALORA RENDA FIXA LTDA,BANCO DAYCOVAL S.A,2,78000000.0
BTG PACTUAL,TERA INVESTIMENTOS LTDA,BTG PACTUAL,1,76000000.0
ID CORRETORA DE TITULOS E VALORES MOBILIARIOS S.A,GOLDEN ASSET GESTORA DE RECURSOS LTDA,ID CORRETORA DE TITULOS E VALORES MOBILIARIOS S.A,2,75000000.0
QI TECH + SINGULARE,CATALISE INVESTIMENTOS LTDA,QI TECH + SINGULARE,2,75000000.0
OLIVEIRA TRUST,IRON CAPITAL GESTAO DE RECURSOS LTDA,OLIVEIRA TRUST,1,75000000.0
QI TECH + SINGULARE,JUS CAPITAL,QI TECH + SINGULARE,3,71164614.1
LIMINE TRUST DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,OURO PRETO GESTAO DE RECURSOS S.A. E URBANO ADMINISTRACAO DE RECURSOS LTDA,LIMINE TRUST DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,1,70000000.0
VORTX DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,TAG INVESTIMENTOS LTDA,VORTX DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,3,70000000.0
MONETAR DTVM LTDA,KUARA CAPITAL GESTORA DE RECURSOS LTDA,TERRA INVESTIMENTOS DTVM LTDA,2,70000000.0
REAG/CBSF,EMPIRICA INVESTIMENTOS GESTAO DE RECURSOS LTDA,REAG/CBSF,3,66930000.0
ACTUAL DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS,LIBERTAS ASSET,TRUSTEE DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS,11,66500000.0
HEMERA DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,"MDA E FUNDOS 21, B3 SEGMENTO CETIP",HEMERA DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,2,65061364.0
OLIVEIRA TRUST,ANGA ADMINISTRACAO DE RECURSOS,OLIVEIRA TRUST,1,62000000.0
CM CAPITAL MARKETS DTVM,TERA INVESTIMENTOS LTDA,CM CAPITAL MARKETS DTVM,4,60100000.0
PLANNER CORRETORA DE VALORES S.A,LESTE FINANCIAL SERVICES GESTAO DE RECURSOS LTDA,PLANNER CORRETORA DE VALORES S.A,1,60000000.0
MONETAR DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,KUARA CAPITAL GESTORA DE RECURSOS LTDA,TERRA INVESTIMENTOS DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,3,60000000.0
FINAXIS CORRETORA DE TITULOS E VALORES MOBILIARIOS,PETRA CAPITAL GESTAO DE INVESTIMENTOS LTDA,BANCO FINAXIS S.A,2,60000000.0
QI TECH + SINGULARE,LEEN CAPITAL LTDA,QI TECH + SINGULARE,1,60000000.0
QI TECH + SINGULARE,ARTESANAL AGRO LTDA,QI TECH + SINGULARE,2,58000000.18
BANCO DAYCOVAL S.A,KP GESTAO DE RECURSOS LTDA,BANCO DAYCOVAL S.A,2,56000000.05
BANCO DAYCOVAL,CUPERTINO CAPITAL GESTAO DE RECURSOS LTDA,BANCO DAYCOVAL,1,55500000.0
VORTX DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,VINCI GESTORA DE RECURSOS LTDA,VORTX DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,1,55000000.0
CM CAPITAL MARKETS DTVM,EMPIRICA INVESTIMENTO GESTAO DE RECURSOS LTDA,CM CAPITAL MARKETS DTVM,1,53000000.0
BANCO DAYCOVAL S.A,EXT CAPITAL LTDA,BANCO DAYCOVAL S.A,1,52500000.0
VORTX DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,TERCON INVESTIMENTOS S.A,VORTX DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,1,50750000.0
VORTX DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,F3 ROCK GESTAO DE RECURSOS LTDA,VORTX DISTRIBUIDORA DE TITULOS E VALRES MOBILIARIOS LTDA,1,50000000.0
QI TECH + SINGULARE,BURITI,QI TECH + SINGULARE,1,50000000.0
QI TECH + SINGULARE,GHIA GESTAO DE RECURSOS LTDA,QI TECH + SINGULARE,2,50000000.0
QI TECH + SINGULARE,EMPIRICA INVESTIMENTOS GESTAO DE RECURSOS LTDA,QI TECH + SINGULARE,1,50000000.0
MASTER CCTVM,TERCON GESTORA,MASTER CCTVM,2,50000000.0
MONETAR DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,TERRA GESTORA DE RECURSOS LTDA,TERRA INVESTIMENTOS DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,1,50000000.0
AZUMI DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,POSITIVA INVESTIMENTOS LTDA,AZUMI DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,1,50000000.0
QI TECH + SINGULARE,MONT CAPITAL GESTAO E ADMINISTRACAO DE RECURSOS S.A,QI TECH + SINGULARE,3,50000000.0
QI TECH + SINGULARE,PRISMA CLAIMS LTDA,QI TECH + SINGULARE,1,50000000.0
MAF DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS S.A,MAUA CAPITAL INVESTIMENTOS ALTERNATIVOS LTDA,MAF DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS S.A,1,50000000.0
BTG PACTUAL,LUMINA CAPITAL MANAGEMENT LTDA,BTG PACTUAL,1,50000000.0
BTG PACTUAL,NEBRASKA CAPITAL GESTAO DE RECURSOS LTDA,BTG PACTUAL,1,50000000.0
BANCO DAYCOVAL S.A,EXT CAPITAL LTDA. E SOLIS INVESTIMENTOS LTDA,BANCO DAYCOVAL S.A,2,50000000.0
BTG PACTUAL,PATRIA INVESTIMENTOS LTDA,BTG PACTUAL,1,50000000.0
BRL TRUST DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS S.A,RADIX PORTFOLIO GESTAO DE INVESTIMENTOS LTDA,BRL TRUST DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS S.A,1,50000000.0
BANCO DAYCOVAL S.A,ORRAM GESTAO DE RECURSOS LTDA,BANCO DAYCOVAL S.A,1,50000000.0
BRL TRUST DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS S.A,FIGTREE CAPITAL ADMINISTRACAO DE RECURSOS LTDA,BRL TRUST DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS S.A,1,49810000.0
HEMERA DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,TERCON INVESTIMENTOS LTDA,HEMERA DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,4,48000000.0
VORTX DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,ECO GESTAO DE ATIVOS LTDA,VORTX DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,1,47500000.0
ACTUAL DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS,ELLO GESTORA DE RECURSOS LTDA,TRUSTEE DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS,2,47000000.0
BRL TRUST DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS S.A,SOSU CAPITAL GESTAO DE INVESTIMENTOS LTDA,BRL TRUST DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS S.A,2,45200000.0
PLANNER CORRETORA DE VALORES S.A,POSITIVA INVESTIMENTOS LTDA,PLANNER CORRETORA DE VALORES S.A,4,45000000.0
CM CAPITAL MARKETS DTVM,EMPIRICA GESTAO DE COBRANCAS E GARANTIAS LTDA,CM CAPITAL MARKETS DTVM,1,45000000.0
VORTX DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,KANASTRA ADMINISTRACAO DE RECURSOS LTDA,VORTX DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,1,45000000.0
BANVOX DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,M ASSET MANAGEMENT LTDA,BANVOX DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,4,45000000.0
BANCO J. SAFRA S.A. - 03.017.677/0001-20,EMERALD GESTAO DE INVESTIMENTOS SOCIEDADE UNIPESSOAL LTDA. - 09.815.294/0001-84,BANCO SAFRA S.A. - 58.160.789/0001-28,1,44467468.24
BTG PACTUAL,SOSU CAPITAL GESTAO DE INVESTIMENTOS LTDA,BTG PACTUAL,2,40950000.0
BTG PACTUAL,ICON CAPITAL LTDA,BTG PACTUAL,1,40060000.0
BANCO DAYCOVAL S.A,AVENTIS GESTAO DE RECURSOS LTDA. ME,BANCO DAYCOVAL S.A,2,40000001.81
VORTX DTVM,PATAGONIA CAPITAL GESTORA DE RECURSOS LTDA,VORTX DTVM,1,40000000.0
BTG PACTUAL,GUARDIAN GESTORA LTDA,BTG PACTUAL,1,40000000.0
BRL TRUST DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS S.A,EMPIRICA INVESTIMENTOS GESTAO DE RECURSOS LTDA,BRL TRUST DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS S.A,1,40000000.0
AZUMI DTVM LTDA,ASSET BANK - ASSET MANAGEMENT LTDA,AZUMI DTVM LTDA,1,40000000.0
BANCO DAYCOVAL S.A,VALORA IMOBILIARIO E INFRAESTRUTURA LTDA,BANCO DAYCOVAL S.A,1,40000000.0
BANCO DAYCOVAL S.A,M8 PARTNERS GESTORA DE RECURSOS LTDA,BANCO DAYCOVAL S.A,1,40000000.0
QI TECH + SINGULARE,CPV ASSET,QI TECH + SINGULARE,1,40000000.0
REAG/CBSF,LATACHE GESTAO DE RECURSOS LTDA,REAG/CBSF,1,40000000.0
BNY MELLON SERVICOS FINANCEIROS DTVM S.A,ITAUNA CAPITAL LTDA,BNY MELLON BANCO S.A,1,40000000.0
VORTX DISTRIBUIDORA DE TITULOS EVALRESMOBILIARIOSLTDA,CHIMERA CAPITAL ASSET MANAGEMENT LTDA,VORTX DISTRIBUIDORA DE TITULOS EVALRESMOBILIARIOSLTDA,1,40000000.0
LIMINE TRUST DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,XMS S/A,LIMINE TRUST DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,1,40000000.0
BTG PACTUAL,SUESTE CAPITAL GESTAO DE RECURSOS LTDA,BTG PACTUAL,1,40000000.0
BTG PACTUAL,PATRIMONIAL GESTAO DE RECURSOS LTDA,BTG PACTUAL,2,39000000.0
BANVOX DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,NEXA FINANCE LTDA,BANVOX DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,7,38949000.0
QI TECH + SINGULARE,HARBOUR CAPITAL ADMINISTRADORA DE CARTEIRAS DE VALORES MOBILIARIOS LTDA,QI TECH + SINGULARE,5,38500000.0
BANCO DAYCOVAL S.A,SIGA GESTORA DE RECURSOS LTDA,BANCO DAYCOVAL S.A,1,38342259.0
HEMERA DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,MONETIZA INVESTIMENTOS LTDA,HEMERA DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,2,38000000.0
BTG PACTUAL,UJAY CAPITAL INVESTIMENTOS LTDA,BTG PACTUAL,1,38000000.0
PLANNER CORRETORA DE VALORES S.A,LESTE CREDIT GESTAO DE RECURSOS LTDA. E LESTE FINANCIAL SERVICES GESTAO DE RECURSOS LTDA,PLANNER CORRETORA DE VALORES S.A,2,37501792.0
MONETAR DTVM LTDA,KUARA CAPITAL GESTORA DE RECURSOS LTDA & ORIZ ASSET MANAGEMENT LTDA,TERRA INVESTIMENTOS DTVM LTDA,2,37500000.0
LIMINE TRUST DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,EXT CAPITAL LTDA,LIMINE TRUST DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,1,37500000.0
BANCO DAYCOVAL S.A,H2 KAPITAL S.A,BANCO DAYCOVAL S.A,1,37000000.0
MONETAR DTVM LTDA,BSWM GESTAO DE RECURSOS LTDA,TERRA INVESTIMENTOS DTVM LTDA,3,37000000.0
QI TECH + SINGULARE,QI TECH + SINGULARE,QI TECH + SINGULARE,2,37000000.0
MONETAR DTVM LTDA,TERRA GESTORA DE RECURSOS LTDA,TERRA INVESTIMENTOS DTVM LTDA,3,36700000.0
BANCO DAYCOVAL S.A,BRAVE GESTORA DE RECURSOS LTDA. E EXT CAPITAL LTDA,BANCO DAYCOVAL S.A,1,36000000.0
QI TECH + SINGULARE,VALORA GESTAO DE INVESTIMENTOS LTDA,QI TECH + SINGULARE,1,35000000.1
MONETAR DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,B.SIDE WEALTH MANAGEMENT GESTAO DE RECURSOS LTDA,TERRA INVESTIMENTOS DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,2,35000000.0
OLIVEIRA TRUST,KANASTRA ADMINISTRACAO DE RECURSOS LTDA,OLIVEIRA TRUST,2,35000000.0
BARU DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,SVN GESTORA DE RECURSOS LTDA,BANCO DAYCOVAL S.A,1,35000000.0
BTG PACTUAL,VEGA ASSET MANAGEMENT LTDA,BTG PACTUAL,1,35000000.0
ID CORRETORA DE TITULOS E VALORES MOBILIARIOS S.A,CONTEA CAPITAL GESTAO DE RECURSOS LTDA,ID CORRETORA DE TITULOS E VALORES MOBILIARIOS S.A,2,35000000.0
CM CAPITAL MARKETS DTVM,EMPIRICA INVESTIMENTOS GESTAO DE RECURSOS LTDA,CM CAPITAL MARKETS DTVM,1,35000000.0
HEMERA DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,SOLIS INVESTIMENTOS LTDA./ EXT CAPITAL LTDA,HEMERA DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,2,33000000.0
AZUMI DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,BURITI INVESTIMENTOS GESTORA DE RECURSOS LTDA,AZUMI DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,3,33000000.0
FIDD DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,SOLIS INVESTIMENTOS LTDA,FIDD DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,2,33000000.0
QI TECH + SINGULARE,SOMA ASSET GESTAO DE INVESTIMENTOS LTDA,QI TECH + SINGULARE,2,33000000.0
VORTX DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,OCTANTE GESTAO DE RECURSOS LTDA,VORTX DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,1,32500000.0
FIDD DISTRIBUICAO DE TITULOS E VALORES MOBILIARIOS LTDA,FIDD ADMINISTRACAO DE RECURSOS DE RECURSOS LTDA,FIDD DISTRIBUICAO DE TITULOS E VALORES MOBILIARIOS LTDA,1,31160000.0
BANCO DAYCOVAL S.A,VALORA GESTAO DE INVESTIMENTOS RENDA FIXA LTDA,BANCO DAYCOVAL S.A,3,31000000.0
PLANNER CORRETORA DE VALORES S.A,AWARE GESTAO DE RECURSOS,PLANNER CORRETORA DE VALORES S.A,2,30000650.0
QI TECH + SINGULARE,EXES MAQUINAS FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS,QI TECH + SINGULARE,1,30000001.17
BANCO DAYCOVAL S.A,LAKEWOOD GESTAO DE RECURSOS LTDA,BANCO DAYCOVAL S.A,1,30000000.9
VORTX DISTRIBUIDORA DE TITULOS E VALRES MOBILIARIOS LTDA,TAG INVESTIMENTOS LTDA,VORTX DISTRIBUIDORA DE TITULOS E VALRES MOBILIARIOS LTDA,2,30000000.0
MONETAR DTVM LTDA,GFS ATIVOS FINANCEIROS E INVESTIMENTOS LTDA,TERRA INVESTIMENTOS DTVM LTDA,2,30000000.0
BANCO DAYCOVAL S.A,ARTESANAL INVESTIMENTOS LTDA,BANCO DAYCOVAL S.A,1,30000000.0
BANCO DAYCOVAL S.A,DAYCOVAL ASSET MANAGEMENT ADMINISTRACAO DERECURSOS LTDA,BANCO DAYCOVAL S.A,1,30000000.0
QI TECH + SINGULARE,ITAUNA CAPITAL LTDA,QI TECH + SINGULARE,1,30000000.0
BANVOX DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,M ASSET MANAGEMENTE LTDA,BANVOX DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,1,30000000.0
HEMERA DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,INTRABANK ASSET MANAGEMENT LTDA E SOLIS INVESTIMENTOS LTDA,HEMERA DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,1,30000000.0
BANVOX DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,BLUE SOLUTIONS ASSET MANAGEMENT LTDA,BANVOX DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,1,30000000.0
VORTX DISTRIBUIDORA DE TITULOS E VALRES MOBILIARIOS LTDA,STRATEGI CAPITAL GESTAO DE RECURSOS LTDA,VORTX DISTRIBUIDORA DE TITULOS E VALRES MOBILIARIOS LTDA,1,28000000.0
BANCO DAYCOVAL S.A,PRADA ADMINISTRADORA DE RECURSOS LTDA,BANCO DAYCOVAL S.A,1,26999441.51
BANCO DAYCOVAL S.A,MULTINVEST CAPITAL ADMINISTRADORA DE RECURSOS LTDA,BANCO DAYCOVAL S.A,4,26680000.0
QI TECH + SINGULARE,MOBIUS CAPITAL GESTAO DE RECURSOS LTDA,QI TECH + SINGULARE,1,26000000.0
MONETAR DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,GERIBA INVESTIMENTOS LTDA,TERRA INVESTIMENTOS DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,1,25150000.0
VORTX DISTRIBUIDORA DE TITULOS E VALRES MOBILIARIOS LTDA,F3 ROCK GESTAO DE RECURSOS LTDA,VORTX DISTRIBUIDORA DE TITULOS E VALRES MOBILIARIOS LTDA,1,25000000.0
VORTX DISTRIBUIDORA DE TITULOS E VALRES MOBILIARIOS LTDA,ELLO GESTORA DE RECURSOS LTDA,VORTX DISTRIBUIDORA DE TITULOS E VALRES MOBILIARIOS LTDA,1,25000000.0
BTG PACTUAL,TERCON INVESTIMENTOS LTDA,BTG PACTUAL,1,25000000.0
QI TECH + SINGULARE,LEEN CAPITAL,QI TECH + SINGULARE,1,25000000.0
BTG PACTUAL,GHIA GESTAO DE RECURSOS LTDA,BTG PACTUAL,1,25000000.0
QI TECH + SINGULARE,V8 CAPITAL GESTAO DE INVESTIMENTOS LTDA,QI TECH + SINGULARE,2,25000000.0
QI TECH + SINGULARE,CONTEA CAPITAL,QI TECH + SINGULARE,1,25000000.0
MONETAR DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,NETZ ASSET GESTAO DE RECURSOS LTDA,TERRA INVESTIMENTOS DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,3,23997000.0
REAG/CBSF,HARBOUR CAPITAL ADMINISTRADORA DE CARTEIRAS DE VALORES MOBILIARIOS LTDA,REAG/CBSF,2,23000000.0
BANCO J. SAFRA S.A. - 03.017.677/0001-20,EMERALD GESTAO DE INVESTIMENTOS SOCIEDADE UNIPESSOAL LTDA. - 09.815.294/0001-84,BANCO SAFRA S.A - 58.160.789/0001-28,1,21210070.73
AZUMI DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,EXES GESTORA DE RECURSOS LTDA,AZUMI DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,2,20000000.0
HEMERA DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,ANTHARUS GESTORA DE RECURSOS LTDA,HEMERA DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,1,20000000.0
PLANNER CORRETORA DE VALORES S.A,BENAVENT ASSET LTDA,PLANNER CORRETORA DE VALORES S.A,1,20000000.0
VORTX DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,ELLO GESTORA DE RECURSOS LTDA,VORTX DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,1,20000000.0
QI TECH + SINGULARE,SOMMA INVESTIMENTOS S.A,QI TECH + SINGULARE,1,20000000.0
LIMINE TRUST DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,URBANO ADMINISTRACAO DE RECURSOS LTDA. E OURO PRETO GESTAO DE RECURSOS S.A,LIMINE TRUST DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,1,20000000.0
AZUMI DTVM LTDA,BURITI INVESTIMENTOS GESTORA DE RECURSOS LTDA,AZUMI DTVM LTDA,1,20000000.0
MONETAR DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,RENOVA GESTORA DE RECURSOS LTDA,TERRA INVESTIMENTOS DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,1,20000000.0
TRUSTEE DTVM,INTRABANK ASSET MANAGEMENT LTDA,TRUSTEE DTVM,1,20000000.0
LIMINE TRUST DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,TERCON INVESTIMENTO LTDA,LIMINE TRUST DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,2,20000000.0
QI TECH + SINGULARE,MILENIO CAPITAL GESTAO DE INVESTIMENTOS,QI TECH + SINGULARE,1,20000000.0
FIDD DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,ATF CREDIT GESTORA DE RECURSOS LTDA,FIDD DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,1,20000000.0
REAG/CBSF,ICON CAPITAL LTDA,REAG/CBSF,3,20000000.0
QI TECH + SINGULARE,VALORA RENDA FIXA LTDA,QI TECH + SINGULARE,1,20000000.0
MASTER CCTVM,LIBERTAS ASSET S/A,MASTER CCTVM,1,20000000.0
CM CAPITAL MARKETS DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,VALORA RENDA FIXA LTDA,CM CAPITAL MARKETS DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,1,20000000.0
ACTUAL DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS,QUARTZO ASSET LTDA,TRUSTEE DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS,1,18000000.0
SEFER INVESTIMENTOS DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,ACURA GESTORA DE RECURSOS LTDA. E UTILITY GESTORA DE RECURSOS LTDA,SEFER INVESTIMENTOS DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,1,16000000.0
FIDD DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,SH ASSET CAPITAL GESTAO DE RECURSOS LTDA,FIDD DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,1,15000000.0
REAG/CBSF,BLUEWAVE ASSET LTDA,REAG/CBSF,1,15000000.0
