administrador,gestor,custodiante,ofertas,volume_registrado_brl
GRUPO GENIAL,REGIA CAPITAL LTDA,GRUPO GENIAL,1,700000000.0
BANCO J. SAFRA S.A. - 03.017.677/0001-20,EMERALD GESTAO DE INVESTIMENTOS SOCIEDADE UNIPESSOAL LIMITADA - 09.815.294/0001-84,BANCO SAFRA S.A. - 58.160.789/0001-28,5,639942762.61
ITAU/INTRAG,KINEA INVESTIMENTOS LTDA,ITAU/INTRAG,1,624992800.0
QI TECH + SINGULARE,BRZ INVESTIMENTOS LTDA,QI TECH + SINGULARE,18,603719186.3
BTG PACTUAL,ARTESANAL INVESTIMENTOS LTDA,BTG PACTUAL,2,532500000.0
BANVOX DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA. (CNPJ NO 02.671.743/0001-19),GUARDIAN GESTORA LTDA. (CNPJ NO 37.414.193/0001-37),BANVOX DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA. (CNPJ NO 02.671.743/0001-19),1,503494102.4
GRUPO BRADESCO/BEM,GRUPO BRADESCO/BEM,GRUPO BRADESCO/BEM,2,490180000.0
BANCO DAYCOVAL S.A,STRATA CAPITAL GESTAO DE RECURSOS LTDA,BANCO DAYCOVAL S.A,10,479500004.48
REAG/CBSF,ARC CAPITAL LTDA,REAG/CBSF,4,467500000.0
OLIVEIRA TRUST,FARMTECH GESTAO DE RECURSOS LTDA,OLIVEIRA TRUST,2,459000000.0
VORTX DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,OPEA GESTORA DE RECURSOS LTDA,VORTX DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,6,456700000.0
OLIVEIRA TRUST,RIZA SECURITIZACAO E CARTEIRAS GESTORA DE RECURSOS LTDA,OLIVEIRA TRUST,1,454000000.0
"XP INVESTIMENTOS CORRETORA DE CAMBIO, TITULOS E VALORES MOBILIARIOS S.A",JIVE HIGH YIELD GESTAO DE RECURSOS LTDA,OLIVEIRA TRUST,1,450000000.0
"VORTX DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA., CNPJ 22.610.500/0001-88","SOLIS INVESTIMENTOS LTDA, CNPJ 17.254.708/0001-71","VORTX DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA., CNPJ 22.610.500/0001-88",1,447060000.0
QI TECH + SINGULARE,BURITI INVESTIMENTOS GESTORA DE RECURSOS LTDA,QI TECH + SINGULARE,17,420900009.36
OLIVEIRA TRUST,VERT GESTORA DE RECURSOS FINANCEIROS LTDA,OLIVEIRA TRUST,4,417600000.0
BRL TRUST DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS S.A,BRL TRUST DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS S.A,BRL TRUST DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS S.A,3,413000000.0
QI TECH + SINGULARE,GALAPAGOS CAPITAL INVESTIMENTOS E PARTICIPACOES LTDA,QI TECH + SINGULARE,9,405244999.98
QI TECH + SINGULARE,FAR - FATOR ADMINISTRACAO DE RECURSOS LTDA,QI TECH + SINGULARE,2,399998428.86
QI TECH + SINGULARE,GUARDIAN GESTORA LTDA,QI TECH + SINGULARE,2,384212000.0
QI TECH + SINGULARE,LUMINA CAPITAL MANAGEMENT LTDA,QI TECH + SINGULARE,1,381500000.0
BANCO DAYCOVAL S.A,AUGME CAPITAL GESTAO DE RECURSOS LTDA,BANCO DAYCOVAL S.A,7,380383000.0
BANVOX DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,SUESTE CAPITAL GESTAO DE RECURSOS LTDA,BANVOX DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,2,370000000.0
BANVOX DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,BRZ INVESTIMENTOS LTDA,BANVOX DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,11,345998880.57
BNY MELLON SERVICOS FINANCEIROS DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS S.A,ROOT CAPITAL GESTAO DE RECURSOS LTDA,BNY MELLON SERVICOS FINANCEIROS DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS S.A,2,340000000.0
BANVOX DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,EMPIRICA INVESTIMENTOS GESTAO DE RECURSOS LTDA,BANVOX DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,8,334600000.0
BANCO DAYCOVAL S.A,DAYCOVAL ASSET MANAGEMENT ADMINISTRACAO DE RECURSOS LTDA,BANCO DAYCOVAL S.A,3,332000000.0
FIDD DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,ORRAM GESTAO DE RECURSOS LTDA,FIDD DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,8,316000000.0
OLIVEIRA TRUST,EMPIRICA INVESTIMENTOS GESTAO DE RECURSOS LTDA,OLIVEIRA TRUST,2,315000000.0
BRL TRUST DTVM S.A,VERT GESTORA DE RECURSOS FINANCEIROS LTDA,BRL TRUST DTVM S.A,1,315000000.0
GRUPO GENIAL,ARTESANAL INVESTIMENTO LTDA,GRUPO GENIAL,1,312500000.0
HEMERA DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,SARFATY ASSET GESTAO DE RECURSOS LTDA,HEMERA DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,4,310000000.0
QI TECH + SINGULARE,VERT GESTORA DE RECURSOS FINANCEIROS LTDA,QI TECH + SINGULARE,1,300000000.0
OLIVEIRA TRUST,VILA RICA CAPITAL GESTORA DE RECURSOS LTDA,OLIVEIRA TRUST,3,300000000.0
BANCO DAYCOVAL S.A,LAPLACE INVESTIMENTOS E GESTAO DE RECURSOS LTDA,BANCO DAYCOVAL S.A,1,300000000.0
QI TECH + SINGULARE,APUAMA CAPITAL GESTORA DE RECURSOS LTDA,QI TECH + SINGULARE,7,290000000.63
QI TECH + SINGULARE,CVPAR INVESTIMENTOS LTDA,QI TECH + SINGULARE,5,290000000.05
"LIMINE TRUST DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA., CNPJ 24.361.690/0001-72","BURITI INVESTIMENTOS GESTORA DE RECURSOS LTDA, CNPJ 44.696.473/0001-40","LIMINE TRUST DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA., CNPJ 24.361.690/0001-72",2,285000000.0
VORTX DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,IRON CAPITAL GESTAO DE RECURSOS LTDA. E LESTE CREDIT GESTAO DE RECURSOS LTDA,VORTX DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,6,273500000.0
QI TECH + SINGULARE,CONTEA CAPITAL GESTAO DE RECURSOS LTDA,QI TECH + SINGULARE,3,270000000.02
GRUPO GENIAL,VERT GESTORA DE RECURSOS FINANCEIROS LTDA,GRUPO GENIAL,2,266000000.0
TRUSTEE DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,INTRABANK ASSET MANAGEMENT LTDA,TRUSTEE DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,2,264998462.19
QI TECH + SINGULARE,UTILITY GESTORA DE RECURSOS LTDA,QI TECH + SINGULARE,3,261000000.0
XP INVESTIMENTOS CORRETORA DE CAMBIO TITULOS E VALORES MOBILIARIOS S.A,XP ALLOCATION ASSET MANAGEMENT LTDA,OLIVEIRA TRUST,1,255000000.0
BANCO DAYCOVAL S.A,VALORA RENDA FIXA ESTRUTURADOS LTDA,BANCO DAYCOVAL S.A,3,254286000.0
BANCO DAYCOVAL S.A,ORIZ ASSET MANAGEMENT LTDA,BANCO DAYCOVAL S.A,3,250000000.03
FIDD DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,PRISMA CLAIMS LTDA,FIDD DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,3,250000000.0
"XP INVESTIMENTOS CORRETORA DE CAMBIO, TITULOS E VALORES MOBILIARIOS S.A",ARTESANAL INVESTIMENTOS LTDA,OLIVEIRA TRUST,1,250000000.0
BANVOX DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,PORTO REAL INVESTIMENTOS LTDA,BANVOX DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,5,250000000.0
GRUPO GENIAL,PLURAL INVESTIMENTOS GESTAO DE RECURSOS LTDA,GRUPO GENIAL,6,249500000.0
PLANNER CORRETORA DE VALORES S.A,REDWOOD ADMINISTRACAO DE RECURSOS LTDA,PLANNER CORRETORA DE VALORES S.A,19,240140088.94
BANVOX DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,TERA INVESTIMENTOS LTDA,BANVOX DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,14,234799988.14
MAF DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS S.A,JIVE INVESTMENTS GESTAO DE RECURSOS E CONSULTORIA S.A,MAF DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS S.A,16,233778176.16
GRUPO GENIAL,H2 KAPITAL S.A,GRUPO GENIAL,3,229000000.06
BRL TRUST DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS S.A,ALGARVE CAPITAL GESTAO DE RECURSOS LTDA,BRL TRUST DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS S.A,2,228000000.0
OLIVEIRA TRUST,ANGA ADMINISTRACAO DE RECURSOS LTDA,OLIVEIRA TRUST,2,224997907.68
QI TECH + SINGULARE,IGUANA INVESTIMENTOS LTDA,QI TECH + SINGULARE,11,224500000.19
FINAXIS CORRETORA DE TITULOS E VALORES MOBILIARIOS S.A,PETRA CAPITAL GESTAO DE INVESTIMENTOS LTDA,BANCO FINAXIS S.A,8,220000000.0
QI TECH + SINGULARE,NOVA SRM ADMINISTRACAO DE RECURSOS DE TERCEIROS S/A,QI TECH + SINGULARE,3,220000000.0
BANCO DAYCOVAL S.A,CULTINVEST ASSET MANAGEMENT LTDA,BANCO DAYCOVAL S.A,2,218250000.0
OLIVEIRA TRUST,VALORA RENDA FIXA LTDA,OLIVEIRA TRUST,1,215800000.0
BANCO DAYCOVAL S.A,SIMPLIX ASSET MANAGEMENT LTDA,BANCO DAYCOVAL S.A,1,215555600.0
FINAXIS CORRETORA DE TITULOS E VALORES MOBILIARIOS S.A,M8 PARTNERS GESTORA DE RECURSOS LTDA,BANCO FINAXIS S.A,5,210500000.0
BTG PACTUAL,SCORE CAPITAL GESTAO DE RECURSOS LTDA,BTG PACTUAL,4,207500000.0
HEMERA DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,GOLDEN ASSET GESTORA DE RECURSOS LTDA,HEMERA DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,7,207500000.0
VORTX DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,IRON CAPITAL GESTORA DE RECURSOS,VORTX DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,3,202500000.0
OLIVEIRA TRUST,EXES GESTORA DE RECURSOS LTDA,OLIVEIRA TRUST,1,200000000.0
BTG PACTUAL,MORE INVEST GESTORA DE RECURSOS LTDA,BTG PACTUAL,1,200000000.0
BTG PACTUAL,FARMTECH GESTAO DE RECURSOS LTDA,BTG PACTUAL,1,200000000.0
VORTX DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,CHIMERA CAPITAL ASSET MANAGEMENT LTDA,VORTX DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,3,200000000.0
LIMINE TRUST DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,ORIZ ASSET MANAGEMENT LTDA,LIMINE TRUST DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,3,200000000.0
GRUPO GENIAL,JGP GESTAO DE CREDITO LTDA,GRUPO GENIAL,1,200000000.0
ID CORRETORA DE TITULOS E VALORES MOBILIARIOS S.A,VALORA RENDA FIXA LTDA,ID CORRETORA DE TITULOS E VALORES MOBILIARIOS S.A,7,195900000.03
LIMINE TRUST DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,OURO PRETO GESTAO DE RECURSOS S.A,LIMINE TRUST DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,17,195830000.0
QI TECH + SINGULARE,G5 ADMINISTRADORA DE RECURSOS LTDA,QI TECH + SINGULARE,2,190000000.0
QI TECH + SINGULARE,GV ATACAMA CAPITAL LTDA,QI TECH + SINGULARE,5,188699999.99
BANCO DAYCOVAL S.A,BRAVE GESTORA DE RECURSOS LTDA,BANCO DAYCOVAL S.A,5,188000000.0
VORTX DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,MILENIO CAPITAL GESTAO DE INVESTIMENTOS LTDA,VORTX DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,3,187500000.0
CM CAPITAL MARKETS DTVM,VALORA RENDA FIXA LTDA,CM CAPITAL MARKETS DTVM,3,186997596.3
CM CAPITAL MARKETS DTVM,BRZ INVESTIMENTOS LTDA,CM CAPITAL MARKETS DTVM,2,183341880.0
OLIVEIRA TRUST,PATRIA INVESTIMENTOS LTDA,OLIVEIRA TRUST,1,180000000.18
QI TECH + SINGULARE,FIELD GESTORA DE RECURSOS LTDA,QI TECH + SINGULARE,2,180000000.0
"BANCO DAYCOVAL S.A., INSCRITA NO CNPJ SOB O N.O 62.232.889/0001-90","GUARDIAN CREDITO LTDA., INSCRITA NO CNPJ SOB O NO 54.882.123/0001-22","BANCO DAYCOVAL S.A., INSCRITA NO CNPJ SOB O N.O 62.232.889/0001-90",1,177000000.0
BANCO DAYCOVAL S.A,RIO BRAVO INVESTIMENTOS LTDA,BANCO DAYCOVAL S.A,5,175599080.95
QI TECH + SINGULARE,CARMEL GESTORA DE ATIVOS LTDA,QI TECH + SINGULARE,4,175000000.0
QI TECH + SINGULARE,H2 KAPITAL S.A,QI TECH + SINGULARE,4,165000000.0
BANVOX DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,BRAVE GESTORA DE RECURSOS LTDA,BANVOX DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,12,162109500.1
QI TECH + SINGULARE,PARAGUACU INVESTIMENTOS LTDA,QI TECH + SINGULARE,6,162000000.07999998
BANVOX DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,REAG/CBSF,BANVOX DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,5,160000000.0
QI TECH + SINGULARE,ARTESANAL MCMS LTDA,QI TECH + SINGULARE,6,155000030.63
ITAU/INTRAG,ORIZ ASSET MANAGEMENT LTDA,LIMINE TRUST DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,1,150000000.0
OLIVEIRA TRUST,BRAVE GESTORA DE RECURSOS LTDA,OLIVEIRA TRUST,1,150000000.0
BRL TRUST DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS S.A,LIFT CAPITAL GESTORA DE RECURSOS S.A,BRL TRUST DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS S.A,1,150000000.0
GRUPO GENIAL,INTEGRAL INVESTIMENTOS LTDA,GRUPO GENIAL,1,150000000.0
BANCO DAYCOVAL S.A,GUARDIAN GESTORA LTDA,BANCO DAYCOVAL S.A,2,149999999.99
