competencia,rotulo,pl_ex_fic_brl,pl_ex_fic_bi,veiculos,fundos,pl_classificado_share,pl_meios_pagamento_indeterminado_share,pl_sem_evidencia_share
2018-12,2018,131218751566.29999,131.2187515663,784,784,0.7708095835278947,0.12959476175162257,0.09959565472048261
2019-12,2019,229983749327.62997,229.98374932762997,952,952,0.7740712975929922,0.10199227577868676,0.12393642662832108
2020-12,2020,209119895973.25,209.11989597325,1111,1111,0.7648324811734282,0.12409346343577705,0.11107405539079472
2021-12,2021,298524379298.91,298.52437929891,1392,1392,0.8215350291857569,0.13748588972746542,0.040979081086777655
2022-12,2022,365972742823.9,365.97274282390003,1771,1771,0.8035571480272137,0.1489444322077262,0.04749841976506013
2023-12,2023,461797031289.7,461.7970312897,2196,2196,0.7990882565304412,0.15904543301096824,0.041866310458590475
2024-12,2024,682959770698.44,682.9597706984399,2813,2813,0.8094080601585317,0.11344290316272501,0.07714903667874322
2025-12,2025,832495996009.48,832.49599600948,3449,3448,0.8116925804798167,0.08977572352610921,0.09853169599407409
2026-05,2026 YTD,879958275810.15,879.95827581015,3605,3600,0.8160435464018931,0.08894949685930002,0.09500695673880687
