role,participant,pl_brl_current,pl_dated_brl_current,vehicles_current,funds_current,share_current,dated_coverage_current,rank_current,pl_brl_previous,pl_dated_brl_previous,vehicles_previous,funds_previous,share_previous,dated_coverage_previous,rank_previous,delta_pl_brl,delta_share_pp,delta_rank,competencia_current,competencia_previous,history_quality
gestor,M8 PARTNERS GESTORA DE RECURSOS LTDA,11847668162.81,11847668162.81,56.0,56.0,0.0123601746456682,1.0,20.0,8134122522.08,6207173211.39,50.0,50.0,0.0103937164436068,0.7631029892334037,18.0,3713545640.729999,0.1966458202061488,-2.0,2026-05,2025-05,reconstruida; consultar role_share_coverage.csv
gestor,MULTIPLICA CAPITAL ASSET MANAGEMENT LTDA,10531123421.18,10531123421.18,53.0,53.0,0.0109866788056629,1.0,21.0,7532432841.71,1415745343.31,45.0,45.0,0.0096248822014578,0.187953264643857,21.0,2998690579.4700003,0.1361796604205127,0.0,2026-05,2025-05,reconstruida; consultar role_share_coverage.csv
gestor,DAYCOVAL ASSET MANAGEMENT ADMINISTRACAO DE RECURSOS LTDA,9976146018.78,9976146018.78,35.0,35.0,0.0104076941882852,1.0,22.0,8061690685.57,1591392051.22,26.0,26.0,0.010301163624525,0.1974017750480687,19.0,1914455333.210001,0.0106530563760118,-3.0,2026-05,2025-05,reconstruida; consultar role_share_coverage.csv
gestor,REDASSET GESTAO DE RECURSOS LTDA,9899202766.78,9899202766.78,9.0,9.0,0.0103274225247429,1.0,23.0,8529795241.11,5692406347.7,7.0,7.0,0.0108993038668236,0.6673555679584209,17.0,1369407525.6699991,-0.0571881342080754,-6.0,2026-05,2025-05,reconstruida; consultar role_share_coverage.csv
gestor,CATALISE INVESTIMENTOS LTDA,9441582390.22,9441582390.22,105.0,105.0,0.0098500064038683,1.0,24.0,5511297009.55,324293161.91999996,70.0,70.0,0.0070422910643732,0.0588415324665071,30.0,3930285380.669999,0.2807715339495125,6.0,2026-05,2025-05,reconstruida; consultar role_share_coverage.csv
gestor,XP VISTA ASSET MANAGEMENT LTDA,8906587475.48,8906587475.48,41.0,41.0,0.0092918686766919,1.0,25.0,5918213138.0,2034999301.59,34.0,34.0,0.0075622452258649,0.3438536690278288,28.0,2988374337.4799995,0.1729623450826949,3.0,2026-05,2025-05,reconstruida; consultar role_share_coverage.csv
gestor,SMART AGRO INVESTIMENTOS LTDA,8737524820.86,8737524820.86,11.0,11.0,0.0091154927089953,1.0,26.0,9453893513.46,0.0,10.0,10.0,0.0120801092189388,0.0,16.0,-716368692.6000004,-0.29646165099435,-10.0,2026-05,2025-05,reconstruida; consultar role_share_coverage.csv
gestor,JIVE HIGH YIELD GESTAO DE RECURSOS LTDA,8488837244.08,8488837244.08,18.0,18.0,0.0088560474038966,1.0,27.0,6093455513.34,3716764638.2,12.0,12.0,0.007786168525919,0.609960084235149,27.0,2395381730.74,0.1069878877977593,0.0,2026-05,2025-05,reconstruida; consultar role_share_coverage.csv
gestor,JIVE INVESTMENTS GESTAO DE RECURSOS E CONSULTORIA S.A,8342318387.36,8342318387.36,30.0,30.0,0.0087031904338113,1.0,28.0,6758236730.7,2109395480.78,22.0,22.0,0.0086356206274234,0.31212216512006,25.0,1584081656.6599998,0.0067569806387869,-3.0,2026-05,2025-05,reconstruida; consultar role_share_coverage.csv
gestor,ORRAM GESTAO DE RECURSOS LTDA,8296290647.650001,8296290647.650001,33.0,33.0,0.0086551716259292,1.0,29.0,6746722126.24,3116161934.57,34.0,34.0,0.008620907358304,0.4618779128979277,26.0,1549568521.4100008,0.0034264267625159,-3.0,2026-05,2025-05,reconstruida; consultar role_share_coverage.csv
