classe_analitica,participant,rank_2023,share_2023,pl_brl_2023,fundos_2023,rank_2024,share_2024,pl_brl_2024,fundos_2024,rank_2025,share_2025,pl_brl_2025,fundos_2025,delta_posicoes_2023_2025
Financeiro,"MASTER S/A CORRETORA DE CAMBIO, TITULOS E VALORES MOBILIARIOS",,0.0,0.0,0,,0.0,0.0,0,36,0.00024418114197730876,67305288.2,1,
Financeiro,DILLON S/A DTVM,28,0.0006357529137841741,72621904.48,2,34,0.00035469672067925834,65989614.47,1,37,0.00023971278969918628,66073646.25,2,-9
Financeiro,INTRA INVESTIMENTOS DTVM LTDA,,0.0,0.0,0,,0.0,0.0,0,38,0.0001830208209376254,50447258.13,2,
Financeiro,LIONS TRUST DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,,0.0,0.0,0,36,4.1166628019348594e-05,7658852.63,1,39,0.00012449855029738208,34316371.61,1,
Financeiro,ATIVA INVESTIMENTOS S.A. C.T.C.V,,0.0,0.0,0,39,1.116223502465027e-08,2076.68,1,40,9.166939362446862e-05,25267450.66,2,
Financeiro,WNT CAPITAL DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS S.A,,0.0,0.0,0,38,5.564023116021446e-06,1035159.67,1,41,3.7189218515778937e-05,10250714.08,3,
Financeiro,CAIXA ECONOMICA FEDERAL,27,0.0009342991498325045,106724770.18,2,37,2.5737932614954906e-05,4788418.25,1,42,1.0862175432495549e-05,2994014.37,1,-15
Financeiro,MERITO DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,,0.0,0.0,0,,0.0,0.0,0,43,1.3471292748919764e-06,371318.29,1,
Financeiro,ACTUAL DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS S.A,31,0.0002807626002260064,32071445.2,1,,0.0,0.0,0,,0.0,0.0,0,
Financeiro,HEDGE INVESTMENTS DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,30,0.000597262724398159,68225179.28,1,32,0.00047803246826057174,88935635.56,1,,0.0,0.0,0,
Fomento Mercantil,QI TECH + SINGULARE,2,0.4594921655903155,98012034.87,3,1,0.5986075816077647,123848256.44,3,1,0.59655218943797,132835892.78,2,1
Fomento Mercantil,PLANNER CORRETORA DE VALORES S.A,1,0.4685068732742323,99934918.24000001,2,2,0.4013924183922353,83045642.41,1,2,0.40344781056203016,89836817.39,1,-1
Fomento Mercantil,LIMINE TRUST DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,3,0.07200096113545232,15358174.18,1,,0.0,0.0,0,,0.0,0.0,0,
Outros,BTG PACTUAL,1,0.20095218768691459,11508460787.0,51,1,0.20009225483502457,14237808542.05,45,1,0.17681897568759353,12923268216.18,45,0
Outros,QI TECH + SINGULARE,2,0.15211655702695479,8711661474.05,77,2,0.14557753716006042,10358747287.93,78,2,0.15415343585197996,11266699121.03,72,0
Outros,GRUPO GENIAL,5,0.08981029384791162,5143403796.27,8,4,0.10302885667586426,7331144010.88,12,3,0.10053828652103901,7348098458.63,14,2
Outros,MAF DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS S.A,3,0.14852206086312603,8505805948.78,27,3,0.1190836896218001,8473545238.99,28,4,0.0948388865296487,6931543196.54,24,-1
Outros,SEFER INVESTIMENTOS DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,6,0.08574322614676357,4910484266.03,11,6,0.0695232193634496,4947009504.889999,11,5,0.08286411255088502,6056336136.02,10,1
Outros,REAG/CBSF,17,0.007988380478790809,457491727.51,11,7,0.048660061445251764,3462466046.34,21,6,0.06047933923661088,4420287581.99,12,11
Outros,OLIVEIRA TRUST,4,0.09220917507157946,5280786876.36,8,5,0.08309431694831254,5912677512.77,11,7,0.048920571201711935,3575485382.55,11,-3
Outros,GRUPO BRADESCO/BEM,7,0.03945380530581243,2259505489.77,1,8,0.03976368460444019,2829433497.02,1,8,0.042683063739989334,3119601156.24,3,-1
Outros,BRL TRUST DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS S.A,10,0.026923398538206682,1541893521.52,13,9,0.037988302310745375,2703104003.62,27,9,0.042054766034246294,3073680407.41,28,1
Outros,BANCO DAYCOVAL S.A,13,0.017346635883612186,993435708.02,12,11,0.02754786308344539,1960201811.15,26,10,0.037115067321571424,2712649861.21,40,3
Outros,BANCO J. SAFRA S.A,8,0.036264624965958094,2076862258.53,10,10,0.02884876185759768,2052768850.76,10,11,0.03649078842249811,2667022837.17,13,-3
Outros,PLANNER CORRETORA DE VALORES S.A,11,0.01994589268346473,1142294226.56,22,13,0.019072830656273156,1357150537.7,21,12,0.03604007432079665,2634081241.38,32,-1
Outros,VORTX DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,14,0.014125056170480862,808936976.12,12,14,0.017223508569452265,1225559768.1,15,13,0.02140713036024853,1564595011.98,14,1
Outros,RJI CORRETORA DE TITULOS E VALORES MOBILIARIOS LTDA,12,0.018231870939442965,1044132806.89,2,15,0.0149829295524823,1066128634.2299999,2,14,0.018671019539394103,1364619337.03,2,-2
