grupo,fundo,nome_curto,cnpj,competencia,indicador,valor,unidade,observacao,cache_folder
Mercado Credito Soma,MERCADO CRÉDITO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA,MERCADO CRÉDITO,33.254.370/0001-04,03/2026,PDD (R$ MM),906.84130533,R$ MM,Visão Executiva canônica; cache IME local 0551973487c5455ab93d94658d9147d88789b77d92655f3d1f36a60e212b71ab,.cache/fundonet-ime/0551973487c5455ab93d94658d9147d88789b77d92655f3d1f36a60e212b71ab
Mercado Credito Soma,MERCADO CRÉDITO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA,MERCADO CRÉDITO,33.254.370/0001-04,03/2026,Vencidos Over 360 d / Crédito,0.0004762774807887133,ratio,Visão Executiva canônica; cache IME local 0551973487c5455ab93d94658d9147d88789b77d92655f3d1f36a60e212b71ab,.cache/fundonet-ime/0551973487c5455ab93d94658d9147d88789b77d92655f3d1f36a60e212b71ab
Mercado Credito Soma,MERCADO CRÉDITO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA,MERCADO CRÉDITO,33.254.370/0001-04,03/2026,Vencidos Over 360 d (R$ MM),1.69663269,R$ MM,Visão Executiva canônica; cache IME local 0551973487c5455ab93d94658d9147d88789b77d92655f3d1f36a60e212b71ab,.cache/fundonet-ime/0551973487c5455ab93d94658d9147d88789b77d92655f3d1f36a60e212b71ab
Mercado Credito Soma,MERCADO CRÉDITO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA,MERCADO CRÉDITO,33.254.370/0001-04,03/2026,Vencidos Over 180 d / Crédito,0.01088498154958367,ratio,Visão Executiva canônica; cache IME local 0551973487c5455ab93d94658d9147d88789b77d92655f3d1f36a60e212b71ab,.cache/fundonet-ime/0551973487c5455ab93d94658d9147d88789b77d92655f3d1f36a60e212b71ab
Mercado Credito Soma,MERCADO CRÉDITO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA,MERCADO CRÉDITO,33.254.370/0001-04,03/2026,Vencidos Over 180 d (R$ MM),38.77532798000001,R$ MM,Visão Executiva canônica; cache IME local 0551973487c5455ab93d94658d9147d88789b77d92655f3d1f36a60e212b71ab,.cache/fundonet-ime/0551973487c5455ab93d94658d9147d88789b77d92655f3d1f36a60e212b71ab
Mercado Credito Soma,MERCADO CRÉDITO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA,MERCADO CRÉDITO,33.254.370/0001-04,03/2026,Vencidos Over 90 d / Crédito,0.03773084613200379,ratio,Visão Executiva canônica; cache IME local 0551973487c5455ab93d94658d9147d88789b77d92655f3d1f36a60e212b71ab,.cache/fundonet-ime/0551973487c5455ab93d94658d9147d88789b77d92655f3d1f36a60e212b71ab
Mercado Credito Soma,MERCADO CRÉDITO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA,MERCADO CRÉDITO,33.254.370/0001-04,03/2026,Vencidos Over 90 d (R$ MM),134.40775503999998,R$ MM,Visão Executiva canônica; cache IME local 0551973487c5455ab93d94658d9147d88789b77d92655f3d1f36a60e212b71ab,.cache/fundonet-ime/0551973487c5455ab93d94658d9147d88789b77d92655f3d1f36a60e212b71ab
Mercado Credito Soma,MERCADO CRÉDITO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA,MERCADO CRÉDITO,33.254.370/0001-04,03/2026,Vencidos Over 60 d / Crédito,0.048628715000531154,ratio,Visão Executiva canônica; cache IME local 0551973487c5455ab93d94658d9147d88789b77d92655f3d1f36a60e212b71ab,.cache/fundonet-ime/0551973487c5455ab93d94658d9147d88789b77d92655f3d1f36a60e212b71ab
Mercado Credito Soma,MERCADO CRÉDITO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA,MERCADO CRÉDITO,33.254.370/0001-04,03/2026,Vencidos Over 60 d (R$ MM),173.22899123000002,R$ MM,Visão Executiva canônica; cache IME local 0551973487c5455ab93d94658d9147d88789b77d92655f3d1f36a60e212b71ab,.cache/fundonet-ime/0551973487c5455ab93d94658d9147d88789b77d92655f3d1f36a60e212b71ab
Mercado Credito Soma,MERCADO CRÉDITO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA,MERCADO CRÉDITO,33.254.370/0001-04,03/2026,Vencidos Over 30 d / Crédito,0.05995873796603984,ratio,Visão Executiva canônica; cache IME local 0551973487c5455ab93d94658d9147d88789b77d92655f3d1f36a60e212b71ab,.cache/fundonet-ime/0551973487c5455ab93d94658d9147d88789b77d92655f3d1f36a60e212b71ab
