veiculo_id,camada,serie,isin,data_emissao,data_vencimento,prazo_meses,montante_emitido_R$,montante_subscrito_R$,saldo_atual_R$,pct_da_emissao,indexador,taxa_contratada,taxa_preliminar_ou_teto,pu_atual,rating_agencia,rating_nota,colocacao,retida_pelo_originador,data_base,conflito,fonte_id,status,nota_metodo
FIDC_I,Sênior,Senior Série 1,n/d,n/d,n/d,n/d,n/d,n/d,53181208.86890634,0.635404986801103,n/d,n/d,n/d,165.53347811,n/d,n/d,n/d,n/d,2026-07-31,não,CVM_FIDC_202607_X2,Documentado,Saldo da cota = quantidade de cotas × valor da cota no Informe Mensal. O rating do deck é veicular e não foi imputado à classe.
FIDC_I,Júnior/Subordinada,Subordinada Subordinada 1 |,n/d,n/d,n/d,n/d,n/d,n/d,3309361.2497871807,0.039539993278914505,n/d,n/d,n/d,45.4474577,n/d,n/d,n/d,n/d,2026-07-31,não,CVM_FIDC_202607_X2,Documentado,Saldo da cota = quantidade de cotas × valor da cota no Informe Mensal. O rating do deck é veicular e não foi imputado à classe.
FIDC_I,Mezanino A,Subordinada Mezanino 1 | Série 1,n/d,n/d,n/d,n/d,n/d,n/d,8246909.739938952,0.09853344227982683,n/d,n/d,n/d,182.26316111,n/d,n/d,n/d,n/d,2026-07-31,não,CVM_FIDC_202607_X2,Documentado,Saldo da cota = quantidade de cotas × valor da cota no Informe Mensal. O rating do deck é veicular e não foi imputado à classe.
FIDC_I,Mezanino A,Subordinada Mezanino 1 | Série 2,n/d,n/d,n/d,n/d,n/d,n/d,18959075.83987251,0.22652157764015565,n/d,n/d,n/d,323.29149567,n/d,n/d,n/d,n/d,2026-07-31,não,CVM_FIDC_202607_X2,Documentado,Saldo da cota = quantidade de cotas × valor da cota no Informe Mensal. O rating do deck é veicular e não foi imputado à classe.
FIDC_II,Sênior,Senior Série 1,n/d,n/d,n/d,n/d,n/d,n/d,64943056.81,0.6898964596967523,n/d,n/d,n/d,129.88611362,n/d,n/d,n/d,n/d,2026-07-31,não,CVM_FIDC_202607_X2,Documentado,Saldo da cota = quantidade de cotas × valor da cota no Informe Mensal. O rating do deck é veicular e não foi imputado à classe.
FIDC_II,Sênior,Senior Série 2,n/d,n/d,n/d,n/d,n/d,n/d,3649785.4304,0.03877202846260275,n/d,n/d,n/d,45.62231788,n/d,n/d,n/d,n/d,2026-07-31,não,CVM_FIDC_202607_X2,Documentado,Saldo da cota = quantidade de cotas × valor da cota no Informe Mensal. O rating do deck é veicular e não foi imputado à classe.
FIDC_II,Mezanino A,Subordinada Mezanino 1 | Série 1,n/d,n/d,n/d,n/d,n/d,n/d,13637694.52,0.14487456596476458,n/d,n/d,n/d,136.3769452,n/d,n/d,n/d,n/d,2026-07-31,não,CVM_FIDC_202607_X2,Documentado,Saldo da cota = quantidade de cotas × valor da cota no Informe Mensal. O rating do deck é veicular e não foi imputado à classe.
FIDC_II,Mezanino A,Subordinada Mezanino 1 | Série 2,n/d,n/d,n/d,n/d,n/d,n/d,358150.06,0.003804663201442233,n/d,n/d,n/d,22.38437875,n/d,n/d,n/d,n/d,2026-07-31,não,CVM_FIDC_202607_X2,Documentado,Saldo da cota = quantidade de cotas × valor da cota no Informe Mensal. O rating do deck é veicular e não foi imputado à classe.
FIDC_II,Júnior/Subordinada,Subordinada Subordinada 1 |,n/d,n/d,n/d,n/d,n/d,n/d,11545811.041128492,0.12265228267443821,n/d,n/d,n/d,6.00573935,n/d,n/d,n/d,n/d,2026-07-31,não,CVM_FIDC_202607_X2,Documentado,Saldo da cota = quantidade de cotas × valor da cota no Informe Mensal. O rating do deck é veicular e não foi imputado à classe.
FIDC_III,Sênior,Senior Série 1,n/d,n/d,n/d,n/d,n/d,n/d,94256079.06875,0.668074142841877,n/d,n/d,n/d,301.61945302,n/d,n/d,n/d,n/d,2026-07-31,não,CVM_FIDC_202607_X2,Documentado,Saldo da cota = quantidade de cotas × valor da cota no Informe Mensal. O rating do deck é veicular e não foi imputado à classe.
FIDC_III,Júnior/Subordinada,Subordinada Subordinada 1 |,n/d,n/d,n/d,n/d,n/d,n/d,17229406.709922303,0.12211966838775143,n/d,n/d,n/d,941.78950718,n/d,n/d,n/d,n/d,2026-07-31,não,CVM_FIDC_202607_X2,Documentado,Saldo da cota = quantidade de cotas × valor da cota no Informe Mensal. O rating do deck é veicular e não foi imputado à classe.
FIDC_III,Mezanino A,Subordinada Mezanino 1 | Série 1,n/d,n/d,n/d,n/d,n/d,n/d,21132888.919999998,0.1497870141691736,n/d,n/d,n/d,338.12622272,n/d,n/d,n/d,n/d,2026-07-31,não,CVM_FIDC_202607_X2,Documentado,Saldo da cota = quantidade de cotas × valor da cota no Informe Mensal. O rating do deck é veicular e não foi imputado à classe.
FIDC_III,Mezanino A,Subordinada Mezanino 1 | Série 2,n/d,n/d,n/d,n/d,n/d,n/d,8467880.59,0.06001917460119788,n/d,n/d,n/d,338.7152236,n/d,n/d,n/d,n/d,2026-07-31,não,CVM_FIDC_202607_X2,Documentado,Saldo da cota = quantidade de cotas × valor da cota no Informe Mensal. O rating do deck é veicular e não foi imputado à classe.
FIDC_IV,Sênior,Senior 1,n/d,n/d,n/d,n/d,n/d,n/d,17499900.909322884,1.0,n/d,n/d,n/d,63.86020548,n/d,n/d,n/d,n/d,2026-07-31,não,CVM_FIDC_202607_X2,Documentado,Saldo da cota = quantidade de cotas × valor da cota no Informe Mensal. O rating do deck é veicular e não foi imputado à classe.
FIDC_V,Sênior,Senior Série 1,n/d,n/d,n/d,n/d,n/d,n/d,53414326.570529036,0.7908623295505766,n/d,n/d,n/d,479.69623813,n/d,n/d,n/d,n/d,2026-07-31,não,CVM_FIDC_202607_X2,Documentado,Saldo da cota = quantidade de cotas × valor da cota no Informe Mensal. O rating do deck é veicular e não foi imputado à classe.
FIDC_V,Júnior/Subordinada,Subordinada Subordinada 1 |,n/d,n/d,n/d,n/d,n/d,n/d,4982323.29001115,0.07376919371078171,n/d,n/d,n/d,293.83884179,n/d,n/d,n/d,n/d,2026-07-31,não,CVM_FIDC_202607_X2,Documentado,Saldo da cota = quantidade de cotas × valor da cota no Informe Mensal. O rating do deck é veicular e não foi imputado à classe.
FIDC_V,Mezanino A,Subordinada Mezanino 1 | Série 1,n/d,n/d,n/d,n/d,n/d,n/d,9142698.73997136,0.1353684767386417,n/d,n/d,n/d,514.55981202,n/d,n/d,n/d,n/d,2026-07-31,não,CVM_FIDC_202607_X2,Documentado,Saldo da cota = quantidade de cotas × valor da cota no Informe Mensal. O rating do deck é veicular e não foi imputado à classe.
FIDC_VI,Sênior,Senior Série 1,n/d,n/d,n/d,n/d,n/d,n/d,140122607.14304927,0.6637199577900512,n/d,n/d,n/d,200.17599431,n/d,n/d,n/d,n/d,2026-07-31,não,CVM_FIDC_202607_X2,Documentado,Saldo da cota = quantidade de cotas × valor da cota no Informe Mensal. O rating do deck é veicular e não foi imputado à classe.
FIDC_VI,Júnior/Subordinada,Subordinada Subordinada 1 |,n/d,n/d,n/d,n/d,n/d,n/d,31546685.779855285,0.14942745771812588,n/d,n/d,n/d,974.18771442,n/d,n/d,n/d,n/d,2026-07-31,não,CVM_FIDC_202607_X2,Documentado,Saldo da cota = quantidade de cotas × valor da cota no Informe Mensal. O rating do deck é veicular e não foi imputado à classe.
FIDC_VI,Mezanino A,Subordinada Mezanino 1 | Série 1,n/d,n/d,n/d,n/d,n/d,n/d,28149052.760294303,0.1333338601873083,n/d,n/d,n/d,201.06466311,n/d,n/d,n/d,n/d,2026-07-31,não,CVM_FIDC_202607_X2,Documentado,Saldo da cota = quantidade de cotas × valor da cota no Informe Mensal. O rating do deck é veicular e não foi imputado à classe.
FIDC_VI,Mezanino B,Subordinada Mezanino 2 | Série 1,n/d,n/d,n/d,n/d,n/d,n/d,11298715.81003567,0.05351872430451458,n/d,n/d,n/d,201.76571221,n/d,n/d,n/d,n/d,2026-07-31,não,CVM_FIDC_202607_X2,Documentado,Saldo da cota = quantidade de cotas × valor da cota no Informe Mensal. O rating do deck é veicular e não foi imputado à classe.
FIDC_VII,Sênior,Senior Série 1,n/d,n/d,n/d,n/d,n/d,n/d,458534164.8906379,0.7400158973585502,n/d,n/d,n/d,1029.59566507,n/d,n/d,n/d,n/d,2026-07-31,não,CVM_FIDC_202607_X2,Documentado,Saldo da cota = quantidade de cotas × valor da cota no Informe Mensal. O rating do deck é veicular e não foi imputado à classe.
